"","name","F","M","Not mentioned"
"1","Acinonyx_jubatus",173,147,154
"2","Acinonyx_jubatus2",175,189,149
"3","Acryllium_vulturinum",144,130,137
"4","Aepyceros_melampus",54,52,95
"5","Aepyceros_melampus2",32,28,56
"6","Agalychnis_callidryas",58,105,65
"7","Ailuropoda_melanoleuca",27,50,139
"8","Ailurops_ursinus",61,58,81
"9","Ailurus_fulgens",16,14,40
"10","Alligator_mississippiensis",218,221,171
"11","Amblyrhynchus_cristatus",196,158,77
"12","Aonyx_cinereus",24,48,8
"13","Aonyx_cinereus2",30,22,7
"14","Aquila_chrysaetos",101,111,21
"15","Ara_ararauna",10,18,135
"16","Ara_chloropterus",37,9,3
"17","Arctocephalus forsteri",114,121,53
"18","Arctocephalus_forsteri2",50,71,31
"19","Artibeus_planirostris",137,122,144
"20","Asio_flammeus",35,39,73
"21","Ateles_hybridus",140,112,209
"22","Ateles_paniscus",31,43,9
"23","Athene_noctua",29,32,76
"24","Athene_noctua2",40,16,19
"25","Athene_noctua3",43,78,42
"26","Balaeniceps_rex",145,125,147
"27","Bison_bonasus",199,164,200
"28","Bison_bonasus2",174,172,187
"29","Boa_constrictor",210,202,14
"30","Bubo_bubo",21,17,115
"31","Bubo_bubo2",12,25,26
"32","Bubo_scandiacus",57,11,67
"33","Bufonidae",87,103,192
"34","Buprestidae",179,167,164
"35","Buteo_galapagoensis",124,141,130
"36","Cairina_moschata",115,113,166
"37","Calliphora_vomitoria",160,162,122
"38","Callithrix_argentata",51,72,98
"39","Callithrix_penicillata",84,75,80
"40","Calloselasma rhodostoma",214,200,182
"41","Canis_lupus",134,168,169
"42","Canis_lupus_familiaris",91,161,NA
"43","Canis_lupus_familiaris2",14,30,74
"44","Carlito_syrichta",79,49,170
"45","Centurio_senex",203,184,109
"46","Cerdocyon_thous",55,60,133
"47","Chelonoidis_porteri",44,13,96
"48","Choloepus_didactylus",22,79,83
"49","Choloepus_didactylus2",17,35,30
"50","Choloepus_didactylus3",19,24,36
"51","Chroicocephalus_scopulinus",73,23,193
"52","Columba_livia",34,27,143
"53","Conolophus_pallidus",181,171,44
"54","Corvus",85,117,70
"55","Corvus2",66,68,158
"56","Crocodylus_porosus",221,220,181
"57","Crocuta_crocuta",165,212,131
"58","Crotalus_atrox",202,198,173
"59","Crotalus2",216,213,88
"60","Cryptoprocto _ferox",105,114,191
"61","Cynictis_penicillata",89,84,54
"62","Dasypus_novemcinctus",69,67,87
"63","Daubentonia_madagascariensis",168,132,57
"64","Dendroaspis_angusticeps",201,211,218
"65","Desmodus_rotondus",162,144,20
"66","Didelphis_virginiana",98,91,NA
"67","Equus_caballus",7,55,94
"68","Eudyptes chrysolophus",26,36,46
"69","Eudyptes_chrysocome",56,29,163
"70","Eulemur _coronatus",76,40,18
"71","Eulemur _coronatus2",67,26,10
"72","Euphractus _sexcinctus",70,83,180
"73","Evarcha_arcuata",204,197,49
"74","Felis_catus",71,44,55
"75","Felis_silvestris",6,15,29
"76","Geronticus_eremita",158,129,99
"77","Giraffa_camelopardalis_reticulata",33,42,114
"78","Gorilla_Gorilla_Beringei",154,152,123
"79","Gorilla_gorilla_gorilla",172,174,159
"80","Gulo_gulo",109,145,111
"81","Gulo_gulo2",121,139,60
"82","Gymnogyps_californianus",132,135,63
"83","Gypaetus_barbatus",107,102,59
"84","Gypaetus_barbatus2",106,115,151
"85","Gyps_rueppelli",157,120,211
"86","Haematopus_ater",62,34,51
"87","Harpia_Harpyja",118,90,2
"88","Helarctos_malayanus",163,182,106
"89","Hemicentetes_semispinosus",127,126,68
"90","Heterocephalus_glaber",186,159,78
"91","Hippopotamus_amphibius",166,180,75
"92","Hyaena_hyaena",194,187,177
"93","Hyles_euphorbiae",128,140,86
"94","Hylobates_agilis",41,59,69
"95","Hypsignathus_monstrosus",178,170,66
"96","Iguana_iguana",138,150,102
"97","Iguana_iguana2",149,134,27
"98","Incilius_alvarius",120,54,168
"99","Incilius_alvarius2",94,118,195
"100","Intellagama_lesueurii",126,128,176
"101","Laticauda_laticaudata",191,206,127
"102","Laticauda_saintgironsi",217,219,160
"103","Lemur_catta",52,64,16
"104","Lemur_catta2",60,31,61
"105","Leopardus_wiedii",90,89,39
"106","Leptailurus_serval",80,94,90
"107","Leptoptilos_crumenifer",129,127,126
"108","Libellula_quadrimaculata",108,93,206
"109","Litoria_infrafrenata",25,51,108
"110","Loris_tardigradus",23,12,48
"111","Loxodonta_africana",81,133,184
"112","Lycaon_pictus",176,183,167
"113","Lycaon_pictus2",169,173,215
"114","Lynx_rufus",167,160,129
"115","Lynx_rufus2",152,151,190
"116","Macaca_fuscata",96,137,178
"117","Macaca_silenus",136,119,64
"118","Macronectes_halli",119,148,188
"119","Macropus_rufogriseus",39,104,50
"120","Malayopython_reticulatus",215,215,161
"121","Malpolon_monspessulanus",208,165,110
"122","Mandrillus_sphinx",148,175,155
"123","Mandrillus_sphinx2",161,154,162
"124","Miopithecus_ogouensis",68,47,119
"125","Morelia_spilota",200,177,142
"126","Mungos_mungo",125,124,189
"127","Muscardinus_avellanarius",8,7,24
"128","Mygale",198,178,174
"129","Myocastor_coypus",13,56,101
"130","Naja_naja",219,217,84
"131","Nasua_narica",93,81,198
"132","Nasua_nasua",48,69,6
"133","Necrosyrtes_monachus",97,143,15
"134","Neofelis_nebulosa",147,157,179
"135","Nestor_meridionalis",42,57,183
"136","Notechis_scutatus",205,196,219
"137","Numida_meleagris",112,87,196
"138","Nyctereutes_procyonoides",63,86,118
"139","Odonata",133,123,92
"140","Odonata2",122,138,125
"141","Oryctolagus_cuniculus",4,10,45
"142","Oryctolagus_cuniculus2",1,1,97
"143","Otocolobus_manul",102,95,165
"144","Pamphagidae",151,97,17
"145","Pan_paniscus",83,99,105
"146","Pan_paniscus2",100,77,172
"147","Pan_paniscus3",78,100,217
"148","Pan_paniscus4",72,61,62
"149","Pan_troglodytes",110,153,100
"150","Pan_troglodytes2",45,65,150
"151","Panthera_leo",182,209,175
"152","Panthera_leo2",180,188,134
"153","Panthera_leo3",185,218,138
"154","Panthera_onca",189,208,194
"155","Panthera_onca_2",170,190,136
"156","Panthera_onca3",183,214,207
"157","Panthera_pardus",190,192,213
"158","Panthera_pardus_3",187,203,148
"159","Panthera_pardus2",156,179,93
"160","Panthera_tigris2",188,193,103
"161","Panthera_uncia",184,195,107
"162","Papillon",141,106,5
"163","Papio_hamadryas",139,163,153
"164","Pardofelis_temminckii",130,142,203
"165","Petroica_macrocephala",2,2,41
"166","Phacochoerus_africanus",212,185,212
"167","Phascolarctos_cinereus",5,8,4
"168","Phascolarctos_cinereus2",3,3,1
"169","Pholcus_phalangioides",220,216,201
"170","Pithecia pithecia",143,98,120
"171","Pithecia pithecia2",131,107,82
"172","Plathyrrhinus_fusciventris",113,155,47
"173","Podarcis_muralis",155,146,89
"174","Pogona_vitticeps",111,63,117
"175","Porphyrio_hochstetteri",92,110,23
"176","Procyon_lotor",64,101,32
"177","Propithecus_coquereli",15,21,22
"178","Propithecus_verreauxi",28,33,37
"179","Psittacus_erithacus",38,38,132
"180","Pteropus_conspicillatus",65,80,104
"181","Puma_concolor",193,169,199
"182","Python_bivittatus",213,191,185
"183","Python_regius",211,199,186
"184","Rattus_norvegicus",47,70,35
"185","Rhinopithecus_roxellana",53,53,72
"186","Rhyticeros_cassidix",86,108,12
"187","Romalea_microptera",116,76,140
"188","Saiga_tatarica",95,85,152
"189","Sarcophilus_harrisii",150,131,216
"190","Spalax",117,136,11
"191","Spheniscus_humboldti",18,6,33
"192","Stephanoaetus_coronatus",123,116,113
"193","Strophurus",135,82,116
"194","Struthio_camelus",153,156,205
"195","Sula_nebouxii",103,74,141
"196","Sula_sula",88,96,52
"197","Suricata_suricatta",59,46,71
"198","Sus_scrofa",142,149,214
"199","Tapirus_indicus",75,66,79
"200","Taricha_torosa",77,109,124
"201","Tauraco_leucotis",20,4,58
"202","Testudo_hermanni",11,5,34
"203","Thalassarche_cauta",104,88,210
"204","Theropithecus_gelada",171,207,157
"205","Thomisus_onustus",177,166,121
"206","Tockus_flavirostris",159,92,146
"207","Trichosurus_vulpecula",99,62,25
"208","Ursus_arctos_horribilis",197,205,204
"209","Ursus_maritimus",146,186,145
"210","Ursus_thibetanus",192,194,197
"211","Varecia_rubra",82,73,85
"212","Varecia_variegata",74,45,38
"213","Vespula_germanica",164,176,156
"214","Vicugna_pacos",36,37,112
"215","Vicugna_pacos2",49,19,28
"216","Vicugna_vicugna",9,20,91
"217","Vipera_ammodytes",209,204,202
"218","Vipera_aspis",206,210,208
"219","Vulpes_zerda",46,41,13
"220","Zamenis_longissimus",207,181,43
"221","Zoropsis_spinimana",195,201,128
