"name","F","M","Not mentioned"
"Acinonyx_jubatus",1668.2,1629,1551.1
"Acinonyx_jubatus2",1707.6,1703.9,1551
"Acryllium_vulturinum",1556.5,1546.3,1536.8
"Aepyceros_melampus",1367.4,1352.9,1474.7
"Aepyceros_melampus2",1312.2,1216.7,1442.1
"Agalychnis_callidryas",1354.2,1471.9,1450.9
"Ailuropoda_melanoleuca",1231.2,1313.1,1535.2
"Ailurops_ursinus",1350.4,1371.7,1478.9
"Ailurus_fulgens",1206,1208.9,1411.4
"Alligator_mississippiensis",1962.1,1907,1574.4
"Amblyrhynchus_cristatus",1732.2,1638.9,1452.9
"Aonyx_cinereus",1197.9,1271,1327.6
"Aonyx_cinereus2",1188.5,1223.4,1328.2
"Aquila_chrysaetos",1474.1,1498.5,1381.4
"Ara_ararauna",1180.5,1251.7,1544.1
"Ara_chloropterus",1308.3,1201.8,1282.5
"Arctocephalus forsteri",1507,1574.5,1449.5
"Arctocephalus_forsteri2",1334.6,1361.7,1387.7
"Artibeus_planirostris",1568.4,1583.7,1543.4
"Asio_flammeus",1240,1306.7,1461.2
"Ateles_hybridus",1565.8,1493.2,1641.4
"Ateles_paniscus",1211.6,1314.3,1338
"Athene_noctua",1248.3,1297.7,1460.6
"Athene_noctua2",1291.7,1252.2,1368.7
"Athene_noctua3",1318,1417.6,1409
"Balaeniceps_rex",1545.1,1478.3,1550.1
"Bison_bonasus",1772,1720.4,1604.7
"Bison_bonasus2",1682.9,1680.6,1591.4
"Boa_constrictor",1837.2,1782.9,1365.9
"Bubo_bubo",1257.2,1237.2,1497.5
"Bubo_bubo2",1264.7,1299.6,1391.7
"Bubo_scandiacus",1341.9,1154.6,1454.6
"Bufonidae",1472.6,1544.6,1592.6
"Buprestidae",1696.5,1635.2,1547.2
"Buteo_galapagoensis",1518.7,1494.2,1526.5
"Cairina_moschata",1489.6,1471,1544.7
"Calliphora_vomitoria",1605,1576.7,1524.1
"Callithrix_argentata",1353.6,1385.7,1488.3
"Callithrix_penicillata",1401.8,1319.2,1471.7
"Calloselasma rhodostoma",1895.2,1736,1589.3
"Canis_lupus",1497.9,1671.9,1584.7
"Canis_lupus_familiaris",1418.9,1643.6,NA
"Canis_lupus_familiaris2",1166,1253,1488.9
"Carlito_syrichta",1439.8,1357.5,1562
"Centurio_senex",1784.4,1638.3,1494.2
"Cerdocyon_thous",1433.2,1376.1,1553.6
"Chelonoidis_porteri",1192.2,1150.5,1482.2
"Choloepus_didactylus",1296.9,1337.8,1469.7
"Choloepus_didactylus2",1175.9,1270.5,1389.6
