"id","judge_id","challenger_1","challenger_2","winner","start_time","end_time","pool_number","survey_id"
917813,C_12_judge_38823a5f705513acd61b959a24b27adc,Buprestidae,Acinonyx_jubatus2,Acinonyx_jubatus2,2020-04-22 21:34:20,2020-04-22 21:34:32,1,12
917814,C_12_judge_38823a5f705513acd61b959a24b27adc,Oryctolagus_cuniculus2,Petroica_macrocephala,Petroica_macrocephala,2020-04-22 21:34:32,2020-04-22 21:34:35,1,12
917815,C_12_judge_38823a5f705513acd61b959a24b27adc,Leptoptilos_crumenifer,Pithecia pithecia,Leptoptilos_crumenifer,2020-04-22 21:34:35,2020-04-22 21:34:39,1,12
917816,C_12_judge_38823a5f705513acd61b959a24b27adc,Bufonidae,Leopardus_wiedii,Leopardus_wiedii,2020-04-22 21:34:39,2020-04-22 21:34:42,1,12
917817,C_12_judge_38823a5f705513acd61b959a24b27adc,Laticauda_laticaudata,Oryctolagus_cuniculus,Laticauda_laticaudata,2020-04-22 21:34:42,2020-04-22 21:34:43,1,12
917818,C_12_judge_38823a5f705513acd61b959a24b27adc,Laticauda_saintgironsi,Ursus_arctos_horribilis,Laticauda_saintgironsi,2020-04-22 21:34:43,2020-04-22 21:34:45,1,12
917819,C_12_judge_38823a5f705513acd61b959a24b27adc,Porphyrio_hochstetteri,Suricata_suricatta,Suricata_suricatta,2020-04-22 21:34:45,2020-04-22 21:34:50,1,12
917820,C_12_judge_38823a5f705513acd61b959a24b27adc,Incilius_alvarius,Bubo_bubo2,Bubo_bubo2,2020-04-22 21:34:50,2020-04-22 21:34:53,1,12
917821,C_12_judge_38823a5f705513acd61b959a24b27adc,Sula_sula,Trichosurus_vulpecula,Trichosurus_vulpecula,2020-04-22 21:34:53,2020-04-22 21:34:57,1,12
917822,C_12_judge_38823a5f705513acd61b959a24b27adc,Propithecus_verreauxi,Haematopus_ater,Haematopus_ater,2020-04-22 21:34:57,2020-04-22 21:34:59,1,12
917823,C_12_judge_38823a5f705513acd61b959a24b27adc,Hylobates_agilis,Daubentonia_madagascariensis,Daubentonia_madagascariensis,2020-04-22 21:34:59,2020-04-22 21:35:01,1,12
917824,C_12_judge_38823a5f705513acd61b959a24b27adc,Python_regius,Mandrillus_sphinx,Mandrillus_sphinx,2020-04-22 21:35:01,2020-04-22 21:35:04,1,12
917825,C_12_judge_38823a5f705513acd61b959a24b27adc,Dendroaspis_angusticeps,Bubo_bubo2,Bubo_bubo2,2020-04-22 21:35:04,2020-04-22 21:35:07,1,12
917826,C_12_judge_38823a5f705513acd61b959a24b27adc,Vicugna_vicugna,Pan_paniscus3,Vicugna_vicugna,2020-04-22 21:35:07,2020-04-22 21:35:09,1,12
917827,C_12_judge_38823a5f705513acd61b959a24b27adc,Nasua_nasua,Mandrillus_sphinx2,Mandrillus_sphinx2,2020-04-22 21:35:09,2020-04-22 21:35:13,1,12
917828,C_12_judge_38823a5f705513acd61b959a24b27adc,Felis_silvestris,Cryptoprocto _ferox,Cryptoprocto _ferox,2020-04-22 21:35:13,2020-04-22 21:35:15,1,12
917829,C_12_judge_38823a5f705513acd61b959a24b27adc,Bubo_bubo,Sula_nebouxii,Sula_nebouxii,2020-04-22 21:35:15,2020-04-22 21:35:17,1,12
917830,C_12_judge_38823a5f705513acd61b959a24b27adc,Callithrix_penicillata,Pithecia pithecia2,Pithecia pithecia2,2020-04-22 21:35:17,2020-04-22 21:35:20,1,12
917831,C_12_judge_38823a5f705513acd61b959a24b27adc,Papio_hamadryas,Eulemur _coronatus,Papio_hamadryas,2020-04-22 21:35:20,2020-04-22 21:35:22,1,12
917832,C_12_judge_38823a5f705513acd61b959a24b27adc,Buprestidae,Laticauda_laticaudata,Laticauda_laticaudata,2020-04-22 21:35:22,2020-04-22 21:35:25,1,12
917833,C_12_judge_38823a5f705513acd61b959a24b27adc,Vicugna_pacos,Athene_noctua2,Vicugna_pacos,2020-04-22 21:35:25,2020-04-22 21:35:28,1,12
917834,C_12_judge_38823a5f705513acd61b959a24b27adc,Cynictis_penicillata,Athene_noctua3,Cynictis_penicillata,2020-04-22 21:35:28,2020-04-22 21:35:30,1,12
917835,C_12_judge_38823a5f705513acd61b959a24b27adc,Canis_lupus_familiaris,Thalassarche_cauta,Canis_lupus_familiaris,2020-04-22 21:35:30,2020-04-22 21:35:32,1,12
917836,C_12_judge_38823a5f705513acd61b959a24b27adc,Bubo_scandiacus,Aepyceros_melampus2,Aepyceros_melampus2,2020-04-22 21:35:32,2020-04-22 21:35:34,1,12
917837,C_12_judge_38823a5f705513acd61b959a24b27adc,Pan_paniscus3,Spalax,Spalax,2020-04-22 21:35:34,2020-04-22 21:35:39,1,12
917938,C_12_judge_6cada603548763c6b0b47427274ce529,Columba_livia,Canis_lupus_familiaris,Canis_lupus_familiaris,2020-04-22 21:51:32,2020-04-22 21:51:39,1,12
917939,C_12_judge_6cada603548763c6b0b47427274ce529,Mygale,Columba_livia,Mygale,2020-04-22 21:51:39,2020-04-22 21:51:41,1,12
917940,C_12_judge_6cada603548763c6b0b47427274ce529,Bison_bonasus2,Podarcis_muralis,Podarcis_muralis,2020-04-22 21:51:41,2020-04-22 21:51:43,1,12
917941,C_12_judge_6cada603548763c6b0b47427274ce529,Gypaetus_barbatus,Thomisus_onustus,Thomisus_onustus,2020-04-22 21:51:43,2020-04-22 21:51:45,1,12
