;Name_2;Species;Group;Subgroup;Predator of primates;Predator;Dangerous
1;Acinonyx_jubatus ;Acinonyx_jubatus;Mammal;Felidae;Yes;Yes;Yes
2;Acinonyx_jubatus2 ;Acinonyx_jubatus;Mammal;Felidae;Yes;Yes;Yes
3;Acryllium_vulturinum ;Acryllium_vulturinum;Bird;Bird (not Raptor);No;No;No
4;Aepyceros_melampus ;Aepyceros_melampus;Mammal;Ungulate;No;No;No
5;Aepyceros_melampus2 ;Aepyceros_melampus;Mammal;Ungulate;No;No;No
6;Agalychnis_callidryas ;Agalychnis_callidryas;Squamata;Amphibia;No;Yes;No
7;Ailuropoda_melanoleuca ;Ailuropoda_melanoleuca;Mammal;Ursus;No;No;No
8;Ailurops_ursinus ;Ailurops_ursinus;Mammal;Marsupial;No;No;No
9;Ailurus_fulgens ;Ailurus_fulgens;Mammal;Ursus;No;No;No
10;Alligator_mississippiensis ;Alligator_mississippiensis;Squamata;Crocodile;Yes;Yes;Yes
11;Amblyrhynchus_cristatus ;Amblyrhynchus_cristatus;Squamata;Lizard;No;No;No
12;Aonyx_cinereus ;Aonyx_cinereus;Mammal;Mustelidae;No;Yes;No
13;Aonyx_cinereus2 ;Aonyx_cinereus;Mammal;Mustelidae;No;Yes;No
14;Aquila_chrysaetos ;Aquila_chrysaetos;Bird;Raptor;No;No;No
15;Ara_ararauna ;Ara_ararauna;Bird;Bird (not Raptor);No;No;No
16;Ara_chloropterus ;Ara_chloropterus;Bird;Bird (not Raptor);No;No;No
17;Arctocephalus forsteri ;Arctocephalus_forsteri;Mammal;Sea lion;No;Yes;No
18;Arctocephalus_forsteri2 ;Arctocephalus_forsteri;Mammal;Sea lion;No;Yes;No
19;Artibeus_planirostris ;Artibeus_planirostris;Mammal;Chiroptera;No;No;No
20;Asio_flammeus ;Asio_flammeus;Bird;Raptor;No;Yes;No
21;Ateles_hybridus ;Ateles_hybridus;Mammal;Primate;No;No;No
22;Ateles_paniscus ;Ateles_paniscus;Mammal;Primate;No;No;No
23;Athene_noctua ;Athene_noctua;Bird;Bird (not Raptor);No;Yes;No
24;Athene_noctua2 ;Athene_noctua;Bird;Bird (not Raptor);No;Yes;No
25;Athene_noctua3 ;Athene_noctua;Bird;Bird (not Raptor);No;Yes;No
26;Balaeniceps_rex ;Balaeniceps_rex;Bird;Bird (not Raptor);No;No;No
27;Bison_bonasus ;Bison_bonasus;Mammal;Ungulate;No;No;No
28;Bison_bonasus2 ;Bison_bonasus;Mammal;Ungulate;No;No;No
29;Boa_constrictor ;Boa_constrictor;Squamata;Snake;Yes;Yes;No
30;Bubo_bubo ;Bubo_bubo;Bird;Raptor;No;Yes;No
31;Bubo_bubo2 ;Bubo_bubo;Bird;Raptor;No;Yes;No
32;Bubo_scandiacus ;Bubo_scandiacus;Bird;Raptor;No;No;No
33;Bufonidae ;Bufonidae;Squamata;Amphibia;No;Yes;No
34;Buprestidae ;Buprestidae;Insect;Coleoptera;No;No;No
35;Buteo_galapagoensis ;Buteo_galapagoensis;Bird;Raptor;No;Yes;No
36;Cairina_moschata ;Cairina_moschata;Bird;Bird (not Raptor);No;Yes;No
37;Calliphora_vomitoria ;Calliphora_vomitoria;Insect;Diptera;No;No;No
38;Callithrix_argentata ;Callithrix_argentata;Mammal;Primate;No;No;No
39;Callithrix_penicillata ;Callithrix_penicillata;Mammal;Primate;No;No;No
40;Calloselasma rhodostoma ;Calloselasma_rhodostoma;Squamata;Snake;No;Yes;Yes
41;Canis_lupus ;Canis_lupus_;Mammal;Canidae;Yes;Yes;Yes
42;Canis_lupus_familiaris ;Canis_lupus_familiaris;Mammal;Canidae;No;Yes;Yes
43;Canis_lupus_familiaris2 ;Canis_lupus_familiaris;Mammal;Canidae;No;Yes;Yes
44;Carlito_syrichta ;Carlito_syrichta;Mammal;Primate;No;Yes;No
45;Centurio_senex ;Centurio_senex;Mammal;Chiroptera;No;No;No
46;Cerdocyon_thous ;Cerdocyon_thous;Mammal;Canidae;Yes;Yes;No
47;Chelonoidis_porteri ;Chelonoidis_porteri;Squamata;Tortoise  ;No;No;No
48;Choloepus_didactylus ;Choloepus_didactylus;Mammal;Xenarthra;No;No;No
49;Choloepus_didactylus2 ;Choloepus_didactylus;Mammal;Xenarthra;No;No;No
