"Name","Academic","EloScore","EloRank"
"Acinonyx_jubatus","High school + Middle school",1447,68
"Acinonyx_jubatus2","High school + Middle school",1652.8,172
"Acryllium_vulturinum","High school + Middle school",1472.3,114
"Aepyceros_melampus","High school + Middle school",1500,106
"Aepyceros_melampus2","High school + Middle school",1311.7,22
"Agalychnis_callidryas","High school + Middle school",1548.6,119
"Ailuropoda_melanoleuca","High school + Middle school",1391.8,52
"Ailurops_ursinus","High school + Middle school",1347.1,48
"Ailurus_fulgens","High school + Middle school",1222,15
"Alligator_mississippiensis","High school + Middle school",1809.6,211
"Amblyrhynchus_cristatus","High school + Middle school",1813.7,217
"Aonyx_cinereus","High school + Middle school",1395.9,82
"Aonyx_cinereus2","High school + Middle school",1388.5,57
"Aquila_chrysaetos","High school + Middle school",1428.3,65
"Ara_ararauna","High school + Middle school",1184.1,10
"Ara_chloropterus","High school + Middle school",1132.8,3
"Arctocephalus forsteri","High school + Middle school",1573.6,131
"Arctocephalus_forsteri2","High school + Middle school",1398.6,54
"Artibeus_planirostris","High school + Middle school",1561.9,156
"Asio_flammeus","High school + Middle school",1256.6,18
"Ateles_hybridus","High school + Middle school",1651.6,176
"Ateles_paniscus","High school + Middle school",1204.6,11
"Athene_noctua","High school + Middle school",1386.7,59
"Athene_noctua2","High school + Middle school",1458,92
"Athene_noctua3","High school + Middle school",1336.7,36
"Balaeniceps_rex","High school + Middle school",1664.7,201
"Bison_bonasus","High school + Middle school",1621.1,155
"Bison_bonasus2","High school + Middle school",1775.5,214
"Boa_constrictor","High school + Middle school",1659.4,180
"Bubo_bubo","High school + Middle school",1285.8,29
"Bubo_bubo2","High school + Middle school",1325.2,39
"Bubo_scandiacus","High school + Middle school",1341.6,44
"Bufonidae","High school + Middle school",1450.4,84
"Buprestidae","High school + Middle school",1794.5,210
"Buteo_galapagoensis","High school + Middle school",1434.7,90
"Cairina_moschata","High school + Middle school",1566.2,135
"Calliphora_vomitoria","High school + Middle school",1535.8,118
"Callithrix_argentata","High school + Middle school",1238.3,19
"Callithrix_penicillata","High school + Middle school",1285.7,27
"Calloselasma rhodostoma","High school + Middle school",1967,221
"Canis_lupus","High school + Middle school",1615.5,167
"Canis_lupus_familiaris","High school + Middle school",1458,75
"Canis_lupus_familiaris2","High school + Middle school",1188.8,7
"Carlito_syrichta","High school + Middle school",1505.9,101
"Centurio_senex","High school + Middle school",1775.1,208
"Cerdocyon_thous","High school + Middle school",1431,69
"Chelonoidis_porteri","High school + Middle school",1383.2,47
"Choloepus_didactylus","High school + Middle school",1282.7,21
"Choloepus_didactylus2","High school + Middle school",1312.8,26
"Choloepus_didactylus3","High school + Middle school",1211.4,14
"Chroicocephalus_scopulinus","High school + Middle school",1475.6,103
"Columba_livia","High school + Middle school",1352.1,58
"Conolophus_pallidus","High school + Middle school",1673.7,188
"Corvus","High school + Middle school",1417,67
"Corvus2","High school + Middle school",1324.8,45
"Crocodylus_porosus","High school + Middle school",1804.1,218
"Crocuta_crocuta","High school + Middle school",1641.5,161
"Crotalus_atrox","High school + Middle school",1827.4,215
"Crotalus2","High school + Middle school",1694.1,196
"Cryptoprocto _ferox","High school + Middle school",1450.3,81
"Cynictis_penicillata","High school + Middle school",1596,160
"Dasypus_novemcinctus","High school + Middle school",1467.6,89
"Daubentonia_madagascariensis","High school + Middle school",1508.6,116
"Dendroaspis_angusticeps","High school + Middle school",1597.5,159
"Desmodus_rotondus","High school + Middle school",1623.1,174
"Didelphis_virginiana","High school + Middle school",1510.1,120
"Equus_caballus","High school + Middle school",1215.9,12
"Eudyptes chrysolophus","High school + Middle school",1307.1,24
"Eudyptes_chrysocome","High school + Middle school",1479.7,80
"Eulemur _coronatus","High school + Middle school",1517.9,126
"Eulemur _coronatus2","High school + Middle school",1291.3,20
"Euphractus _sexcinctus","High school + Middle school",1531.4,130
"Evarcha_arcuata","High school + Middle school",1620,163
"Felis_catus","High school + Middle school",1330.3,34
"Felis_silvestris","High school + Middle school",1282.3,17
"Geronticus_eremita","High school + Middle school",1610.4,162
"Giraffa_camelopardalis_reticulata","High school + Middle school",1450,85
"Gorilla_Gorilla_Beringei","High school + Middle school",1666.7,191
"Gorilla_gorilla_gorilla","High school + Middle school",1523.5,121
