"","Name","Academic","EloScore","EloRank","Species","Group","Subgroup","PredatorPrimates","Predator","Dangerous","Interet"
"1","Oryctolagus_cuniculus2","High school + Middle school",979.2,1,"Oryctolagus_cuniculus","Mammal","Lagomorpha","No","No","No","Others"
"2","Oryctolagus_cuniculus2","High school diploma",952.4,1,"Oryctolagus_cuniculus","Mammal","Lagomorpha","No","No","No","Others"
"3","Testudo_hermanni","Kindergarten + Primary school",1232.9,1,"Testudo_hermanni","Squamata","Tortoise","No","No","No","Others"
"4","Oryctolagus_cuniculus2","Master's degree",841.1,1,"Oryctolagus_cuniculus","Mammal","Lagomorpha","No","No","No","Others"
"5","Oryctolagus_cuniculus2","One/two/three-year technical/university degree",947.5,1,"Oryctolagus_cuniculus","Mammal","Lagomorpha","No","No","No","Others"
"6","Canis_lupus_familiaris2","Other",1126.1,1,"Canis_lupus_familiaris","Mammal","Canidae","No","Yes","Yes","Canidae"
"7","Oryctolagus_cuniculus2","PhD and more",973.9,1,"Oryctolagus_cuniculus","Mammal","Lagomorpha","No","No","No","Others"
"8","Phascolarctos_cinereus2","High school + Middle school",1102.5,2,"Phascolarctos_cinereus","Mammal","Marsupial","No","No","No","Others"
"9","Phascolarctos_cinereus","High school diploma",1053,2,"Phascolarctos_cinereus","Mammal","Marsupial","No","No","No","Others"
"10","Petroica_macrocephala","Kindergarten + Primary school",1265.7,2,"Petroica_macrocephala","Bird","Bird (not Raptor)","No","No","No","Others"
"11","Phascolarctos_cinereus2","Master's degree",993.3,2,"Phascolarctos_cinereus","Mammal","Marsupial","No","No","No","Others"
"12","Phascolarctos_cinereus","One/two/three-year technical/university degree",1004.7,2,"Phascolarctos_cinereus","Mammal","Marsupial","No","No","No","Others"
"13","Oryctolagus_cuniculus2","Other",1094.3,2,"Oryctolagus_cuniculus","Mammal","Lagomorpha","No","No","No","Others"
"14","Tauraco_leucotis","PhD and more",1069.7,2,"Tauraco_leucotis","Bird","Bird (not Raptor)","No","No","No","Others"
"15","Ara_chloropterus","High school + Middle school",1132.8,3,"Ara_chloropterus","Bird","Bird (not Raptor)","No","No","No","Others"
"16","Phascolarctos_cinereus2","High school diploma",1065.2,3,"Phascolarctos_cinereus","Mammal","Marsupial","No","No","No","Others"
"17","Phascolarctos_cinereus2","Kindergarten + Primary school",1271.5,3,"Phascolarctos_cinereus","Mammal","Marsupial","No","No","No","Others"
"18","Petroica_macrocephala","Master's degree",1023.3,3,"Petroica_macrocephala","Bird","Bird (not Raptor)","No","No","No","Others"
"19","Petroica_macrocephala","One/two/three-year technical/university degree",1001.8,3,"Petroica_macrocephala","Bird","Bird (not Raptor)","No","No","No","Others"
"20","Tauraco_leucotis","Other",1107,3,"Tauraco_leucotis","Bird","Bird (not Raptor)","No","No","No","Others"
"21","Oryctolagus_cuniculus","PhD and more",1059.3,3,"Oryctolagus_cuniculus","Mammal","Lagomorpha","No","No","No","Others"
"22","Oryctolagus_cuniculus","High school + Middle school",1169.9,4,"Oryctolagus_cuniculus","Mammal","Lagomorpha","No","No","No","Others"
"23","Petroica_macrocephala","High school diploma",1070.8,4,"Petroica_macrocephala","Bird","Bird (not Raptor)","No","No","No","Others"
"24","Ailuropoda_melanoleuca","Kindergarten + Primary school",1288.7,4,"Ailuropoda_melanoleuca","Mammal","Ursus","No","No","No","Ursus"
"25","Oryctolagus_cuniculus","Master's degree",1097.4,4,"Oryctolagus_cuniculus","Mammal","Lagomorpha","No","No","No","Others"
"26","Phascolarctos_cinereus2","One/two/three-year technical/university degree",1067.9,4,"Phascolarctos_cinereus","Mammal","Marsupial","No","No","No","Others"
"27","Ara_chloropterus","Other",1149.8,4,"Ara_chloropterus","Bird","Bird (not Raptor)","No","No","No","Others"
"28","Petroica_macrocephala","PhD and more",1129.7,4,"Petroica_macrocephala","Bird","Bird (not Raptor)","No","No","No","Others"
"29","Propithecus_coquereli","High school + Middle school",1170.4,5,"Propithecus_coquereli","Mammal","Primate","No","No","No","Primate"
"30","Oryctolagus_cuniculus","High school diploma",1059.1,5,"Oryctolagus_cuniculus","Mammal","Lagomorpha","No","No","No","Others"
"31","Eulemur _coronatus2","Kindergarten + Primary school",1280.5,5,"Eulemur_coronatus","Mammal","Primate","No","No","No","Primate"
"32","Equus_caballus","Master's degree",1147.8,5,"Equus_caballus","Mammal","Ungulate","No","No","No","Others"
"33","Testudo_hermanni","One/two/three-year technical/university degree",1140.4,5,"Testudo_hermanni","Squamata","Tortoise","No","No","No","Others"
"34","Ara_ararauna","Other",1155.8,5,"Ara_ararauna","Bird","Bird (not Raptor)","No","No","No","Others"
"35","Testudo_hermanni","PhD and more",1158.9,5,"Testudo_hermanni","Squamata","Tortoise","No","No","No","Others"
"36","Suricata_suricatta","High school + Middle school",1178.8,6,"Suricata_suricatta","Mammal","Mongoose","No","Yes","No","Others"
"37","Loris_tardigradus","High school diploma",1095.3,6,"Loris_tardigradus","Mammal","Primate","No","No","No","Primate"
"38","Aepyceros_melampus2","Kindergarten + Primary school",1312.8,6,"Aepyceros_melampus","Mammal","Ungulate","No","No","No","Others"
"39","Felis_silvestris","Master's degree",1123.5,6,"Felis_silvestris_","Mammal","Felidae","No","No","No","Felidae"
"40","Muscardinus_avellanarius","One/two/three-year technical/university degree",1166.1,6,"Muscardinus_avellanarius","Mammal","Rodent","No","No","No","Others"
"41","Felis_silvestris","Other",1172.8,6,"Felis_silvestris_","Mammal","Felidae","No","No","No","Felidae"
"42","Muscardinus_avellanarius","PhD and more",1081.8,6,"Muscardinus_avellanarius","Mammal","Rodent","No","No","No","Others"
"43","Canis_lupus_familiaris2","High school + Middle school",1188.8,7,"Canis_lupus_familiaris","Mammal","Canidae","No","Yes","Yes","Canidae"
"44","Ara_chloropterus","High school diploma",1156.7,7,"Ara_chloropterus","Bird","Bird (not Raptor)","No","No","No","Others"
"45","Sula_sula","Kindergarten + Primary school",1310.6,7,"Sula_sula","Bird","Bird (not Raptor)","No","Yes","No","Others"
"46","Vicugna_vicugna","Master's degree",1153.4,7,"Vicugna_vicugna","Mammal","Ungulate","No","No","No","Others"
"47","Oryctolagus_cuniculus","One/two/three-year technical/university degree",1159.3,7,"Oryctolagus_cuniculus","Mammal","Lagomorpha","No","No","No","Others"
"48","Phascolarctos_cinereus2","Other",1185.5,7,"Phascolarctos_cinereus","Mammal","Marsupial","No","No","No","Others"
"49","Columba_livia","PhD and more",1129.5,7,"Columba_livia","Bird","Bird (not Raptor)","No","No","No","Others"
