"","name","High school + Middle school","High school diploma","Kindergarten + Primary school","Master's degree","One/two/three-year technical/university degree","Other","PhD and more"
"1","Acinonyx_jubatus",68,144,27,154,176,124,180
"2","Acinonyx_jubatus2",172,203,190,176,178,191,183
"3","Acryllium_vulturinum",114,134,104,120,146,92,136
"4","Aepyceros_melampus",106,18,84,73,65,103,63
"5","Aepyceros_melampus2",22,27,6,50,34,27,44
"6","Agalychnis_callidryas",119,105,43,92,53,29,23
"7","Ailuropoda_melanoleuca",52,43,4,56,33,38,72
"8","Ailurops_ursinus",48,29,53,58,82,121,33
"9","Ailurus_fulgens",15,35,17,13,30,16,62
"10","Alligator_mississippiensis",211,221,169,219,213,208,221
"11","Amblyrhynchus_cristatus",217,159,183,186,193,84,130
"12","Aonyx_cinereus",82,17,10,16,23,64,22
"13","Aonyx_cinereus2",57,14,50,36,11,19,9
"14","Aquila_chrysaetos",65,149,153,91,127,136,113
"15","Ara_ararauna",10,32,47,17,43,5,24
"16","Ara_chloropterus",3,7,79,27,20,4,46
"17","Arctocephalus forsteri",131,127,13,162,92,91,86
"18","Arctocephalus_forsteri2",54,60,137,35,35,74,102
"19","Artibeus_planirostris",156,140,111,103,120,193,133
"20","Asio_flammeus",18,61,NA,29,46,14,21
"21","Ateles_hybridus",176,59,177,125,136,100,151
"22","Ateles_paniscus",11,26,171,33,31,24,31
"23","Athene_noctua",59,31,14,28,26,35,27
"24","Athene_noctua2",92,16,69,69,24,18,25
"25","Athene_noctua3",36,58,143,41,62,26,65
"26","Balaeniceps_rex",201,122,109,109,156,112,128
"27","Bison_bonasus",155,215,199,194,203,165,214
"28","Bison_bonasus2",214,147,82,157,170,219,217
"29","Boa_constrictor",180,219,200,215,189,176,194
"30","Bubo_bubo",29,37,166,24,40,52,30
"31","Bubo_bubo2",39,39,55,22,39,46,32
"32","Bubo_scandiacus",44,34,110,43,37,90,34
"33","Bufonidae",84,100,206,112,113,107,108
"34","Buprestidae",210,212,151,117,142,150,193
"35","Buteo_galapagoensis",90,125,67,126,148,109,135
"36","Cairina_moschata",135,123,119,95,149,53,87
"37","Calliphora_vomitoria",118,154,160,137,108,189,141
"38","Callithrix_argentata",19,94,150,53,49,99,83
"39","Callithrix_penicillata",27,28,68,85,97,30,69
"40","Calloselasma rhodostoma",221,196,209,198,218,192,191
"41","Canis_lupus",167,148,11,165,131,85,120
"42","Canis_lupus_familiaris",75,62,65,142,114,167,154
"43","Canis_lupus_familiaris2",7,30,103,15,10,1,84
"44","Carlito_syrichta",101,44,28,66,81,133,55
"45","Centurio_senex",208,175,220,195,177,216,195
"46","Cerdocyon_thous",69,67,36,63,58,96,45
"47","Chelonoidis_porteri",47,48,42,14,15,80,19
"48","Choloepus_didactylus",21,64,127,31,59,101,18
"49","Choloepus_didactylus2",26,21,152,19,22,42,26
"50","Choloepus_didactylus3",14,63,24,25,18,39,13
"51","Chroicocephalus_scopulinus",103,47,108,76,56,49,14
"52","Columba_livia",58,15,58,32,25,48,7
"53","Conolophus_pallidus",188,184,130,169,169,82,144
"54","Corvus",67,117,81,82,103,67,158
"55","Corvus2",45,46,83,87,83,45,54
"56","Crocodylus_porosus",218,217,138,221,221,205,216
"57","Crocuta_crocuta",161,186,167,179,206,153,213
"58","Crotalus_atrox",215,168,141,213,212,186,188
"59","Crotalus2",196,214,46,216,217,200,162
"60","Cryptoprocto _ferox",81,119,44,147,95,61,152
"61","Cynictis_penicillata",160,114,73,98,71,98,140
"62","Dasypus_novemcinctus",89,82,92,65,45,44,64
"63","Daubentonia_madagascariensis",116,133,118,156,154,215,132
"64","Dendroaspis_angusticeps",159,187,217,185,210,207,182
"65","Desmodus_rotondus",174,161,38,170,155,181,131
"66","Didelphis_virginiana",120,95,89,93,76,73,78
"67","Equus_caballus",12,19,35,5,38,41,53
"68","Eudyptes chrysolophus",24,20,23,47,21,95,29
"69","Eudyptes_chrysocome",80,79,128,52,27,68,52
"70","Eulemur _coronatus",126,51,139,61,94,72,42
"71","Eulemur _coronatus2",20,66,5,79,63,43,35
"72","Euphractus _sexcinctus",130,126,75,78,84,114,37
"73","Evarcha_arcuata",163,197,134,181,192,190,173
"74","Felis_catus",34,22,107,67,85,37,99
"75","Felis_silvestris",17,8,54,6,9,6,51
"76","Geronticus_eremita",162,75,131,160,141,66,117
"77","Giraffa_camelopardalis_reticulata",85,38,94,12,60,9,71
"78","Gorilla_Gorilla_Beringei",191,139,132,149,144,149,172
"79","Gorilla_gorilla_gorilla",121,171,181,171,150,156,208
"80","Gulo_gulo",28,57,105,124,122,152,101
"81","Gulo_gulo2",109,110,106,139,160,139,146
"82","Gymnogyps_californianus",149,137,193,128,158,137,149
"83","Gypaetus_barbatus",76,103,129,96,87,158,139
"84","Gypaetus_barbatus2",110,130,85,140,121,88,91
"85","Gyps_rueppelli",83,138,100,148,165,123,119
"86","Haematopus_ater",127,73,74,44,52,31,16
"87","Harpia_Harpyja",55,112,156,99,119,111,66
"88","Helarctos_malayanus",179,146,96,161,163,178,179
"89","Hemicentetes_semispinosus",154,132,99,100,153,122,94
"90","Heterocephalus_glaber",203,150,135,203,180,197,127
"91","Hippopotamus_amphibius",200,170,117,175,186,161,186
"92","Hyaena_hyaena",165,183,205,204,196,172,167
"93","Hyles_euphorbiae",194,157,76,130,112,113,90
"94","Hylobates_agilis",42,99,20,71,55,50,43
"95","Hypsignathus_monstrosus",171,195,164,164,171,138,121
"96","Iguana_iguana",173,135,159,146,159,214,138
"97","Iguana_iguana2",181,141,179,138,110,65,116
"98","Incilius_alvarius",105,121,124,115,111,87,70
"99","Incilius_alvarius2",129,77,93,75,106,56,126
"100","Intellagama_lesueurii",168,156,33,122,128,159,148
"101","Laticauda_laticaudata",193,194,173,209,207,162,198
"102","Laticauda_saintgironsi",219,205,176,210,209,210,207
"103","Lemur_catta",13,84,39,68,12,55,49
"104","Lemur_catta2",53,50,32,46,50,13,50
"105","Leopardus_wiedii",96,78,31,101,93,86,109
"106","Leptailurus_serval",102,116,91,88,99,141,77
"107","Leptoptilos_crumenifer",150,180,133,107,105,97,157
"108","Libellula_quadrimaculata",99,129,189,108,117,144,123
"109","Litoria_infrafrenata",98,68,16,72,13,10,41
"110","Loris_tardigradus",138,6,12,18,28,11,8
"111","Loxodonta_africana",63,80,90,105,68,201,155
"112","Lycaon_pictus",144,189,122,155,168,195,177
"113","Lycaon_pictus2",152,206,101,180,187,126,187
"114","Lynx_rufus",133,167,147,182,167,168,160
"115","Lynx_rufus2",182,152,146,159,132,185,171
"116","Macaca_fuscata",66,102,113,116,133,145,159
"117","Macaca_silenus",123,88,78,111,104,142,100
"118","Macronectes_halli",151,158,219,123,135,196,124
"119","Macropus_rufogriseus",87,93,51,49,54,20,73
"120","Malayopython_reticulatus",205,201,63,212,216,151,200
"121","Malpolon_monspessulanus",184,209,57,192,188,143,156
"122","Mandrillus_sphinx",147,160,112,167,166,134,176
"123","Mandrillus_sphinx2",95,101,161,143,164,212,161
"124","Miopithecus_ogouensis",50,53,142,45,77,63,82
"125","Morelia_spilota",204,190,202,196,202,169,203
"126","Mungos_mungo",91,181,116,104,91,110,92
"127","Muscardinus_avellanarius",9,9,29,21,6,15,6
"128","Mygale",220,192,218,197,190,163,170
"129","Myocastor_coypus",41,41,178,34,17,93,10
"130","Naja_naja",202,208,211,211,220,218,220
"131","Nasua_narica",40,113,162,83,86,69,129
"132","Nasua_nasua",73,91,52,37,67,106,57
"133","Necrosyrtes_monachus",190,81,37,127,126,83,114
"134","Neofelis_nebulosa",136,131,120,178,139,183,175
"135","Nestor_meridionalis",111,40,25,42,102,127,56
"136","Notechis_scutatus",177,198,214,206,204,217,206
"137","Numida_meleagris",153,104,80,84,134,130,98
"138","Nyctereutes_procyonoides",64,86,97,77,57,135,137
"139","Odonata",100,111,175,141,137,128,96
"140","Odonata2",142,108,188,131,115,116,93
"141","Oryctolagus_cuniculus",4,5,30,4,7,8,3
"142","Oryctolagus_cuniculus2",1,1,41,1,1,2,1
"143","Otocolobus_manul",49,145,140,89,107,108,67
"144","Pamphagidae",71,143,184,94,118,40,106
"145","Pan_paniscus",104,42,203,64,75,147,85
"146","Pan_paniscus2",97,71,61,110,89,71,115
"147","Pan_paniscus3",107,85,215,59,69,54,143
"148","Pan_paniscus4",62,25,182,57,80,21,111
