"name","variable","value"
"Acinonyx_jubatus","High school + Middle school",68
"Acinonyx_jubatus2","High school + Middle school",172
"Acryllium_vulturinum","High school + Middle school",114
"Aepyceros_melampus","High school + Middle school",106
"Aepyceros_melampus2","High school + Middle school",22
"Agalychnis_callidryas","High school + Middle school",119
"Ailuropoda_melanoleuca","High school + Middle school",52
"Ailurops_ursinus","High school + Middle school",48
"Ailurus_fulgens","High school + Middle school",15
"Alligator_mississippiensis","High school + Middle school",211
"Amblyrhynchus_cristatus","High school + Middle school",217
"Aonyx_cinereus","High school + Middle school",82
"Aonyx_cinereus2","High school + Middle school",57
"Aquila_chrysaetos","High school + Middle school",65
"Ara_ararauna","High school + Middle school",10
"Ara_chloropterus","High school + Middle school",3
"Arctocephalus forsteri","High school + Middle school",131
"Arctocephalus_forsteri2","High school + Middle school",54
"Artibeus_planirostris","High school + Middle school",156
"Asio_flammeus","High school + Middle school",18
"Ateles_hybridus","High school + Middle school",176
"Ateles_paniscus","High school + Middle school",11
"Athene_noctua","High school + Middle school",59
"Athene_noctua2","High school + Middle school",92
"Athene_noctua3","High school + Middle school",36
"Balaeniceps_rex","High school + Middle school",201
"Bison_bonasus","High school + Middle school",155
"Bison_bonasus2","High school + Middle school",214
"Boa_constrictor","High school + Middle school",180
"Bubo_bubo","High school + Middle school",29
"Bubo_bubo2","High school + Middle school",39
"Bubo_scandiacus","High school + Middle school",44
"Bufonidae","High school + Middle school",84
"Buprestidae","High school + Middle school",210
"Buteo_galapagoensis","High school + Middle school",90
"Cairina_moschata","High school + Middle school",135
"Calliphora_vomitoria","High school + Middle school",118
"Callithrix_argentata","High school + Middle school",19
"Callithrix_penicillata","High school + Middle school",27
"Calloselasma rhodostoma","High school + Middle school",221
"Canis_lupus","High school + Middle school",167
"Canis_lupus_familiaris","High school + Middle school",75
"Canis_lupus_familiaris2","High school + Middle school",7
"Carlito_syrichta","High school + Middle school",101
"Centurio_senex","High school + Middle school",208
"Cerdocyon_thous","High school + Middle school",69
"Chelonoidis_porteri","High school + Middle school",47
"Choloepus_didactylus","High school + Middle school",21
"Choloepus_didactylus2","High school + Middle school",26
"Choloepus_didactylus3","High school + Middle school",14
"Chroicocephalus_scopulinus","High school + Middle school",103
"Columba_livia","High school + Middle school",58
"Conolophus_pallidus","High school + Middle school",188
"Corvus","High school + Middle school",67
"Corvus2","High school + Middle school",45
"Crocodylus_porosus","High school + Middle school",218
"Crocuta_crocuta","High school + Middle school",161
"Crotalus_atrox","High school + Middle school",215
"Crotalus2","High school + Middle school",196
"Cryptoprocto _ferox","High school + Middle school",81
"Cynictis_penicillata","High school + Middle school",160
"Dasypus_novemcinctus","High school + Middle school",89
"Daubentonia_madagascariensis","High school + Middle school",116
"Dendroaspis_angusticeps","High school + Middle school",159
"Desmodus_rotondus","High school + Middle school",174
"Didelphis_virginiana","High school + Middle school",120
"Equus_caballus","High school + Middle school",12
"Eudyptes chrysolophus","High school + Middle school",24
"Eudyptes_chrysocome","High school + Middle school",80
"Eulemur _coronatus","High school + Middle school",126
"Eulemur _coronatus2","High school + Middle school",20
"Euphractus _sexcinctus","High school + Middle school",130
"Evarcha_arcuata","High school + Middle school",163
"Felis_catus","High school + Middle school",34
"Felis_silvestris","High school + Middle school",17
"Geronticus_eremita","High school + Middle school",162
"Giraffa_camelopardalis_reticulata","High school + Middle school",85
"Gorilla_Gorilla_Beringei","High school + Middle school",191
"Gorilla_gorilla_gorilla","High school + Middle school",121
"Gulo_gulo","High school + Middle school",28
"Gulo_gulo2","High school + Middle school",109
"Gymnogyps_californianus","High school + Middle school",149
"Gypaetus_barbatus","High school + Middle school",76
"Gypaetus_barbatus2","High school + Middle school",110
"Gyps_rueppelli","High school + Middle school",83
