"name","High school + Middle school","High school diploma","Kindergarten + Primary school","Master's degree","One/two/three-year technical/university degree","Other","PhD and more","Species","Group","Subgroup","PredatorPrimates","Predator","Dangerous"
"Acinonyx_jubatus",1447,1604,1376.2,1609.3,1646,1524.4,1667.4,"Acinonyx_jubatus","Mammal","Felidae","Yes","Yes","Yes"
"Acinonyx_jubatus2",1652.8,1771.8,1610,1638.6,1610,1705.4,1740.7,"Acinonyx_jubatus","Mammal","Felidae","Yes","Yes","Yes"
"Acryllium_vulturinum",1472.3,1581.5,1521.8,1560.6,1548.5,1458.1,1521.7,"Acryllium_vulturinum","Bird","Bird (not Raptor)","No","No","No"
"Aepyceros_melampus",1500,1235.5,1463.7,1387.5,1336.1,1505.7,1377.8,"Aepyceros_melampus","Mammal","Ungulate","No","No","No"
"Aepyceros_melampus2",1311.7,1241.7,1312.8,1279.1,1232.6,1295.9,1322.8,"Aepyceros_melampus","Mammal","Ungulate","No","No","No"
"Agalychnis_callidryas",1548.6,1491.6,1394.6,1460.1,1341.3,1301.9,1234.3,"Agalychnis_callidryas","Squamata","Amphibia","No","Yes","No"
"Ailuropoda_melanoleuca",1391.8,1280.4,1288.7,1322.6,1252.7,1332.4,1309.9,"Ailuropoda_melanoleuca","Mammal","Ursus","No","No","No"
"Ailurops_ursinus",1347.1,1213.8,1420.4,1399.9,1373.4,1505,1263.3,"Ailurops_ursinus","Mammal","Marsupial","No","No","No"
"Ailurus_fulgens",1222,1247.7,1341.4,1183.7,1284.6,1277.6,1327.6,"Ailurus_fulgens","Mammal","Ursus","No","No","No"
"Alligator_mississippiensis",1809.6,2013.6,1576.9,1931.9,1844.7,1766.6,2055.8,"Alligator_mississippiensis","Squamata","Crocodile","Yes","Yes","Yes"
"Amblyrhynchus_cristatus",1813.7,1583.8,1601.4,1677.4,1752.1,1449.1,1504.6,"Amblyrhynchus_cristatus","Squamata","Lizard","No","No","No"
"Aonyx_cinereus",1395.9,1233.9,1319.1,1195.2,1257.8,1410.2,1322.3,"Aonyx_cinereus","Mammal","Mustelidae","No","Yes","No"
"Aonyx_cinereus2",1388.5,1212.6,1409.2,1306.7,1231.6,1278.6,1163.6,"Aonyx_cinereus","Mammal","Mustelidae","No","Yes","No"
"Aquila_chrysaetos",1428.3,1568.5,1552.5,1466.7,1554.2,1519.3,1441,"Aquila_chrysaetos","Bird","Raptor","No","No","No"
"Ara_ararauna",1184.1,1277.1,1405.4,1224.5,1227.7,1155.8,1224.4,"Ara_ararauna","Bird","Bird (not Raptor)","No","No","No"
"Ara_chloropterus",1132.8,1156.7,1451.9,1232,1206,1149.8,1359.8,"Ara_chloropterus","Bird","Bird (not Raptor)","No","No","No"
"Arctocephalus forsteri",1573.6,1566,1329.5,1517.7,1548.7,1467.2,1439.4,"Arctocephalus_forsteri","Mammal","Sea lion","No","Yes","No"
"Arctocephalus_forsteri2",1398.6,1295.7,1516.7,1307.1,1325.8,1410.1,1440.6,"Arctocephalus_forsteri","Mammal","Sea lion","No","Yes","No"
"Artibeus_planirostris",1561.9,1564.3,1502,1495.4,1533.6,1643.9,1586,"Artibeus_planirostris","Mammal","Chiroptera","No","No","No"
"Asio_flammeus",1256.6,1393.7,NA,1259.3,1300.7,1263.2,1243.6,"Asio_flammeus","Bird","Raptor","No","Yes","No"
"Ateles_hybridus",1651.6,1390.4,1591.7,1514.5,1545.4,1478.4,1588,"Ateles_hybridus","Mammal","Primate","No","No","No"
"Ateles_paniscus",1204.6,1290.7,1564.6,1249.3,1311.4,1279.3,1335.1,"Ateles_paniscus","Mammal","Primate","No","No","No"
"Athene_noctua",1386.7,1294.3,1325.1,1288.5,1265.9,1381.3,1314.4,"Athene_noctua","Bird","Bird (not Raptor)","No","Yes","No"
"Athene_noctua2",1458,1153.9,1455.7,1365.1,1231.3,1273.7,1285.8,"Athene_noctua","Bird","Bird (not Raptor)","No","Yes","No"
"Athene_noctua3",1336.7,1318.5,1530.6,1323.4,1412.6,1307.5,1346.2,"Athene_noctua","Bird","Bird (not Raptor)","No","Yes","No"
"Balaeniceps_rex",1664.7,1545.5,1474.9,1483.2,1642.8,1486,1535.9,"Balaeniceps_rex","Bird","Bird (not Raptor)","No","No","No"
"Bison_bonasus",1621.1,1787.2,1634.3,1711.4,1745.1,1629.8,1846.9,"Bison_bonasus","Mammal","Ungulate","No","No","No"
"Bison_bonasus2",1775.5,1604.5,1464,1687.1,1699.2,1818.7,1850.6,"Bison_bonasus","Mammal","Ungulate","No","No","No"
"Boa_constrictor",1659.4,1864.8,1624.1,1818.3,1747.8,1664.7,1806.3,"Boa_constrictor","Squamata","Snake","Yes","Yes","No"
"Bubo_bubo",1285.8,1271.9,1558.7,1228.5,1283.2,1383.6,1255.4,"Bubo_bubo","Bird","Raptor","No","Yes","No"
"Bubo_bubo2",1325.2,1265.8,1432.5,1216.6,1291.5,1373.4,1349.9,"Bubo_bubo","Bird","Raptor","No","Yes","No"
