"name","variable","value"
"Acinonyx_jubatus","High school + Middle school",1447
"Acinonyx_jubatus2","High school + Middle school",1652.8
"Acryllium_vulturinum","High school + Middle school",1472.3
"Aepyceros_melampus","High school + Middle school",1500
"Aepyceros_melampus2","High school + Middle school",1311.7
"Agalychnis_callidryas","High school + Middle school",1548.6
"Ailuropoda_melanoleuca","High school + Middle school",1391.8
"Ailurops_ursinus","High school + Middle school",1347.1
"Ailurus_fulgens","High school + Middle school",1222
"Alligator_mississippiensis","High school + Middle school",1809.6
"Amblyrhynchus_cristatus","High school + Middle school",1813.7
"Aonyx_cinereus","High school + Middle school",1395.9
"Aonyx_cinereus2","High school + Middle school",1388.5
"Aquila_chrysaetos","High school + Middle school",1428.3
"Ara_ararauna","High school + Middle school",1184.1
"Ara_chloropterus","High school + Middle school",1132.8
"Arctocephalus forsteri","High school + Middle school",1573.6
"Arctocephalus_forsteri2","High school + Middle school",1398.6
"Artibeus_planirostris","High school + Middle school",1561.9
"Asio_flammeus","High school + Middle school",1256.6
"Ateles_hybridus","High school + Middle school",1651.6
"Ateles_paniscus","High school + Middle school",1204.6
"Athene_noctua","High school + Middle school",1386.7
"Athene_noctua2","High school + Middle school",1458
"Athene_noctua3","High school + Middle school",1336.7
"Balaeniceps_rex","High school + Middle school",1664.7
"Bison_bonasus","High school + Middle school",1621.1
"Bison_bonasus2","High school + Middle school",1775.5
"Boa_constrictor","High school + Middle school",1659.4
"Bubo_bubo","High school + Middle school",1285.8
"Bubo_bubo2","High school + Middle school",1325.2
"Bubo_scandiacus","High school + Middle school",1341.6
"Bufonidae","High school + Middle school",1450.4
"Buprestidae","High school + Middle school",1794.5
"Buteo_galapagoensis","High school + Middle school",1434.7
"Cairina_moschata","High school + Middle school",1566.2
"Calliphora_vomitoria","High school + Middle school",1535.8
"Callithrix_argentata","High school + Middle school",1238.3
"Callithrix_penicillata","High school + Middle school",1285.7
"Calloselasma rhodostoma","High school + Middle school",1967
"Canis_lupus","High school + Middle school",1615.5
"Canis_lupus_familiaris","High school + Middle school",1458
"Canis_lupus_familiaris2","High school + Middle school",1188.8
"Carlito_syrichta","High school + Middle school",1505.9
"Centurio_senex","High school + Middle school",1775.1
"Cerdocyon_thous","High school + Middle school",1431
"Chelonoidis_porteri","High school + Middle school",1383.2
"Choloepus_didactylus","High school + Middle school",1282.7
"Choloepus_didactylus2","High school + Middle school",1312.8
"Choloepus_didactylus3","High school + Middle school",1211.4
"Chroicocephalus_scopulinus","High school + Middle school",1475.6
"Columba_livia","High school + Middle school",1352.1
"Conolophus_pallidus","High school + Middle school",1673.7
"Corvus","High school + Middle school",1417
"Corvus2","High school + Middle school",1324.8
"Crocodylus_porosus","High school + Middle school",1804.1
"Crocuta_crocuta","High school + Middle school",1641.5
"Crotalus_atrox","High school + Middle school",1827.4
"Crotalus2","High school + Middle school",1694.1
"Cryptoprocto _ferox","High school + Middle school",1450.3
"Cynictis_penicillata","High school + Middle school",1596
"Dasypus_novemcinctus","High school + Middle school",1467.6
"Daubentonia_madagascariensis","High school + Middle school",1508.6
"Dendroaspis_angusticeps","High school + Middle school",1597.5
"Desmodus_rotondus","High school + Middle school",1623.1
"Didelphis_virginiana","High school + Middle school",1510.1
"Equus_caballus","High school + Middle school",1215.9
"Eudyptes chrysolophus","High school + Middle school",1307.1
"Eudyptes_chrysocome","High school + Middle school",1479.7
"Eulemur _coronatus","High school + Middle school",1517.9
"Eulemur _coronatus2","High school + Middle school",1291.3
"Euphractus _sexcinctus","High school + Middle school",1531.4
"Evarcha_arcuata","High school + Middle school",1620
"Felis_catus","High school + Middle school",1330.3
"Felis_silvestris","High school + Middle school",1282.3
"Geronticus_eremita","High school + Middle school",1610.4
"Giraffa_camelopardalis_reticulata","High school + Middle school",1450
"Gorilla_Gorilla_Beringei","High school + Middle school",1666.7
"Gorilla_gorilla_gorilla","High school + Middle school",1523.5
"Gulo_gulo","High school + Middle school",1276.3
"Gulo_gulo2","High school + Middle school",1489.1
"Gymnogyps_californianus","High school + Middle school",1555.9
"Gypaetus_barbatus","High school + Middle school",1435.1
"Gypaetus_barbatus2","High school + Middle school",1525.5
"Gyps_rueppelli","High school + Middle school",1492.1
"Haematopus_ater","High school + Middle school",1520.6
"Harpia_Harpyja","High school + Middle school",1391.2
"Helarctos_malayanus","High school + Middle school",1687.4
"Hemicentetes_semispinosus","High school + Middle school",1560.8
"Heterocephalus_glaber","High school + Middle school",1700.8
"Hippopotamus_amphibius","High school + Middle school",1698.2
"Hyaena_hyaena","High school + Middle school",1621
"Hyles_euphorbiae","High school + Middle school",1694.9
"Hylobates_agilis","High school + Middle school",1352.9
"Hypsignathus_monstrosus","High school + Middle school",1638.6
"Iguana_iguana","High school + Middle school",1597
"Iguana_iguana2","High school + Middle school",1653.8
"Incilius_alvarius","High school + Middle school",1482.4
"Incilius_alvarius2","High school + Middle school",1543.9
"Intellagama_lesueurii","High school + Middle school",1615.1
"Laticauda_laticaudata","High school + Middle school",1726.2
"Laticauda_saintgironsi","High school + Middle school",1834.1
"Lemur_catta","High school + Middle school",1228.8
"Lemur_catta2","High school + Middle school",1380.5
