"Name","Age","EloScore","EloRank"
"Acinonyx_jubatus","- 30 years old",1572.7,154
"Acinonyx_jubatus2","- 30 years old",1626,171
"Acryllium_vulturinum","- 30 years old",1611.9,141
"Aepyceros_melampus","- 30 years old",1378,67
"Aepyceros_melampus2","- 30 years old",1290.9,41
"Agalychnis_callidryas","- 30 years old",1404.7,71
"Ailuropoda_melanoleuca","- 30 years old",1269.4,36
"Ailurops_ursinus","- 30 years old",1307.7,59
"Ailurus_fulgens","- 30 years old",1193.8,14
"Alligator_mississippiensis","- 30 years old",1924.8,220
"Amblyrhynchus_cristatus","- 30 years old",1763.5,194
"Aonyx_cinereus","- 30 years old",1229.5,26
"Aonyx_cinereus2","- 30 years old",1263.4,21
"Aquila_chrysaetos","- 30 years old",1533.2,102
"Ara_ararauna","- 30 years old",1247.6,17
"Ara_chloropterus","- 30 years old",1232.1,13
"Arctocephalus forsteri","- 30 years old",1439.8,118
"Arctocephalus_forsteri2","- 30 years old",1284.6,40
"Artibeus_planirostris","- 30 years old",1539.5,137
"Asio_flammeus","- 30 years old",1276.6,32
"Ateles_hybridus","- 30 years old",1617.6,106
"Ateles_paniscus","- 30 years old",1225.6,25
"Athene_noctua","- 30 years old",1224.4,23
"Athene_noctua2","- 30 years old",1353.8,56
"Athene_noctua3","- 30 years old",1415.9,65
"Balaeniceps_rex","- 30 years old",1551.2,149
"Bison_bonasus","- 30 years old",1772.9,203
"Bison_bonasus2","- 30 years old",1601.8,173
"Boa_constrictor","- 30 years old",1760.4,211
"Bubo_bubo","- 30 years old",1253.5,38
"Bubo_bubo2","- 30 years old",1260.4,31
"Bubo_scandiacus","- 30 years old",1330,44
"Bufonidae","- 30 years old",1499.8,135
"Buprestidae","- 30 years old",1647.1,165
"Buteo_galapagoensis","- 30 years old",1549.5,117
"Cairina_moschata","- 30 years old",1517.3,121
"Calliphora_vomitoria","- 30 years old",1577,109
"Callithrix_argentata","- 30 years old",1345.5,52
"Callithrix_penicillata","- 30 years old",1404.9,51
"Calloselasma rhodostoma","- 30 years old",1823.7,219
"Canis_lupus","- 30 years old",1567.3,151
"Canis_lupus_familiaris","- 30 years old",1449.6,98
"Canis_lupus_familiaris2","- 30 years old",1195,9
"Carlito_syrichta","- 30 years old",1417.7,77
"Centurio_senex","- 30 years old",1680.9,186
"Cerdocyon_thous","- 30 years old",1373.2,48
"Chelonoidis_porteri","- 30 years old",1248.1,18
"Choloepus_didactylus","- 30 years old",1283.5,37
"Choloepus_didactylus2","- 30 years old",1238.7,19
