"Name","Age","EloScore","EloRank","Species","Group","Subgroup","PredatorPrimates","Predator","Dangerous"
"Oryctolagus_cuniculus2","- 30 years old",866.5,1,"Oryctolagus_cuniculus","Mammal","Lagomorpha","No","No","No"
"Oryctolagus_cuniculus2","+ 30 years old",827.2,1,"Oryctolagus_cuniculus","Mammal","Lagomorpha","No","No","No"
"Petroica_macrocephala","- 30 years old",1057.6,2,"Petroica_macrocephala","Bird","Bird (not Raptor)","No","No","No"
"Petroica_macrocephala","+ 30 years old",1008.4,2,"Petroica_macrocephala","Bird","Bird (not Raptor)","No","No","No"
"Phascolarctos_cinereus","- 30 years old",1073.1,3,"Phascolarctos_cinereus","Mammal","Marsupial","No","No","No"
"Oryctolagus_cuniculus","+ 30 years old",1047,3,"Oryctolagus_cuniculus","Mammal","Lagomorpha","No","No","No"
"Phascolarctos_cinereus2","- 30 years old",1090.9,4,"Phascolarctos_cinereus","Mammal","Marsupial","No","No","No"
"Phascolarctos_cinereus2","+ 30 years old",988.6,4,"Phascolarctos_cinereus","Mammal","Marsupial","No","No","No"
"Oryctolagus_cuniculus","- 30 years old",1137.7,5,"Oryctolagus_cuniculus","Mammal","Lagomorpha","No","No","No"
"Testudo_hermanni","+ 30 years old",1075.4,5,"Testudo_hermanni","Squamata","Tortoise","No","No","No"
"Testudo_hermanni","- 30 years old",1159.9,6,"Testudo_hermanni","Squamata","Tortoise","No","No","No"
"Tauraco_leucotis","+ 30 years old",1108.5,6,"Tauraco_leucotis","Bird","Bird (not Raptor)","No","No","No"
"Muscardinus_avellanarius","- 30 years old",1126.1,7,"Muscardinus_avellanarius","Mammal","Rodent","No","No","No"
"Phascolarctos_cinereus","+ 30 years old",1094.8,7,"Phascolarctos_cinereus","Mammal","Marsupial","No","No","No"
"Vicugna_vicugna","- 30 years old",1203.6,8,"Vicugna_vicugna","Mammal","Ungulate","No","No","No"
"Felis_silvestris","+ 30 years old",1135.5,8,"Felis_silvestris_","Mammal","Felidae","No","No","No"
"Canis_lupus_familiaris2","- 30 years old",1195,9,"Canis_lupus_familiaris","Mammal","Canidae","No","Yes","Yes"
"Vicugna_vicugna","+ 30 years old",1159.5,9,"Vicugna_vicugna","Mammal","Ungulate","No","No","No"
"Felis_silvestris","- 30 years old",1163.8,10,"Felis_silvestris_","Mammal","Felidae","No","No","No"
"Muscardinus_avellanarius","+ 30 years old",1194.6,10,"Muscardinus_avellanarius","Mammal","Rodent","No","No","No"
"Spheniscus_humboldti","- 30 years old",1175.6,11,"Spheniscus_humboldti","Bird","Bird (not Raptor)","No","Yes","No"
"Canis_lupus_familiaris2","+ 30 years old",1276.5,11,"Canis_lupus_familiaris","Mammal","Canidae","No","Yes","Yes"
"Choloepus_didactylus3","- 30 years old",1193.9,12,"Choloepus_didactylus","Mammal","Xenarthra","No","No","No"
