"","name","- 30 years old","+ 30 years old"
"1","Acinonyx_jubatus",154,164
"2","Acinonyx_jubatus2",171,184
"3","Acryllium_vulturinum",141,115
"4","Aepyceros_melampus",67,58
"5","Aepyceros_melampus2",41,29
"6","Agalychnis_callidryas",71,57
"7","Ailuropoda_melanoleuca",36,62
"8","Ailurops_ursinus",59,43
"9","Ailurus_fulgens",14,18
"10","Alligator_mississippiensis",220,220
"11","Amblyrhynchus_cristatus",194,161
"12","Aonyx_cinereus",26,27
"13","Aonyx_cinereus2",21,15
"14","Aquila_chrysaetos",102,109
"15","Ara_ararauna",17,33
"16","Ara_chloropterus",13,12
"17","Arctocephalus forsteri",118,106
"18","Arctocephalus_forsteri2",40,69
"19","Artibeus_planirostris",137,151
"20","Asio_flammeus",32,71
"21","Ateles_hybridus",106,152
"22","Ateles_paniscus",25,45
"23","Athene_noctua",23,36
"24","Athene_noctua2",56,22
"25","Athene_noctua3",65,50
"26","Balaeniceps_rex",149,123
"27","Bison_bonasus",203,181
"28","Bison_bonasus2",173,180
"29","Boa_constrictor",211,201
"30","Bubo_bubo",38,28
"31","Bubo_bubo2",31,37
"32","Bubo_scandiacus",44,19
"33","Bufonidae",135,89
"34","Buprestidae",165,156
"35","Buteo_galapagoensis",117,107
"36","Cairina_moschata",121,95
"37","Calliphora_vomitoria",109,153
"38","Callithrix_argentata",52,86
"39","Callithrix_penicillata",51,73
"40","Calloselasma rhodostoma",219,210
"41","Canis_lupus",151,149
"42","Canis_lupus_familiaris",98,128
"43","Canis_lupus_familiaris2",9,11
"44","Carlito_syrichta",77,82
"45","Centurio_senex",186,188
"46","Cerdocyon_thous",48,96
"47","Chelonoidis_porteri",18,31
"48","Choloepus_didactylus",37,20
"49","Choloepus_didactylus2",19,24
"50","Choloepus_didactylus3",12,40
"51","Chroicocephalus_scopulinus",70,47
"52","Columba_livia",42,25
"53","Conolophus_pallidus",163,169
"54","Corvus",94,129
"55","Corvus2",85,87
"56","Crocodylus_porosus",221,219
"57","Crocuta_crocuta",196,205
"58","Crotalus_atrox",215,202
"59","Crotalus2",202,217
"60","Cryptoprocto _ferox",105,112
"61","Cynictis_penicillata",112,91
"62","Dasypus_novemcinctus",57,72
"63","Daubentonia_madagascariensis",170,141
"64","Dendroaspis_angusticeps",217,206
"65","Desmodus_rotondus",166,158
"66","Didelphis_virginiana",95,64
"67","Equus_caballus",16,16
"68","Eudyptes chrysolophus",35,23
"69","Eudyptes_chrysocome",61,38
"70","Eulemur _coronatus",84,54
"71","Eulemur _coronatus2",69,32
"72","Euphractus _sexcinctus",88,85
"73","Evarcha_arcuata",200,186
"74","Felis_catus",73,78
"75","Felis_silvestris",10,8
"76","Geronticus_eremita",175,142
"77","Giraffa_camelopardalis_reticulata",27,26
"78","Gorilla_Gorilla_Beringei",174,144
"79","Gorilla_gorilla_gorilla",153,175
"80","Gulo_gulo",68,126
"81","Gulo_gulo2",125,118
"82","Gymnogyps_californianus",162,130
"83","Gypaetus_barbatus",123,79
"84","Gypaetus_barbatus2",136,97
"85","Gyps_rueppelli",155,117
"86","Haematopus_ater",81,30
"87","Harpia_Harpyja",82,111
"88","Helarctos_malayanus",146,163
"89","Hemicentetes_semispinosus",152,102
"90","Heterocephalus_glaber",191,187
"91","Hippopotamus_amphibius",183,179
"92","Hyaena_hyaena",182,204
"93","Hyles_euphorbiae",144,139
"94","Hylobates_agilis",39,56
"95","Hypsignathus_monstrosus",189,148
"96","Iguana_iguana",142,176
"97","Iguana_iguana2",138,133
"98","Incilius_alvarius",99,99
"99","Incilius_alvarius2",83,88
"100","Intellagama_lesueurii",143,147
"101","Laticauda_laticaudata",205,211
"102","Laticauda_saintgironsi",207,207
"103","Lemur_catta",45,46
"104","Lemur_catta2",62,59
"105","Leopardus_wiedii",107,92
"106","Leptailurus_serval",72,103
"107","Leptoptilos_crumenifer",111,127
"108","Libellula_quadrimaculata",104,143
"109","Litoria_infrafrenata",46,41
"110","Loris_tardigradus",15,13
"111","Loxodonta_africana",80,114
"112","Lycaon_pictus",167,178
"113","Lycaon_pictus2",176,182
"114","Lynx_rufus",177,173
"115","Lynx_rufus2",133,167
"116","Macaca_fuscata",113,135
"117","Macaca_silenus",140,125
"118","Macronectes_halli",124,150
"119","Macropus_rufogriseus",63,60
"120","Malayopython_reticulatus",209,194
"121","Malpolon_monspessulanus",185,171
"122","Mandrillus_sphinx",164,159
"123","Mandrillus_sphinx2",157,146
"124","Miopithecus_ogouensis",55,65
"125","Morelia_spilota",214,203
"126","Mungos_mungo",101,119
"127","Muscardinus_avellanarius",7,10
"128","Mygale",193,190
"129","Myocastor_coypus",47,14
"130","Naja_naja",213,221
"131","Nasua_narica",100,81
"132","Nasua_nasua",53,55
"133","Necrosyrtes_monachus",131,122
"134","Neofelis_nebulosa",148,155
"135","Nestor_meridionalis",66,44
"136","Notechis_scutatus",201,213
"137","Numida_meleagris",87,84
"138","Nyctereutes_procyonoides",64,100
"139","Odonata",132,138
"140","Odonata2",150,137
"141","Oryctolagus_cuniculus",5,3
"142","Oryctolagus_cuniculus2",1,1
"143","Otocolobus_manul",93,105
"144","Pamphagidae",110,121
"145","Pan_paniscus",92,93
"146","Pan_paniscus2",103,68
"147","Pan_paniscus3",74,76
"148","Pan_paniscus4",75,61
"149","Pan_troglodytes",139,124
"150","Pan_troglodytes2",50,48
"151","Panthera_leo",188,183
"152","Panthera_leo2",169,193
"153","Panthera_leo3",187,212
"154","Panthera_onca",184,209
"155","Panthera_onca_2",172,170
"156","Panthera_onca3",192,199
"157","Panthera_pardus",210,191
"158","Panthera_pardus_3",208,195
"159","Panthera_pardus2",160,162
"160","Panthera_tigris2",161,198
"161","Panthera_uncia",168,172
"162","Papillon",120,108
"163","Papio_hamadryas",156,160
"164","Pardofelis_temminckii",97,140
"165","Petroica_macrocephala",2,2
"166","Phacochoerus_africanus",190,215
"167","Phascolarctos_cinereus",3,7
"168","Phascolarctos_cinereus2",4,4
"169","Pholcus_phalangioides",218,216
"170","Pithecia pithecia",122,134
"171","Pithecia pithecia2",115,132
"172","Plathyrrhinus_fusciventris",134,131
"173","Podarcis_muralis",178,165
"174","Pogona_vitticeps",60,110
"175","Porphyrio_hochstetteri",108,94
"176","Procyon_lotor",58,67
"177","Propithecus_coquereli",28,42
"178","Propithecus_verreauxi",33,39
"179","Psittacus_erithacus",30,49
"180","Pteropus_conspicillatus",76,66
"181","Puma_concolor",179,185
"182","Python_bivittatus",195,214
"183","Python_regius",197,208
"184","Rattus_norvegicus",49,90
"185","Rhinopithecus_roxellana",20,35
