"name","variable","value"
"Acinonyx_jubatus","- 30 years old",154
"Acinonyx_jubatus2","- 30 years old",171
"Acryllium_vulturinum","- 30 years old",141
"Aepyceros_melampus","- 30 years old",67
"Aepyceros_melampus2","- 30 years old",41
"Agalychnis_callidryas","- 30 years old",71
"Ailuropoda_melanoleuca","- 30 years old",36
"Ailurops_ursinus","- 30 years old",59
"Ailurus_fulgens","- 30 years old",14
"Alligator_mississippiensis","- 30 years old",220
"Amblyrhynchus_cristatus","- 30 years old",194
"Aonyx_cinereus","- 30 years old",26
"Aonyx_cinereus2","- 30 years old",21
"Aquila_chrysaetos","- 30 years old",102
"Ara_ararauna","- 30 years old",17
"Ara_chloropterus","- 30 years old",13
"Arctocephalus forsteri","- 30 years old",118
"Arctocephalus_forsteri2","- 30 years old",40
"Artibeus_planirostris","- 30 years old",137
"Asio_flammeus","- 30 years old",32
"Ateles_hybridus","- 30 years old",106
"Ateles_paniscus","- 30 years old",25
"Athene_noctua","- 30 years old",23
"Athene_noctua2","- 30 years old",56
"Athene_noctua3","- 30 years old",65
"Balaeniceps_rex","- 30 years old",149
"Bison_bonasus","- 30 years old",203
"Bison_bonasus2","- 30 years old",173
"Boa_constrictor","- 30 years old",211
"Bubo_bubo","- 30 years old",38
"Bubo_bubo2","- 30 years old",31
"Bubo_scandiacus","- 30 years old",44
"Bufonidae","- 30 years old",135
"Buprestidae","- 30 years old",165
"Buteo_galapagoensis","- 30 years old",117
"Cairina_moschata","- 30 years old",121
"Calliphora_vomitoria","- 30 years old",109
"Callithrix_argentata","- 30 years old",52
"Callithrix_penicillata","- 30 years old",51
"Calloselasma rhodostoma","- 30 years old",219
"Canis_lupus","- 30 years old",151
"Canis_lupus_familiaris","- 30 years old",98
"Canis_lupus_familiaris2","- 30 years old",9
"Carlito_syrichta","- 30 years old",77
"Centurio_senex","- 30 years old",186
"Cerdocyon_thous","- 30 years old",48
"Chelonoidis_porteri","- 30 years old",18
"Choloepus_didactylus","- 30 years old",37
"Choloepus_didactylus2","- 30 years old",19
"Choloepus_didactylus3","- 30 years old",12
"Chroicocephalus_scopulinus","- 30 years old",70
"Columba_livia","- 30 years old",42
"Conolophus_pallidus","- 30 years old",163
"Corvus","- 30 years old",94
"Corvus2","- 30 years old",85
"Crocodylus_porosus","- 30 years old",221
"Crocuta_crocuta","- 30 years old",196
"Crotalus_atrox","- 30 years old",215
"Crotalus2","- 30 years old",202
"Cryptoprocto _ferox","- 30 years old",105
"Cynictis_penicillata","- 30 years old",112
"Dasypus_novemcinctus","- 30 years old",57
"Daubentonia_madagascariensis","- 30 years old",170
"Dendroaspis_angusticeps","- 30 years old",217
"Desmodus_rotondus","- 30 years old",166
"Didelphis_virginiana","- 30 years old",95
"Equus_caballus","- 30 years old",16
"Eudyptes chrysolophus","- 30 years old",35
"Eudyptes_chrysocome","- 30 years old",61
"Eulemur _coronatus","- 30 years old",84
"Eulemur _coronatus2","- 30 years old",69
"Euphractus _sexcinctus","- 30 years old",88
"Evarcha_arcuata","- 30 years old",200
