"name","- 30 years old","+ 30 years old"
"Acinonyx_jubatus",1572.7,1620
"Acinonyx_jubatus2",1626,1752.8
"Acryllium_vulturinum",1611.9,1480.8
"Aepyceros_melampus",1378,1391.3
"Aepyceros_melampus2",1290.9,1222.5
"Agalychnis_callidryas",1404.7,1426.2
"Ailuropoda_melanoleuca",1269.4,1315.3
"Ailurops_ursinus",1307.7,1345.4
"Ailurus_fulgens",1193.8,1221.1
"Alligator_mississippiensis",1924.8,1943.2
"Amblyrhynchus_cristatus",1763.5,1599.6
"Aonyx_cinereus",1229.5,1202.3
"Aonyx_cinereus2",1263.4,1215.8
"Aquila_chrysaetos",1533.2,1511.2
"Ara_ararauna",1247.6,1234.4
"Ara_chloropterus",1232.1,1197.4
"Arctocephalus forsteri",1439.8,1489.2
"Arctocephalus_forsteri2",1284.6,1382.1
"Artibeus_planirostris",1539.5,1625
"Asio_flammeus",1276.6,1314.7
"Ateles_hybridus",1617.6,1546.4
"Ateles_paniscus",1225.6,1310.4
"Athene_noctua",1224.4,1262.4
"Athene_noctua2",1353.8,1232.6
"Athene_noctua3",1415.9,1285.5
"Balaeniceps_rex",1551.2,1465.4
"Bison_bonasus",1772.9,1746.9
"Bison_bonasus2",1601.8,1720
"Boa_constrictor",1760.4,1821.1
"Bubo_bubo",1253.5,1247
"Bubo_bubo2",1260.4,1212.7
"Bubo_scandiacus",1330,1268.1
"Bufonidae",1499.8,1475.5
"Buprestidae",1647.1,1594.8
"Buteo_galapagoensis",1549.5,1524.8
"Cairina_moschata",1517.3,1489.2
"Calliphora_vomitoria",1577,1616.7
"Callithrix_argentata",1345.5,1424.8
"Callithrix_penicillata",1404.9,1469.3
"Calloselasma rhodostoma",1823.7,1835.9
"Canis_lupus",1567.3,1543.5
"Canis_lupus_familiaris",1449.6,1507.1
"Canis_lupus_familiaris2",1195,1276.5
"Carlito_syrichta",1417.7,1405.9
"Centurio_senex",1680.9,1720.9
"Cerdocyon_thous",1373.2,1348.8
"Chelonoidis_porteri",1248.1,1254.1
"Choloepus_didactylus",1283.5,1261.2
"Choloepus_didactylus2",1238.7,1205.7
"Choloepus_didactylus3",1193.9,1345
"Chroicocephalus_scopulinus",1374.3,1295.7
"Columba_livia",1305,1294.1
"Conolophus_pallidus",1663.9,1729.5
"Corvus",1471.2,1483.2
"Corvus2",1451.3,1363.1
"Crocodylus_porosus",1938.8,1954.5
"Crocuta_crocuta",1694,1792.3
"Crotalus_atrox",1814,1799.2
"Crotalus2",1765.9,1901.7
"Cryptoprocto _ferox",1471.6,1516.1
"Cynictis_penicillata",1518.8,1452.5
"Dasypus_novemcinctus",1330.6,1426
"Daubentonia_madagascariensis",1584.1,1598.3
"Dendroaspis_angusticeps",1796.2,1770.9
"Desmodus_rotondus",1659.3,1623.2
"Didelphis_virginiana",1555.9,1375.4
"Equus_caballus",1241.2,1257.1
"Eudyptes chrysolophus",1328.8,1206.9
"Eudyptes_chrysocome",1366,1331.9
"Eulemur _coronatus",1413.9,1422.7
"Eulemur _coronatus2",1438.4,1305
"Euphractus _sexcinctus",1420.9,1454.8
"Evarcha_arcuata",1753.9,1755.7
"Felis_catus",1379.3,1329
"Felis_silvestris",1163.8,1135.5
"Geronticus_eremita",1673.2,1540
"Giraffa_camelopardalis_reticulata",1300.4,1230.2
"Gorilla_Gorilla_Beringei",1706.4,1514.9
"Gorilla_gorilla_gorilla",1585,1723.3
