"name","- 30 years old","+ 30 years old","Species","Group","Subgroup","PredatorPrimates","Predator","Dangerous"
"Acinonyx_jubatus",1572.7,1620,"Acinonyx_jubatus","Mammal","Felidae","Yes","Yes","Yes"
"Acinonyx_jubatus2",1626,1752.8,"Acinonyx_jubatus","Mammal","Felidae","Yes","Yes","Yes"
"Acryllium_vulturinum",1611.9,1480.8,"Acryllium_vulturinum","Bird","Bird (not Raptor)","No","No","No"
"Aepyceros_melampus",1378,1391.3,"Aepyceros_melampus","Mammal","Ungulate","No","No","No"
"Aepyceros_melampus2",1290.9,1222.5,"Aepyceros_melampus","Mammal","Ungulate","No","No","No"
"Agalychnis_callidryas",1404.7,1426.2,"Agalychnis_callidryas","Squamata","Amphibia","No","Yes","No"
"Ailuropoda_melanoleuca",1269.4,1315.3,"Ailuropoda_melanoleuca","Mammal","Ursus","No","No","No"
"Ailurops_ursinus",1307.7,1345.4,"Ailurops_ursinus","Mammal","Marsupial","No","No","No"
"Ailurus_fulgens",1193.8,1221.1,"Ailurus_fulgens","Mammal","Ursus","No","No","No"
"Alligator_mississippiensis",1924.8,1943.2,"Alligator_mississippiensis","Squamata","Crocodile","Yes","Yes","Yes"
"Amblyrhynchus_cristatus",1763.5,1599.6,"Amblyrhynchus_cristatus","Squamata","Lizard","No","No","No"
"Aonyx_cinereus",1229.5,1202.3,"Aonyx_cinereus","Mammal","Mustelidae","No","Yes","No"
"Aonyx_cinereus2",1263.4,1215.8,"Aonyx_cinereus","Mammal","Mustelidae","No","Yes","No"
"Aquila_chrysaetos",1533.2,1511.2,"Aquila_chrysaetos","Bird","Raptor","No","No","No"
"Ara_ararauna",1247.6,1234.4,"Ara_ararauna","Bird","Bird (not Raptor)","No","No","No"
"Ara_chloropterus",1232.1,1197.4,"Ara_chloropterus","Bird","Bird (not Raptor)","No","No","No"
"Arctocephalus forsteri",1439.8,1489.2,"Arctocephalus_forsteri","Mammal","Sea lion","No","Yes","No"
"Arctocephalus_forsteri2",1284.6,1382.1,"Arctocephalus_forsteri","Mammal","Sea lion","No","Yes","No"
"Artibeus_planirostris",1539.5,1625,"Artibeus_planirostris","Mammal","Chiroptera","No","No","No"
"Asio_flammeus",1276.6,1314.7,"Asio_flammeus","Bird","Raptor","No","Yes","No"
"Ateles_hybridus",1617.6,1546.4,"Ateles_hybridus","Mammal","Primate","No","No","No"
