"name","variable","value"
"Acinonyx_jubatus","- 30 years old",1572.7
"Acinonyx_jubatus2","- 30 years old",1626
"Acryllium_vulturinum","- 30 years old",1611.9
"Aepyceros_melampus","- 30 years old",1378
"Aepyceros_melampus2","- 30 years old",1290.9
"Agalychnis_callidryas","- 30 years old",1404.7
"Ailuropoda_melanoleuca","- 30 years old",1269.4
"Ailurops_ursinus","- 30 years old",1307.7
"Ailurus_fulgens","- 30 years old",1193.8
"Alligator_mississippiensis","- 30 years old",1924.8
"Amblyrhynchus_cristatus","- 30 years old",1763.5
"Aonyx_cinereus","- 30 years old",1229.5
"Aonyx_cinereus2","- 30 years old",1263.4
"Aquila_chrysaetos","- 30 years old",1533.2
"Ara_ararauna","- 30 years old",1247.6
"Ara_chloropterus","- 30 years old",1232.1
"Arctocephalus forsteri","- 30 years old",1439.8
"Arctocephalus_forsteri2","- 30 years old",1284.6
"Artibeus_planirostris","- 30 years old",1539.5
"Asio_flammeus","- 30 years old",1276.6
"Ateles_hybridus","- 30 years old",1617.6
"Ateles_paniscus","- 30 years old",1225.6
"Athene_noctua","- 30 years old",1224.4
"Athene_noctua2","- 30 years old",1353.8
"Athene_noctua3","- 30 years old",1415.9
"Balaeniceps_rex","- 30 years old",1551.2
"Bison_bonasus","- 30 years old",1772.9
"Bison_bonasus2","- 30 years old",1601.8
"Boa_constrictor","- 30 years old",1760.4
"Bubo_bubo","- 30 years old",1253.5
"Bubo_bubo2","- 30 years old",1260.4
"Bubo_scandiacus","- 30 years old",1330
"Bufonidae","- 30 years old",1499.8
"Buprestidae","- 30 years old",1647.1
"Buteo_galapagoensis","- 30 years old",1549.5
"Cairina_moschata","- 30 years old",1517.3
"Calliphora_vomitoria","- 30 years old",1577
"Callithrix_argentata","- 30 years old",1345.5
"Callithrix_penicillata","- 30 years old",1404.9
"Calloselasma rhodostoma","- 30 years old",1823.7
"Canis_lupus","- 30 years old",1567.3
"Canis_lupus_familiaris","- 30 years old",1449.6
"Canis_lupus_familiaris2","- 30 years old",1195
"Carlito_syrichta","- 30 years old",1417.7
"Centurio_senex","- 30 years old",1680.9
"Cerdocyon_thous","- 30 years old",1373.2
"Chelonoidis_porteri","- 30 years old",1248.1
"Choloepus_didactylus","- 30 years old",1283.5
"Choloepus_didactylus2","- 30 years old",1238.7
"Choloepus_didactylus3","- 30 years old",1193.9
"Chroicocephalus_scopulinus","- 30 years old",1374.3
"Columba_livia","- 30 years old",1305
"Conolophus_pallidus","- 30 years old",1663.9
"Corvus","- 30 years old",1471.2
"Corvus2","- 30 years old",1451.3
"Crocodylus_porosus","- 30 years old",1938.8
"Crocuta_crocuta","- 30 years old",1694
"Crotalus_atrox","- 30 years old",1814
"Crotalus2","- 30 years old",1765.9
"Cryptoprocto _ferox","- 30 years old",1471.6
"Cynictis_penicillata","- 30 years old",1518.8
"Dasypus_novemcinctus","- 30 years old",1330.6
"Daubentonia_madagascariensis","- 30 years old",1584.1
"Dendroaspis_angusticeps","- 30 years old",1796.2
"Desmodus_rotondus","- 30 years old",1659.3
"Didelphis_virginiana","- 30 years old",1555.9
"Equus_caballus","- 30 years old",1241.2
"Eudyptes chrysolophus","- 30 years old",1328.8
"Eudyptes_chrysocome","- 30 years old",1366
"Eulemur _coronatus","- 30 years old",1413.9
"Eulemur _coronatus2","- 30 years old",1438.4
"Euphractus _sexcinctus","- 30 years old",1420.9
"Evarcha_arcuata","- 30 years old",1753.9
"Felis_catus","- 30 years old",1379.3
"Felis_silvestris","- 30 years old",1163.8
"Geronticus_eremita","- 30 years old",1673.2
"Giraffa_camelopardalis_reticulata","- 30 years old",1300.4
"Gorilla_Gorilla_Beringei","- 30 years old",1706.4
"Gorilla_gorilla_gorilla","- 30 years old",1585
"Gulo_gulo","- 30 years old",1457.2
"Gulo_gulo2","- 30 years old",1595.7
"Gymnogyps_californianus","- 30 years old",1654
"Gypaetus_barbatus","- 30 years old",1457.6
