"Name","Sex","EloScore","EloRank"
"Acinonyx_jubatus","F",1673.2,164
"Acinonyx_jubatus2","F",1648.5,165
"Acryllium_vulturinum","F",1567,162
"Aepyceros_melampus","F",1317.4,35
"Aepyceros_melampus2","F",1228.8,11
"Agalychnis_callidryas","F",1332.3,57
"Ailuropoda_melanoleuca","F",1343,45
"Ailurops_ursinus","F",1372.3,49
"Ailurus_fulgens","F",1169.3,21
"Alligator_mississippiensis","F",1920.4,218
"Amblyrhynchus_cristatus","F",1712.4,161
"Aonyx_cinereus","F",1170.7,10
"Aonyx_cinereus2","F",1204.5,17
"Aquila_chrysaetos","F",1480.7,119
"Ara_ararauna","F",1221.9,22
"Ara_chloropterus","F",1248,19
"Arctocephalus forsteri","F",1490.9,108
"Arctocephalus_forsteri2","F",1320.6,77
"Artibeus_planirostris","F",1520.8,130
"Asio_flammeus","F",1248.1,13
"Ateles_hybridus","F",1558.5,99
"Ateles_paniscus","F",1385.6,54
"Athene_noctua","F",1258.9,39
"Athene_noctua2","F",1333.4,34
"Athene_noctua3","F",1340.8,50
"Balaeniceps_rex","F",1519.5,113
"Bison_bonasus","F",1796,195
"Bison_bonasus2","F",1746.6,202
"Boa_constrictor","F",1831.5,208
"Bubo_bubo","F",1256,51
"Bubo_bubo2","F",1384.3,71
"Bubo_scandiacus","F",1213.3,29
"Bufonidae","F",1485.3,102
"Buprestidae","F",1654.2,172
"Buteo_galapagoensis","F",1586.8,129
"Cairina_moschata","F",1516.6,148
"Calliphora_vomitoria","F",1501.1,132
"Callithrix_argentata","F",1354.3,63
"Callithrix_penicillata","F",1365,75
"Calloselasma rhodostoma","F",1899.6,217
"Canis_lupus","F",1534.3,139
"Canis_lupus_familiaris","F",1489.8,106
"Canis_lupus_familiaris2","F",1311,26
"Carlito_syrichta","F",1357.1,66
"Centurio_senex","F",1716.3,192
"Cerdocyon_thous","F",1344.2,70
"Chelonoidis_porteri","F",1265.4,44
"Choloepus_didactylus","F",1307.2,31
"Choloepus_didactylus2","F",1207.7,38
"Choloepus_didactylus3","F",1186.8,25
"Chroicocephalus_scopulinus","F",1386.5,65
"Columba_livia","F",1243,36
"Conolophus_pallidus","F",1692.4,186
"Corvus","F",1490.8,88
"Corvus2","F",1372.2,42
"Crocodylus_porosus","F",2049.3,220
"Crocuta_crocuta","F",1749.1,183
"Crotalus_atrox","F",1813.6,204
"Crotalus2","F",1939,221
"Cryptoprocto _ferox","F",1519.8,133
"Cynictis_penicillata","F",1445.9,68
"Dasypus_novemcinctus","F",1329,61
"Daubentonia_madagascariensis","F",1551.7,151
"Dendroaspis_angusticeps","F",1779,200
"Desmodus_rotondus","F",1575.9,158
"Didelphis_virginiana","F",1412.8,85
"Equus_caballus","F",1203.3,12
"Eudyptes chrysolophus","F",1210.8,16
"Eudyptes_chrysocome","F",1334.5,48
"Eulemur _coronatus","F",1346.6,86
"Eulemur _coronatus2","F",1292,58
"Euphractus _sexcinctus","F",1437.3,67
"Evarcha_arcuata","F",1772.2,209
"Felis_catus","F",1343.3,90
"Felis_silvestris","F",1114.4,8
"Geronticus_eremita","F",1560.7,135
"Giraffa_camelopardalis_reticulata","F",1126.7,7
"Gorilla_Gorilla_Beringei","F",1586,176
"Gorilla_gorilla_gorilla","F",1663.4,160
"Gulo_gulo","F",1489.4,136
"Gulo_gulo2","F",1555.8,120
"Gymnogyps_californianus","F",1705.5,157
"Gypaetus_barbatus","F",1499.3,116
"Gypaetus_barbatus2","F",1525.1,123
