"Name","Sex","EloScore","EloRank","Species","Group","Subgroup","PredatorPrimates","Predator","Dangerous"
"Acinonyx_jubatus","F",1673.2,164,"Acinonyx_jubatus","Mammal","Felidae","Yes","Yes","Yes"
"Acinonyx_jubatus","M",1671,177,"Acinonyx_jubatus","Mammal","Felidae","Yes","Yes","Yes"
"Acinonyx_jubatus","Not mentioned",1607.9,178,"Acinonyx_jubatus","Mammal","Felidae","Yes","Yes","Yes"
"Acinonyx_jubatus2","F",1648.5,165,"Acinonyx_jubatus","Mammal","Felidae","Yes","Yes","Yes"
"Acinonyx_jubatus2","M",1647.5,179,"Acinonyx_jubatus","Mammal","Felidae","Yes","Yes","Yes"
"Acinonyx_jubatus2","Not mentioned",1693.8,168,"Acinonyx_jubatus","Mammal","Felidae","Yes","Yes","Yes"
"Acryllium_vulturinum","F",1567,162,"Acryllium_vulturinum","Bird","Bird(notRaptor)","No","No","No"
"Acryllium_vulturinum","M",1549.6,127,"Acryllium_vulturinum","Bird","Bird(notRaptor)","No","No","No"
"Acryllium_vulturinum","Not mentioned",1490.9,91,"Acryllium_vulturinum","Bird","Bird(notRaptor)","No","No","No"
"Aepyceros_melampus","F",1317.4,35,"Aepyceros_melampus","Mammal","Ungulate","No","No","No"
"Aepyceros_melampus","M",1349.6,48,"Aepyceros_melampus","Mammal","Ungulate","No","No","No"
"Aepyceros_melampus","Not mentioned",1389.3,59,"Aepyceros_melampus","Mammal","Ungulate","No","No","No"
"Aepyceros_melampus2","F",1228.8,11,"Aepyceros_melampus","Mammal","Ungulate","No","No","No"
"Aepyceros_melampus2","M",1317.5,43,"Aepyceros_melampus","Mammal","Ungulate","No","No","No"
"Aepyceros_melampus2","Not mentioned",1410.6,62,"Aepyceros_melampus","Mammal","Ungulate","No","No","No"
"Agalychnis_callidryas","F",1332.3,57,"Agalychnis_callidryas","Squamata","Amphibia","No","Yes","No"
"Agalychnis_callidryas","M",1420.3,96,"Agalychnis_callidryas","Squamata","Amphibia","No","Yes","No"
"Agalychnis_callidryas","Not mentioned",1514.4,113,"Agalychnis_callidryas","Squamata","Amphibia","No","Yes","No"
"Ailuropoda_melanoleuca","F",1343,45,"Ailuropoda_melanoleuca","Mammal","Ursus","No","No","No"
"Ailuropoda_melanoleuca","M",1345,62,"Ailuropoda_melanoleuca","Mammal","Ursus","No","No","No"
"Ailuropoda_melanoleuca","Not mentioned",1336.5,27,"Ailuropoda_melanoleuca","Mammal","Ursus","No","No","No"
"Ailurops_ursinus","F",1372.3,49,"Ailurops_ursinus","Mammal","Marsupial","No","No","No"
"Ailurops_ursinus","M",1428.2,78,"Ailurops_ursinus","Mammal","Marsupial","No","No","No"
"Ailurops_ursinus","Not mentioned",1348.7,41,"Ailurops_ursinus","Mammal","Marsupial","No","No","No"
"Ailurus_fulgens","F",1169.3,21,"Ailurus_fulgens","Mammal","Ursus","No","No","No"
"Ailurus_fulgens","M",1273.2,22,"Ailurus_fulgens","Mammal","Ursus","No","No","No"
"Ailurus_fulgens","Not mentioned",1292.2,21,"Ailurus_fulgens","Mammal","Ursus","No","No","No"
"Alligator_mississippiensis","F",1920.4,218,"Alligator_mississippiensis","Squamata","Crocodile","Yes","Yes","Yes"
"Alligator_mississippiensis","M",1933.4,220,"Alligator_mississippiensis","Squamata","Crocodile","Yes","Yes","Yes"
"Alligator_mississippiensis","Not mentioned",1812.9,218,"Alligator_mississippiensis","Squamata","Crocodile","Yes","Yes","Yes"
"Amblyrhynchus_cristatus","F",1712.4,161,"Amblyrhynchus_cristatus","Squamata","Lizard","No","No","No"
"Amblyrhynchus_cristatus","M",1595.5,154,"Amblyrhynchus_cristatus","Squamata","Lizard","No","No","No"
"Amblyrhynchus_cristatus","Not mentioned",1682.5,184,"Amblyrhynchus_cristatus","Squamata","Lizard","No","No","No"
"Aonyx_cinereus","F",1170.7,10,"Aonyx_cinereus","Mammal","Mustelidae","No","Yes","No"
"Aonyx_cinereus","M",1193.5,11,"Aonyx_cinereus","Mammal","Mustelidae","No","Yes","No"
"Aonyx_cinereus","Not mentioned",1290.4,26,"Aonyx_cinereus","Mammal","Mustelidae","No","Yes","No"
"Aonyx_cinereus2","F",1204.5,17,"Aonyx_cinereus","Mammal","Mustelidae","No","Yes","No"
"Aonyx_cinereus2","M",1236.2,19,"Aonyx_cinereus","Mammal","Mustelidae","No","Yes","No"
"Aonyx_cinereus2","Not mentioned",1275.3,25,"Aonyx_cinereus","Mammal","Mustelidae","No","Yes","No"
"Aquila_chrysaetos","F",1480.7,119,"Aquila_chrysaetos","Bird","Raptor","No","No","No"
"Aquila_chrysaetos","M",1461,85,"Aquila_chrysaetos","Bird","Raptor","No","No","No"
"Aquila_chrysaetos","Not mentioned",1419.3,78,"Aquila_chrysaetos","Bird","Raptor","No","No","No"
"Ara_ararauna","F",1221.9,22,"Ara_ararauna","Bird","Bird(notRaptor)","No","No","No"
"Ara_ararauna","M",1268.8,21,"Ara_ararauna","Bird","Bird(notRaptor)","No","No","No"
"Ara_ararauna","Not mentioned",1478.2,84,"Ara_ararauna","Bird","Bird(notRaptor)","No","No","No"
"Ara_chloropterus","F",1248,19,"Ara_chloropterus","Bird","Bird(notRaptor)","No","No","No"
"Ara_chloropterus","M",1247.9,14,"Ara_chloropterus","Bird","Bird(notRaptor)","No","No","No"
"Ara_chloropterus","Not mentioned",1198.4,11,"Ara_chloropterus","Bird","Bird(notRaptor)","No","No","No"
"Arctocephalus forsteri","F",1490.9,108,"Arctocephalus_forsteri","Mammal","Sealion","No","Yes","No"
"Arctocephalus forsteri","M",1513.4,141,"Arctocephalus_forsteri","Mammal","Sealion","No","Yes","No"
"Arctocephalus forsteri","Not mentioned",1564.5,133,"Arctocephalus_forsteri","Mammal","Sealion","No","Yes","No"
"Arctocephalus_forsteri2","F",1320.6,77,"Arctocephalus_forsteri","Mammal","Sealion","No","Yes","No"
"Arctocephalus_forsteri2","M",1386.8,77,"Arctocephalus_forsteri","Mammal","Sealion","No","Yes","No"
"Arctocephalus_forsteri2","Not mentioned",1400.8,74,"Arctocephalus_forsteri","Mammal","Sealion","No","Yes","No"
"Artibeus_planirostris","F",1520.8,130,"Artibeus_planirostris","Mammal","Chiroptera","No","No","No"
"Artibeus_planirostris","M",1478.5,142,"Artibeus_planirostris","Mammal","Chiroptera","No","No","No"
"Artibeus_planirostris","Not mentioned",1494.3,118,"Artibeus_planirostris","Mammal","Chiroptera","No","No","No"
"Asio_flammeus","F",1248.1,13,"Asio_flammeus","Bird","Raptor","No","Yes","No"
"Asio_flammeus","M",1217.9,16,"Asio_flammeus","Bird","Raptor","No","Yes","No"
"Asio_flammeus","Not mentioned",1132.7,2,"Asio_flammeus","Bird","Raptor","No","Yes","No"
"Ateles_hybridus","F",1558.5,99,"Ateles_hybridus","Mammal","Primate","No","No","No"
"Ateles_hybridus","M",1517.9,137,"Ateles_hybridus","Mammal","Primate","No","No","No"
"Ateles_hybridus","Not mentioned",1647.8,172,"Ateles_hybridus","Mammal","Primate","No","No","No"
"Ateles_paniscus","F",1385.6,54,"Ateles_paniscus","Mammal","Primate","No","No","No"
"Ateles_paniscus","M",1297.4,33,"Ateles_paniscus","Mammal","Primate","No","No","No"
"Ateles_paniscus","Not mentioned",1304.1,23,"Ateles_paniscus","Mammal","Primate","No","No","No"
"Athene_noctua","F",1258.9,39,"Athene_noctua","Bird","Bird(notRaptor)","No","Yes","No"
"Athene_noctua","M",1305.6,31,"Athene_noctua","Bird","Bird(notRaptor)","No","Yes","No"
"Athene_noctua","Not mentioned",1201.7,7,"Athene_noctua","Bird","Bird(notRaptor)","No","Yes","No"
"Athene_noctua2","F",1333.4,34,"Athene_noctua","Bird","Bird(notRaptor)","No","Yes","No"
"Athene_noctua2","M",1243.8,26,"Athene_noctua","Bird","Bird(notRaptor)","No","Yes","No"
"Athene_noctua2","Not mentioned",1344.9,44,"Athene_noctua","Bird","Bird(notRaptor)","No","Yes","No"
"Athene_noctua3","F",1340.8,50,"Athene_noctua","Bird","Bird(notRaptor)","No","Yes","No"
"Athene_noctua3","M",1338.6,39,"Athene_noctua","Bird","Bird(notRaptor)","No","Yes","No"
"Athene_noctua3","Not mentioned",1163.8,6,"Athene_noctua","Bird","Bird(notRaptor)","No","Yes","No"
"Balaeniceps_rex","F",1519.5,113,"Balaeniceps_rex","Bird","Bird(notRaptor)","No","No","No"
"Balaeniceps_rex","M",1539.8,163,"Balaeniceps_rex","Bird","Bird(notRaptor)","No","No","No"
"Balaeniceps_rex","Not mentioned",1668.8,181,"Balaeniceps_rex","Bird","Bird(notRaptor)","No","No","No"
"Bison_bonasus","F",1796,195,"Bison_bonasus","Mammal","Ungulate","No","No","No"
"Bison_bonasus","M",1728.6,199,"Bison_bonasus","Mammal","Ungulate","No","No","No"
"Bison_bonasus","Not mentioned",1763,193,"Bison_bonasus","Mammal","Ungulate","No","No","No"
"Bison_bonasus2","F",1746.6,202,"Bison_bonasus","Mammal","Ungulate","No","No","No"
"Bison_bonasus2","M",1744.5,190,"Bison_bonasus","Mammal","Ungulate","No","No","No"
"Bison_bonasus2","Not mentioned",1590.7,156,"Bison_bonasus","Mammal","Ungulate","No","No","No"
"Boa_constrictor","F",1831.5,208,"Boa_constrictor","Squamata","Snake","Yes","Yes","No"
"Boa_constrictor","M",1804.6,209,"Boa_constrictor","Squamata","Snake","Yes","Yes","No"
"Boa_constrictor","Not mentioned",1580.9,170,"Boa_constrictor","Squamata","Snake","Yes","Yes","No"
"Bubo_bubo","F",1256,51,"Bubo_bubo","Bird","Raptor","No","Yes","No"
"Bubo_bubo","M",1288.2,51,"Bubo_bubo","Bird","Raptor","No","Yes","No"
"Bubo_bubo","Not mentioned",1373.6,43,"Bubo_bubo","Bird","Raptor","No","Yes","No"
"Bubo_bubo2","F",1384.3,71,"Bubo_bubo","Bird","Raptor","No","Yes","No"
"Bubo_bubo2","M",1356.5,53,"Bubo_bubo","Bird","Raptor","No","Yes","No"
"Bubo_bubo2","Not mentioned",1256.2,18,"Bubo_bubo","Bird","Raptor","No","Yes","No"
"Bubo_scandiacus","F",1213.3,29,"Bubo_scandiacus","Bird","Raptor","No","No","No"
"Bubo_scandiacus","M",1282.2,42,"Bubo_scandiacus","Bird","Raptor","No","No","No"
"Bubo_scandiacus","Not mentioned",1371,46,"Bubo_scandiacus","Bird","Raptor","No","No","No"
"Bufonidae","F",1485.3,102,"Bufonidae","Squamata","Amphibia","No","Yes","No"
"Bufonidae","M",1485.2,125,"Bufonidae","Squamata","Amphibia","No","Yes","No"
"Bufonidae","Not mentioned",1723,207,"Bufonidae","Squamata","Amphibia","No","Yes","No"
"Buprestidae","F",1654.2,172,"Buprestidae","Insect","Coleoptera","No","No","No"
"Buprestidae","M",1582.7,151,"Buprestidae","Insect","Coleoptera","No","No","No"
"Buprestidae","Not mentioned",1690.1,188,"Buprestidae","Insect","Coleoptera","No","No","No"
"Buteo_galapagoensis","F",1586.8,129,"Buteo_galapagoensis","Bird","Raptor","No","Yes","No"
"Buteo_galapagoensis","M",1496.1,112,"Buteo_galapagoensis","Bird","Raptor","No","Yes","No"
"Buteo_galapagoensis","Not mentioned",1344.2,64,"Buteo_galapagoensis","Bird","Raptor","No","Yes","No"
"Cairina_moschata","F",1516.6,148,"Cairina_moschata","Bird","Bird(notRaptor)","No","Yes","No"
"Cairina_moschata","M",1485.2,144,"Cairina_moschata","Bird","Bird(notRaptor)","No","Yes","No"
"Cairina_moschata","Not mentioned",1510.2,104,"Cairina_moschata","Bird","Bird(notRaptor)","No","Yes","No"
"Calliphora_vomitoria","F",1501.1,132,"Calliphora_vomitoria","Insect","Diptera","No","No","No"
"Calliphora_vomitoria","M",1561.2,118,"Calliphora_vomitoria","Insect","Diptera","No","No","No"
"Calliphora_vomitoria","Not mentioned",1556.2,151,"Calliphora_vomitoria","Insect","Diptera","No","No","No"
"Callithrix_argentata","F",1354.3,63,"Callithrix_argentata","Mammal","Primate","No","No","No"
"Callithrix_argentata","M",1368.5,60,"Callithrix_argentata","Mammal","Primate","No","No","No"
"Callithrix_argentata","Not mentioned",1531.2,130,"Callithrix_argentata","Mammal","Primate","No","No","No"
"Callithrix_penicillata","F",1365,75,"Callithrix_penicillata","Mammal","Primate","No","No","No"
"Callithrix_penicillata","M",1329.9,69,"Callithrix_penicillata","Mammal","Primate","No","No","No"
"Callithrix_penicillata","Not mentioned",1341.3,50,"Callithrix_penicillata","Mammal","Primate","No","No","No"
"Calloselasma rhodostoma","F",1899.6,217,"Calloselasma_rhodostoma","Squamata","Snake","No","Yes","Yes"
"Calloselasma rhodostoma","M",1897.9,218,"Calloselasma_rhodostoma","Squamata","Snake","No","Yes","Yes"
"Calloselasma rhodostoma","Not mentioned",1743.8,204,"Calloselasma_rhodostoma","Squamata","Snake","No","Yes","Yes"
"Canis_lupus","F",1534.3,139,"Canis_lupus_","Mammal","Canidae","Yes","Yes","Yes"
"Canis_lupus","M",1620.4,149,"Canis_lupus_","Mammal","Canidae","Yes","Yes","Yes"
"Canis_lupus","Not mentioned",1518.9,124,"Canis_lupus_","Mammal","Canidae","Yes","Yes","Yes"
"Canis_lupus_familiaris","F",1489.8,106,"Canis_lupus_familiaris","Mammal","Canidae","No","Yes","Yes"
"Canis_lupus_familiaris","M",1616.8,161,"Canis_lupus_familiaris","Mammal","Canidae","No","Yes","Yes"
"Canis_lupus_familiaris","Not mentioned",1570.4,146,"Canis_lupus_familiaris","Mammal","Canidae","No","Yes","Yes"
"Canis_lupus_familiaris2","F",1311,26,"Canis_lupus_familiaris","Mammal","Canidae","No","Yes","Yes"
"Canis_lupus_familiaris2","M",1339.2,40,"Canis_lupus_familiaris","Mammal","Canidae","No","Yes","Yes"
"Canis_lupus_familiaris2","Not mentioned",1399.8,37,"Canis_lupus_familiaris","Mammal","Canidae","No","Yes","Yes"
"Carlito_syrichta","F",1357.1,66,"Carlito_syrichta","Mammal","Primate","No","Yes","No"
"Carlito_syrichta","M",1331.7,59,"Carlito_syrichta","Mammal","Primate","No","Yes","No"
"Carlito_syrichta","Not mentioned",1479.9,110,"Carlito_syrichta","Mammal","Primate","No","Yes","No"
"Centurio_senex","F",1716.3,192,"Centurio_senex","Mammal","Chiroptera","No","No","No"
"Centurio_senex","M",1689.1,167,"Centurio_senex","Mammal","Chiroptera","No","No","No"
"Centurio_senex","Not mentioned",1558.9,119,"Centurio_senex","Mammal","Chiroptera","No","No","No"
"Cerdocyon_thous","F",1344.2,70,"Cerdocyon_thous","Mammal","Canidae","Yes","Yes","No"
"Cerdocyon_thous","M",1390.6,71,"Cerdocyon_thous","Mammal","Canidae","Yes","Yes","No"
"Cerdocyon_thous","Not mentioned",1392.6,40,"Cerdocyon_thous","Mammal","Canidae","Yes","Yes","No"
"Chelonoidis_porteri","F",1265.4,44,"Chelonoidis_porteri","Squamata","Tortoise","No","No","No"
"Chelonoidis_porteri","M",1263.5,34,"Chelonoidis_porteri","Squamata","Tortoise","No","No","No"
"Chelonoidis_porteri","Not mentioned",1342.2,45,"Chelonoidis_porteri","Squamata","Tortoise","No","No","No"
"Choloepus_didactylus","F",1307.2,31,"Choloepus_didactylus","Mammal","Xenarthra","No","No","No"
"Choloepus_didactylus","M",1312.9,17,"Choloepus_didactylus","Mammal","Xenarthra","No","No","No"
"Choloepus_didactylus","Not mentioned",1331.2,30,"Choloepus_didactylus","Mammal","Xenarthra","No","No","No"
"Choloepus_didactylus2","F",1207.7,38,"Choloepus_didactylus","Mammal","Xenarthra","No","No","No"
"Choloepus_didactylus2","M",1263,23,"Choloepus_didactylus","Mammal","Xenarthra","No","No","No"
"Choloepus_didactylus2","Not mentioned",1211.8,17,"Choloepus_didactylus","Mammal","Xenarthra","No","No","No"
"Choloepus_didactylus3","F",1186.8,25,"Choloepus_didactylus","Mammal","Xenarthra","No","No","No"
"Choloepus_didactylus3","M",1276.8,13,"Choloepus_didactylus","Mammal","Xenarthra","No","No","No"
"Choloepus_didactylus3","Not mentioned",1350.7,68,"Choloepus_didactylus","Mammal","Xenarthra","No","No","No"
"Chroicocephalus_scopulinus","F",1386.5,65,"Chroicocephalus_scopulinus","Bird","Bird(notRaptor)","No","Yes","No"
"Chroicocephalus_scopulinus","M",1360.1,55,"Chroicocephalus_scopulinus","Bird","Bird(notRaptor)","No","Yes","No"
"Chroicocephalus_scopulinus","Not mentioned",1402.6,83,"Chroicocephalus_scopulinus","Bird","Bird(notRaptor)","No","Yes","No"
"Columba_livia","F",1243,36,"Columba_livia","Bird","Bird(notRaptor)","No","No","No"
"Columba_livia","M",1292,18,"Columba_livia","Bird","Bird(notRaptor)","No","No","No"
"Columba_livia","Not mentioned",1326.3,52,"Columba_livia","Bird","Bird(notRaptor)","No","No","No"
"Conolophus_pallidus","F",1692.4,186,"Conolophus_pallidus","Squamata","Lizard","No","No","No"
"Conolophus_pallidus","M",1605.7,160,"Conolophus_pallidus","Squamata","Lizard","No","No","No"
"Conolophus_pallidus","Not mentioned",1670.3,163,"Conolophus_pallidus","Squamata","Lizard","No","No","No"
"Corvus","F",1490.8,88,"Corvus","Bird","Bird(notRaptor)","No","No","No"
"Corvus","M",1455.7,107,"Corvus","Bird","Bird(notRaptor)","No","No","No"
"Corvus","Not mentioned",1388.7,54,"Corvus","Bird","Bird(notRaptor)","No","No","No"
"Corvus2","F",1372.2,42,"Corvus","Bird","Bird(notRaptor)","No","No","No"
"Corvus2","M",1382.8,79,"Corvus","Bird","Bird(notRaptor)","No","No","No"
"Corvus2","Not mentioned",1333.7,29,"Corvus","Bird","Bird(notRaptor)","No","No","No"
"Crocodylus_porosus","F",2049.3,220,"Crocodylus_porosus","Squamata","Crocodile","Yes","Yes","Yes"
"Crocodylus_porosus","M",1963.3,221,"Crocodylus_porosus","Squamata","Crocodile","Yes","Yes","Yes"
"Crocodylus_porosus","Not mentioned",1744.6,198,"Crocodylus_porosus","Squamata","Crocodile","Yes","Yes","Yes"
"Crocuta_crocuta","F",1749.1,183,"Crocuta_crocuta","Mammal","Hyenidae","Yes","No","Yes"
"Crocuta_crocuta","M",1783.9,195,"Crocuta_crocuta","Mammal","Hyenidae","Yes","No","Yes"
"Crocuta_crocuta","Not mentioned",1728.1,194,"Crocuta_crocuta","Mammal","Hyenidae","Yes","No","Yes"
"Crotalus_atrox","F",1813.6,204,"Crotalus_atrox","Squamata","Snake","No","Yes","Yes"
"Crotalus_atrox","M",1865.4,212,"Crotalus_atrox","Squamata","Snake","No","Yes","Yes"
"Crotalus_atrox","Not mentioned",1733.5,201,"Crotalus_atrox","Squamata","Snake","No","Yes","Yes"
"Crotalus2","F",1939,221,"Crotalus_atrox","Squamata","Snake","No","Yes","Yes"
"Crotalus2","M",1872.4,214,"Crotalus_atrox","Squamata","Snake","No","Yes","Yes"
"Crotalus2","Not mentioned",1680.3,185,"Crotalus_atrox","Squamata","Snake","No","Yes","Yes"
"Cryptoprocto _ferox","F",1519.8,133,"Cryptoprocto_ferox","Mammal","Felidae","Yes","No","No"
"Cryptoprocto _ferox","M",1574.3,139,"Cryptoprocto_ferox","Mammal","Felidae","Yes","No","No"
"Cryptoprocto _ferox","Not mentioned",1496.6,126,"Cryptoprocto_ferox","Mammal","Felidae","Yes","No","No"
"Cynictis_penicillata","F",1445.9,68,"Cynictis_penicillata","Mammal","Mongoose","No","Yes","No"
"Cynictis_penicillata","M",1437,106,"Cynictis_penicillata","Mammal","Mongoose","No","Yes","No"
"Cynictis_penicillata","Not mentioned",1495.1,128,"Cynictis_penicillata","Mammal","Mongoose","No","Yes","No"
"Dasypus_novemcinctus","F",1329,61,"Dasypus_novemcinctus","Mammal","Xenarthra","No","No","No"
"Dasypus_novemcinctus","M",1354.3,54,"Dasypus_novemcinctus","Mammal","Xenarthra","No","No","No"
"Dasypus_novemcinctus","Not mentioned",1263.1,14,"Dasypus_novemcinctus","Mammal","Xenarthra","No","No","No"
"Daubentonia_madagascariensis","F",1551.7,151,"Daubentonia_madagascariensis","Mammal","Primate","No","No","No"
"Daubentonia_madagascariensis","M",1567.3,135,"Daubentonia_madagascariensis","Mammal","Primate","No","No","No"
"Daubentonia_madagascariensis","Not mentioned",1493.6,109,"Daubentonia_madagascariensis","Mammal","Primate","No","No","No"
"Dendroaspis_angusticeps","F",1779,200,"Dendroaspis_angusticeps","Squamata","Snake","No","Yes","Yes"
"Dendroaspis_angusticeps","M",1782,215,"Dendroaspis_angusticeps","Squamata","Snake","No","Yes","Yes"
"Dendroaspis_angusticeps","Not mentioned",1776.9,203,"Dendroaspis_angusticeps","Squamata","Snake","No","Yes","Yes"
"Desmodus_rotondus","F",1575.9,158,"Desmodus_rotundus","Mammal","Chiroptera","No","Yes","No"
"Desmodus_rotondus","M",1574.7,121,"Desmodus_rotundus","Mammal","Chiroptera","No","Yes","No"
"Desmodus_rotondus","Not mentioned",1462.4,106,"Desmodus_rotundus","Mammal","Chiroptera","No","Yes","No"
"Didelphis_virginiana","F",1412.8,85,"Didelphis_virginiana","Mammal","Marsupial","No","No","No"
"Didelphis_virginiana","M",1437.3,98,"Didelphis_virginiana","Mammal","Marsupial","No","No","No"
"Didelphis_virginiana","Not mentioned",1611.3,152,"Didelphis_virginiana","Mammal","Marsupial","No","No","No"
"Equus_caballus","F",1203.3,12,"Equus_caballus","Mammal","Ungulate","No","No","No"
"Equus_caballus","M",1228,36,"Equus_caballus","Mammal","Ungulate","No","No","No"
"Equus_caballus","Not mentioned",1353.2,56,"Equus_caballus","Mammal","Ungulate","No","No","No"
"Eudyptes chrysolophus","F",1210.8,16,"Eudyptes_chrysolophus","Bird","Bird(notRaptor)","No","Yes","No"
"Eudyptes chrysolophus","M",1265.7,24,"Eudyptes_chrysolophus","Bird","Bird(notRaptor)","No","Yes","No"
"Eudyptes chrysolophus","Not mentioned",1285.5,24,"Eudyptes_chrysolophus","Bird","Bird(notRaptor)","No","Yes","No"
"Eudyptes_chrysocome","F",1334.5,48,"Eudyptes_chrysocome","Bird","Bird(notRaptor)","No","Yes","No"
"Eudyptes_chrysocome","M",1244.2,52,"Eudyptes_chrysocome","Bird","Bird(notRaptor)","No","Yes","No"
"Eudyptes_chrysocome","Not mentioned",1559,121,"Eudyptes_chrysocome","Bird","Bird(notRaptor)","No","Yes","No"
"Eulemur _coronatus","F",1346.6,86,"Eulemur_coronatus","Mammal","Primate","No","No","No"
"Eulemur _coronatus","M",1345.3,49,"Eulemur_coronatus","Mammal","Primate","No","No","No"
"Eulemur _coronatus","Not mentioned",1512.1,87,"Eulemur_coronatus","Mammal","Primate","No","No","No"
"Eulemur _coronatus2","F",1292,58,"Eulemur_coronatus","Mammal","Primate","No","No","No"
"Eulemur _coronatus2","M",1306,67,"Eulemur_coronatus","Mammal","Primate","No","No","No"
"Eulemur _coronatus2","Not mentioned",1312.9,51,"Eulemur_coronatus","Mammal","Primate","No","No","No"
"Euphractus _sexcinctus","F",1437.3,67,"Euphractus_sexcinctus","Mammal","Xenarthra","No","No","No"
"Euphractus _sexcinctus","M",1421.9,58,"Euphractus_sexcinctus","Mammal","Xenarthra","No","No","No"
"Euphractus _sexcinctus","Not mentioned",1475.9,72,"Euphractus_sexcinctus","Mammal","Xenarthra","No","No","No"
"Evarcha_arcuata","F",1772.2,209,"Evarcha_arcuata","Spider","Spider","No","Yes","No"
"Evarcha_arcuata","M",1635.8,165,"Evarcha_arcuata","Spider","Spider","No","Yes","No"
"Evarcha_arcuata","Not mentioned",1504.2,98,"Evarcha_arcuata","Spider","Spider","No","Yes","No"
"Felis_catus","F",1343.3,90,"Felis_catus","Mammal","Felidae","No","Yes","No"
"Felis_catus","M",1511.1,66,"Felis_catus","Mammal","Felidae","No","Yes","No"
"Felis_catus","Not mentioned",1339.6,42,"Felis_catus","Mammal","Felidae","No","Yes","No"
"Felis_silvestris","F",1114.4,8,"Felis_silvestris_","Mammal","Felidae","No","No","No"
"Felis_silvestris","M",1257.7,10,"Felis_silvestris_","Mammal","Felidae","No","No","No"
"Felis_silvestris","Not mentioned",1077.2,1,"Felis_silvestris_","Mammal","Felidae","No","No","No"
"Geronticus_eremita","F",1560.7,135,"Geronticus_eremita","Bird","Bird(notRaptor)","No","Yes","No"
"Geronticus_eremita","M",1500.5,132,"Geronticus_eremita","Bird","Bird(notRaptor)","No","Yes","No"
"Geronticus_eremita","Not mentioned",1692.9,192,"Geronticus_eremita","Bird","Bird(notRaptor)","No","Yes","No"
"Giraffa_camelopardalis_reticulata","F",1126.7,7,"Giraffa_camelopardalis_reticulata","Mammal","Ungulate","No","No","No"
"Giraffa_camelopardalis_reticulata","M",1267.6,41,"Giraffa_camelopardalis_reticulata","Mammal","Ungulate","No","No","No"
"Giraffa_camelopardalis_reticulata","Not mentioned",1381.1,55,"Giraffa_camelopardalis_reticulata","Mammal","Ungulate","No","No","No"
"Gorilla_Gorilla_Beringei","F",1586,176,"Gorilla_Gorilla_Beringei","Mammal","Primate","No","No","Yes"
"Gorilla_Gorilla_Beringei","M",1599.7,173,"Gorilla_Gorilla_Beringei","Mammal","Primate","No","No","Yes"
"Gorilla_Gorilla_Beringei","Not mentioned",1618.7,161,"Gorilla_Gorilla_Beringei","Mammal","Primate","No","No","Yes"
"Gorilla_gorilla_gorilla","F",1663.4,160,"Gorilla_Gorilla_Gorilla","Mammal","Primate","No","No","Yes"
"Gorilla_gorilla_gorilla","M",1712.5,175,"Gorilla_Gorilla_Gorilla","Mammal","Primate","No","No","Yes"
"Gorilla_gorilla_gorilla","Not mentioned",1486.7,99,"Gorilla_Gorilla_Gorilla","Mammal","Primate","No","No","Yes"
"Gulo_gulo","F",1489.4,136,"Gulo_gulo","Mammal","Mustelidae","No","Yes","No"
"Gulo_gulo","M",1560.4,147,"Gulo_gulo","Mammal","Mustelidae","No","Yes","No"
"Gulo_gulo","Not mentioned",1574.1,145,"Gulo_gulo","Mammal","Mustelidae","No","Yes","No"
"Gulo_gulo2","F",1555.8,120,"Gulo_gulo","Mammal","Mustelidae","No","Yes","No"
"Gulo_gulo2","M",1648.7,171,"Gulo_gulo","Mammal","Mustelidae","No","Yes","No"
