"","Name","Sex","EloScore","EloRank","Species","Group","Subgroup","PredatorPrimates","Predator","Dangerous","Interet"
"1","Acinonyx_jubatus","F",1673.2,164,"Acinonyx_jubatus","Mammal","Felidae","Yes","Yes","Yes","Felidae"
"2","Acinonyx_jubatus","M",1671,177,"Acinonyx_jubatus","Mammal","Felidae","Yes","Yes","Yes","Felidae"
"3","Acinonyx_jubatus","Not mentioned",1607.9,178,"Acinonyx_jubatus","Mammal","Felidae","Yes","Yes","Yes","Felidae"
"4","Acinonyx_jubatus2","F",1648.5,165,"Acinonyx_jubatus","Mammal","Felidae","Yes","Yes","Yes","Felidae"
"5","Acinonyx_jubatus2","M",1647.5,179,"Acinonyx_jubatus","Mammal","Felidae","Yes","Yes","Yes","Felidae"
"6","Acinonyx_jubatus2","Not mentioned",1693.8,168,"Acinonyx_jubatus","Mammal","Felidae","Yes","Yes","Yes","Felidae"
"7","Acryllium_vulturinum","F",1567,162,"Acryllium_vulturinum","Bird","Bird(notRaptor)","No","No","No","Others"
"8","Acryllium_vulturinum","M",1549.6,127,"Acryllium_vulturinum","Bird","Bird(notRaptor)","No","No","No","Others"
"9","Acryllium_vulturinum","Not mentioned",1490.9,91,"Acryllium_vulturinum","Bird","Bird(notRaptor)","No","No","No","Others"
"10","Aepyceros_melampus","F",1317.4,35,"Aepyceros_melampus","Mammal","Ungulate","No","No","No","Others"
"11","Aepyceros_melampus","M",1349.6,48,"Aepyceros_melampus","Mammal","Ungulate","No","No","No","Others"
"12","Aepyceros_melampus","Not mentioned",1389.3,59,"Aepyceros_melampus","Mammal","Ungulate","No","No","No","Others"
"13","Aepyceros_melampus2","F",1228.8,11,"Aepyceros_melampus","Mammal","Ungulate","No","No","No","Others"
"14","Aepyceros_melampus2","M",1317.5,43,"Aepyceros_melampus","Mammal","Ungulate","No","No","No","Others"
"15","Aepyceros_melampus2","Not mentioned",1410.6,62,"Aepyceros_melampus","Mammal","Ungulate","No","No","No","Others"
"16","Agalychnis_callidryas","F",1332.3,57,"Agalychnis_callidryas","Squamata","Amphibia","No","Yes","No","Others"
"17","Agalychnis_callidryas","M",1420.3,96,"Agalychnis_callidryas","Squamata","Amphibia","No","Yes","No","Others"
"18","Agalychnis_callidryas","Not mentioned",1514.4,113,"Agalychnis_callidryas","Squamata","Amphibia","No","Yes","No","Others"
"19","Ailuropoda_melanoleuca","F",1343,45,"Ailuropoda_melanoleuca","Mammal","Ursus","No","No","No","Ursus"
"20","Ailuropoda_melanoleuca","M",1345,62,"Ailuropoda_melanoleuca","Mammal","Ursus","No","No","No","Ursus"
"21","Ailuropoda_melanoleuca","Not mentioned",1336.5,27,"Ailuropoda_melanoleuca","Mammal","Ursus","No","No","No","Ursus"
"22","Ailurops_ursinus","F",1372.3,49,"Ailurops_ursinus","Mammal","Marsupial","No","No","No","Others"
"23","Ailurops_ursinus","M",1428.2,78,"Ailurops_ursinus","Mammal","Marsupial","No","No","No","Others"
"24","Ailurops_ursinus","Not mentioned",1348.7,41,"Ailurops_ursinus","Mammal","Marsupial","No","No","No","Others"
"25","Ailurus_fulgens","F",1169.3,21,"Ailurus_fulgens","Mammal","Ursus","No","No","No","Ursus"
"26","Ailurus_fulgens","M",1273.2,22,"Ailurus_fulgens","Mammal","Ursus","No","No","No","Ursus"
"27","Ailurus_fulgens","Not mentioned",1292.2,21,"Ailurus_fulgens","Mammal","Ursus","No","No","No","Ursus"
"28","Alligator_mississippiensis","F",1920.4,218,"Alligator_mississippiensis","Squamata","Crocodile","Yes","Yes","Yes","Crocodile"
"29","Alligator_mississippiensis","M",1933.4,220,"Alligator_mississippiensis","Squamata","Crocodile","Yes","Yes","Yes","Crocodile"
"30","Alligator_mississippiensis","Not mentioned",1812.9,218,"Alligator_mississippiensis","Squamata","Crocodile","Yes","Yes","Yes","Crocodile"
"31","Amblyrhynchus_cristatus","F",1712.4,161,"Amblyrhynchus_cristatus","Squamata","Lizard","No","No","No","Others"
"32","Amblyrhynchus_cristatus","M",1595.5,154,"Amblyrhynchus_cristatus","Squamata","Lizard","No","No","No","Others"
"33","Amblyrhynchus_cristatus","Not mentioned",1682.5,184,"Amblyrhynchus_cristatus","Squamata","Lizard","No","No","No","Others"
"34","Aonyx_cinereus","F",1170.7,10,"Aonyx_cinereus","Mammal","Mustelidae","No","Yes","No","Others"
"35","Aonyx_cinereus","M",1193.5,11,"Aonyx_cinereus","Mammal","Mustelidae","No","Yes","No","Others"
"36","Aonyx_cinereus","Not mentioned",1290.4,26,"Aonyx_cinereus","Mammal","Mustelidae","No","Yes","No","Others"
"37","Aonyx_cinereus2","F",1204.5,17,"Aonyx_cinereus","Mammal","Mustelidae","No","Yes","No","Others"
