"","name","F","M","Not mentioned"
"1","Acinonyx_jubatus",160,148,160
"2","Acinonyx_jubatus2",171,179,138
"3","Acryllium_vulturinum",131,118,132
"4","Aepyceros_melampus",82,47,94
"5","Aepyceros_melampus2",33,12,58
"6","Agalychnis_callidryas",52,104,66
"7","Ailuropoda_melanoleuca",36,65,128
"8","Ailurops_ursinus",62,61,85
"9","Ailurus_fulgens",10,10,43
"10","Alligator_mississippiensis",218,221,170
"11","Amblyrhynchus_cristatus",191,149,71
"12","Aonyx_cinereus",23,32,7
"13","Aonyx_cinereus2",14,11,9
"14","Aquila_chrysaetos",97,130,21
"15","Ara_ararauna",8,30,134
"16","Ara_chloropterus",30,4,3
"17","Arctocephalus forsteri",103,121,57
"18","Arctocephalus_forsteri2",44,60,31
"19","Artibeus_planirostris",127,108,147
"20","Asio_flammeus",32,14,74
"21","Ateles_hybridus",135,138,209
"22","Ateles_paniscus",41,57,8
"23","Athene_noctua",19,22,77
"24","Athene_noctua2",56,39,20
"25","Athene_noctua3",55,71,40
"26","Balaeniceps_rex",144,135,153
"27","Bison_bonasus",206,171,192
"28","Bison_bonasus2",173,178,183
"29","Boa_constrictor",214,187,15
"30","Bubo_bubo",24,18,110
"31","Bubo_bubo2",20,67,26
"32","Bubo_scandiacus",51,13,72
"33","Bufonidae",100,136,196
"34","Buprestidae",168,166,155
"35","Buteo_galapagoensis",143,98,127
"36","Cairina_moschata",120,119,145
"37","Calliphora_vomitoria",151,132,123
"38","Callithrix_argentata",57,55,95
"39","Callithrix_penicillata",78,74,81
"40","Calloselasma rhodostoma",213,208,186
"41","Canis_lupus",101,163,173
"42","Canis_lupus_familiaris",76,152,NA
"43","Canis_lupus_familiaris2",7,16,83
"44","Carlito_syrichta",86,29,163
"45","Centurio_senex",195,177,97
"46","Cerdocyon_thous",60,42,129
"47","Chelonoidis_porteri",18,19,80
"48","Choloepus_didactylus",43,54,84
"49","Choloepus_didactylus2",15,15,30
"50","Choloepus_didactylus3",28,28,38
"51","Chroicocephalus_scopulinus",84,38,193
"52","Columba_livia",21,27,144
"53","Conolophus_pallidus",181,176,39
"54","Corvus",95,129,78
"55","Corvus2",94,73,166
"56","Crocodylus_porosus",221,220,179
"57","Crocuta_crocuta",205,216,131
"58","Crotalus_atrox",199,202,176
"59","Crotalus2",217,199,91
"60","Cryptoprocto _ferox",129,127,181
"61","Cynictis_penicillata",85,139,60
"62","Dasypus_novemcinctus",61,52,92
"63","Daubentonia_madagascariensis",150,131,59
"64","Dendroaspis_angusticeps",180,209,218
"65","Desmodus_rotondus",140,157,24
"66","Didelphis_virginiana",96,63,NA
"67","Equus_caballus",13,41,98
"68","Eudyptes chrysolophus",26,37,44
"69","Eudyptes_chrysocome",54,53,161
"70","Eulemur _coronatus",79,43,17
"71","Eulemur _coronatus2",64,31,12
"72","Euphractus _sexcinctus",75,94,184
"73","Evarcha_arcuata",178,207,51
"74","Felis_catus",66,68,54
"75","Felis_silvestris",5,20,33
"76","Geronticus_eremita",175,128,90
"77","Giraffa_camelopardalis_reticulata",35,48,114
"78","Gorilla_Gorilla_Beringei",156,151,121
"79","Gorilla_gorilla_gorilla",166,173,152
"80","Gulo_gulo",99,142,105
"81","Gulo_gulo2",132,153,67
"82","Gymnogyps_californianus",163,146,63
"83","Gypaetus_barbatus",83,90,53
"84","Gypaetus_barbatus2",138,133,150
"85","Gyps_rueppelli",158,112,211
"86","Haematopus_ater",67,45,48
"87","Harpia_Harpyja",115,103,2
"88","Helarctos_malayanus",169,184,107
"89","Hemicentetes_semispinosus",107,113,56
"90","Heterocephalus_glaber",196,156,82
"91","Hippopotamus_amphibius",174,181,70
"92","Hyaena_hyaena",204,183,175
"93","Hyles_euphorbiae",137,123,87
"94","Hylobates_agilis",53,56,76
"95","Hypsignathus_monstrosus",167,161,61
"96","Iguana_iguana",170,160,104
"97","Iguana_iguana2",119,115,28
"98","Incilius_alvarius",110,58,168
"99","Incilius_alvarius2",71,84,198
"100","Intellagama_lesueurii",113,116,194
"101","Laticauda_laticaudata",202,203,126
"102","Laticauda_saintgironsi",216,217,133
"103","Lemur_catta",25,21,14
"104","Lemur_catta2",69,23,64
"105","Leopardus_wiedii",104,76,37
"106","Leptailurus_serval",68,92,88
"107","Leptoptilos_crumenifer",121,145,130
"108","Libellula_quadrimaculata",117,100,207
"109","Litoria_infrafrenata",31,44,101
"110","Loris_tardigradus",17,8,50
"111","Loxodonta_africana",70,126,180
"112","Lycaon_pictus",162,193,169
"113","Lycaon_pictus2",165,185,215
"114","Lynx_rufus",155,162,154
"115","Lynx_rufus2",159,141,178
"116","Macaca_fuscata",114,147,172
"117","Macaca_silenus",111,134,65
"118","Macronectes_halli",108,144,189
"119","Macropus_rufogriseus",48,110,49
"120","Malayopython_reticulatus",212,215,165
"121","Malpolon_monspessulanus",192,164,115
"122","Mandrillus_sphinx",183,172,149
"123","Mandrillus_sphinx2",148,143,162
"124","Miopithecus_ogouensis",77,72,120
"125","Morelia_spilota",203,169,136
"126","Mungos_mungo",112,125,190
"127","Muscardinus_avellanarius",9,24,27
"128","Mygale",209,174,174
"129","Myocastor_coypus",12,46,96
"130","Naja_naja",220,219,75
"131","Nasua_narica",98,62,200
"132","Nasua_nasua",58,51,6
"133","Necrosyrtes_monachus",118,124,16
