"name","variable","value"
"Acinonyx_jubatus","F",164
"Acinonyx_jubatus2","F",165
"Acryllium_vulturinum","F",162
"Aepyceros_melampus","F",35
"Aepyceros_melampus2","F",11
"Agalychnis_callidryas","F",57
"Ailuropoda_melanoleuca","F",45
"Ailurops_ursinus","F",49
"Ailurus_fulgens","F",21
"Alligator_mississippiensis","F",218
"Amblyrhynchus_cristatus","F",161
"Aonyx_cinereus","F",10
"Aonyx_cinereus2","F",17
"Aquila_chrysaetos","F",119
"Ara_ararauna","F",22
"Ara_chloropterus","F",19
"Arctocephalus forsteri","F",108
"Arctocephalus_forsteri2","F",77
"Artibeus_planirostris","F",130
"Asio_flammeus","F",13
"Ateles_hybridus","F",99
"Ateles_paniscus","F",54
"Athene_noctua","F",39
"Athene_noctua2","F",34
"Athene_noctua3","F",50
"Balaeniceps_rex","F",113
"Bison_bonasus","F",195
"Bison_bonasus2","F",202
"Boa_constrictor","F",208
"Bubo_bubo","F",51
"Bubo_bubo2","F",71
"Bubo_scandiacus","F",29
"Bufonidae","F",102
"Buprestidae","F",172
"Buteo_galapagoensis","F",129
"Cairina_moschata","F",148
"Calliphora_vomitoria","F",132
"Callithrix_argentata","F",63
"Callithrix_penicillata","F",75
"Calloselasma rhodostoma","F",217
"Canis_lupus","F",139
"Canis_lupus_familiaris","F",106
"Canis_lupus_familiaris2","F",26
"Carlito_syrichta","F",66
"Centurio_senex","F",192
"Cerdocyon_thous","F",70
"Chelonoidis_porteri","F",44
"Choloepus_didactylus","F",31
"Choloepus_didactylus2","F",38
"Choloepus_didactylus3","F",25
"Chroicocephalus_scopulinus","F",65
"Columba_livia","F",36
"Conolophus_pallidus","F",186
"Corvus","F",88
"Corvus2","F",42
"Crocodylus_porosus","F",220
"Crocuta_crocuta","F",183
"Crotalus_atrox","F",204
"Crotalus2","F",221
"Cryptoprocto _ferox","F",133
"Cynictis_penicillata","F",68
"Dasypus_novemcinctus","F",61
"Daubentonia_madagascariensis","F",151
"Dendroaspis_angusticeps","F",200
"Desmodus_rotondus","F",158
"Didelphis_virginiana","F",85
"Equus_caballus","F",12
"Eudyptes chrysolophus","F",16
"Eudyptes_chrysocome","F",48
"Eulemur _coronatus","F",86
"Eulemur _coronatus2","F",58
"Euphractus _sexcinctus","F",67
"Evarcha_arcuata","F",209
"Felis_catus","F",90
"Felis_silvestris","F",8
"Geronticus_eremita","F",135
"Giraffa_camelopardalis_reticulata","F",7
"Gorilla_Gorilla_Beringei","F",176
