"name","F","M","Not mentioned"
"Acinonyx_jubatus",1630.4,1670.1,1618.9
"Acinonyx_jubatus2",1724.8,1664.5,1678.5
"Acryllium_vulturinum",1605.6,1493.2,1498.2
"Aepyceros_melampus",1279.2,1300.4,1358.8
"Aepyceros_melampus2",1177.1,1284,1372.2
"Agalychnis_callidryas",1311.9,1406.1,1484.7
"Ailuropoda_melanoleuca",1267.6,1341.6,1353.8
"Ailurops_ursinus",1345.1,1396.7,1342.6
"Ailurus_fulgens",1153.4,1260.5,1278.9
"Alligator_mississippiensis",1974,1907.7,1822.2
"Amblyrhynchus_cristatus",1672.9,1608.6,1661.4
"Aonyx_cinereus",1191.3,1285.4,1305.5
"Aonyx_cinereus2",1224.9,1327.1,1289.8
"Aquila_chrysaetos",1465.8,1432.7,1441.5
"Ara_ararauna",1245.9,1229.4,1381.6
"Ara_chloropterus",1178.2,1225.6,1225.5
"Arctocephalus forsteri",1475.4,1541.2,1531
"Arctocephalus_forsteri2",1296.7,1379.8,1406.4
"Artibeus_planirostris",1528.7,1468.5,1515.9
"Asio_flammeus",1218.9,1295.9,1156.6
"Ateles_hybridus",1553.1,1507.4,1607.8
"Ateles_paniscus",1343.3,1287.4,1320.5
"Athene_noctua",1299.1,1321,1193.4
"Athene_noctua2",1325.5,1285.3,1376.9
"Athene_noctua3",1288.4,1266.6,1185.1
"Balaeniceps_rex",1509.2,1603.2,1667.6
"Bison_bonasus",1809.5,1708.2,1732.9
"Bison_bonasus2",1771.8,1737.3,1580.7
"Boa_constrictor",1848.3,1807.5,1641.2
"Bubo_bubo",1223.3,1289.4,1379.5
"Bubo_bubo2",1353.2,1329.6,1301.1
"Bubo_scandiacus",1237.7,1310.8,1348.9
"Bufonidae",1503.2,1458.6,1747.6
"Buprestidae",1662.7,1610.7,1687.3
"Buteo_galapagoensis",1583.1,1498.9,1362.1
"Cairina_moschata",1530.2,1486.1,1526.5
"Calliphora_vomitoria",1576.1,1579.9,1620.1
"Callithrix_argentata",1427.4,1311.4,1589.7
"Callithrix_penicillata",1379.9,1338.8,1362.9
"Calloselasma rhodostoma",1892.1,1860.9,1739.2
"Canis_lupus",1606.5,1614.5,1494.6
"Canis_lupus_familiaris",1465.9,1645.4,1580.1
"Canis_lupus_familiaris2",1288.8,1276,1389.1
"Carlito_syrichta",1370.1,1370.2,1487.9
"Centurio_senex",1759,1664.2,1521.4
"Cerdocyon_thous",1344.3,1346.9,1388.6
"Chelonoidis_porteri",1191.3,1316.6,1360.6
"Choloepus_didactylus",1274.6,1291.8,1319.8
"Choloepus_didactylus2",1240.6,1256,1258.5
"Choloepus_didactylus3",1230,1214.5,1342.9
"Chroicocephalus_scopulinus",1333.7,1325.9,1458.6
"Columba_livia",1225.1,1257.1,1370.5
"Conolophus_pallidus",1696.3,1668.8,1653.1
"Corvus",1461.4,1493,1365.7
"Corvus2",1372.1,1337.4,1346.7
"Crocodylus_porosus",2005.7,1906.1,1704.9
"Crocuta_crocuta",1714.4,1889.8,1745.1
"Crotalus_atrox",1844.4,1843.6,1697.7
"Crotalus2",1881.3,1850.8,1646.9
"Cryptoprocto _ferox",1517.6,1511.4,1523.3
