"name","F","M","Not mentioned","Species","Group","Subgroup","PredatorPrimates","Predator","Dangerous"
"Acinonyx_jubatus",1630.4,1670.1,1618.9,"Acinonyx_jubatus","Mammal","Felidae","Yes","Yes","Yes"
"Acinonyx_jubatus2",1724.8,1664.5,1678.5,"Acinonyx_jubatus","Mammal","Felidae","Yes","Yes","Yes"
"Acryllium_vulturinum",1605.6,1493.2,1498.2,"Acryllium_vulturinum","Bird","Bird(notRaptor)","No","No","No"
"Aepyceros_melampus",1279.2,1300.4,1358.8,"Aepyceros_melampus","Mammal","Ungulate","No","No","No"
"Aepyceros_melampus2",1177.1,1284,1372.2,"Aepyceros_melampus","Mammal","Ungulate","No","No","No"
"Agalychnis_callidryas",1311.9,1406.1,1484.7,"Agalychnis_callidryas","Squamata","Amphibia","No","Yes","No"
"Ailuropoda_melanoleuca",1267.6,1341.6,1353.8,"Ailuropoda_melanoleuca","Mammal","Ursus","No","No","No"
"Ailurops_ursinus",1345.1,1396.7,1342.6,"Ailurops_ursinus","Mammal","Marsupial","No","No","No"
"Ailurus_fulgens",1153.4,1260.5,1278.9,"Ailurus_fulgens","Mammal","Ursus","No","No","No"
"Alligator_mississippiensis",1974,1907.7,1822.2,"Alligator_mississippiensis","Squamata","Crocodile","Yes","Yes","Yes"
"Amblyrhynchus_cristatus",1672.9,1608.6,1661.4,"Amblyrhynchus_cristatus","Squamata","Lizard","No","No","No"
"Aonyx_cinereus",1191.3,1285.4,1305.5,"Aonyx_cinereus","Mammal","Mustelidae","No","Yes","No"
"Aonyx_cinereus2",1224.9,1327.1,1289.8,"Aonyx_cinereus","Mammal","Mustelidae","No","Yes","No"
"Aquila_chrysaetos",1465.8,1432.7,1441.5,"Aquila_chrysaetos","Bird","Raptor","No","No","No"
"Ara_ararauna",1245.9,1229.4,1381.6,"Ara_ararauna","Bird","Bird(notRaptor)","No","No","No"
"Ara_chloropterus",1178.2,1225.6,1225.5,"Ara_chloropterus","Bird","Bird(notRaptor)","No","No","No"
"Arctocephalus forsteri",1475.4,1541.2,1531,"Arctocephalus_forsteri","Mammal","Sealion","No","Yes","No"
"Arctocephalus_forsteri2",1296.7,1379.8,1406.4,"Arctocephalus_forsteri","Mammal","Sealion","No","Yes","No"
"Artibeus_planirostris",1528.7,1468.5,1515.9,"Artibeus_planirostris","Mammal","Chiroptera","No","No","No"
"Asio_flammeus",1218.9,1295.9,1156.6,"Asio_flammeus","Bird","Raptor","No","Yes","No"
"Ateles_hybridus",1553.1,1507.4,1607.8,"Ateles_hybridus","Mammal","Primate","No","No","No"
"Ateles_paniscus",1343.3,1287.4,1320.5,"Ateles_paniscus","Mammal","Primate","No","No","No"
"Athene_noctua",1299.1,1321,1193.4,"Athene_noctua","Bird","Bird(notRaptor)","No","Yes","No"
"Athene_noctua2",1325.5,1285.3,1376.9,"Athene_noctua","Bird","Bird(notRaptor)","No","Yes","No"
"Athene_noctua3",1288.4,1266.6,1185.1,"Athene_noctua","Bird","Bird(notRaptor)","No","Yes","No"
"Balaeniceps_rex",1509.2,1603.2,1667.6,"Balaeniceps_rex","Bird","Bird(notRaptor)","No","No","No"
"Bison_bonasus",1809.5,1708.2,1732.9,"Bison_bonasus","Mammal","Ungulate","No","No","No"
"Bison_bonasus2",1771.8,1737.3,1580.7,"Bison_bonasus","Mammal","Ungulate","No","No","No"
"Boa_constrictor",1848.3,1807.5,1641.2,"Boa_constrictor","Squamata","Snake","Yes","Yes","No"
"Bubo_bubo",1223.3,1289.4,1379.5,"Bubo_bubo","Bird","Raptor","No","Yes","No"
"Bubo_bubo2",1353.2,1329.6,1301.1,"Bubo_bubo","Bird","Raptor","No","Yes","No"
"Bubo_scandiacus",1237.7,1310.8,1348.9,"Bubo_scandiacus","Bird","Raptor","No","No","No"
"Bufonidae",1503.2,1458.6,1747.6,"Bufonidae","Squamata","Amphibia","No","Yes","No"
"Buprestidae",1662.7,1610.7,1687.3,"Buprestidae","Insect","Coleoptera","No","No","No"
"Buteo_galapagoensis",1583.1,1498.9,1362.1,"Buteo_galapagoensis","Bird","Raptor","No","Yes","No"
