"name","variable","value"
"Acinonyx_jubatus","F",1673.2
"Acinonyx_jubatus2","F",1648.5
"Acryllium_vulturinum","F",1567
"Aepyceros_melampus","F",1317.4
"Aepyceros_melampus2","F",1228.8
"Agalychnis_callidryas","F",1332.3
"Ailuropoda_melanoleuca","F",1343
"Ailurops_ursinus","F",1372.3
"Ailurus_fulgens","F",1169.3
"Alligator_mississippiensis","F",1920.4
"Amblyrhynchus_cristatus","F",1712.4
"Aonyx_cinereus","F",1170.7
"Aonyx_cinereus2","F",1204.5
"Aquila_chrysaetos","F",1480.7
"Ara_ararauna","F",1221.9
"Ara_chloropterus","F",1248
"Arctocephalus forsteri","F",1490.9
"Arctocephalus_forsteri2","F",1320.6
"Artibeus_planirostris","F",1520.8
"Asio_flammeus","F",1248.1
"Ateles_hybridus","F",1558.5
"Ateles_paniscus","F",1385.6
"Athene_noctua","F",1258.9
"Athene_noctua2","F",1333.4
"Athene_noctua3","F",1340.8
"Balaeniceps_rex","F",1519.5
"Bison_bonasus","F",1796
"Bison_bonasus2","F",1746.6
"Boa_constrictor","F",1831.5
"Bubo_bubo","F",1256
"Bubo_bubo2","F",1384.3
"Bubo_scandiacus","F",1213.3
"Bufonidae","F",1485.3
"Buprestidae","F",1654.2
"Buteo_galapagoensis","F",1586.8
"Cairina_moschata","F",1516.6
"Calliphora_vomitoria","F",1501.1
"Callithrix_argentata","F",1354.3
"Callithrix_penicillata","F",1365
"Calloselasma rhodostoma","F",1899.6
"Canis_lupus","F",1534.3
"Canis_lupus_familiaris","F",1489.8
"Canis_lupus_familiaris2","F",1311
"Carlito_syrichta","F",1357.1
"Centurio_senex","F",1716.3
"Cerdocyon_thous","F",1344.2
"Chelonoidis_porteri","F",1265.4
"Choloepus_didactylus","F",1307.2
"Choloepus_didactylus2","F",1207.7
"Choloepus_didactylus3","F",1186.8
"Chroicocephalus_scopulinus","F",1386.5
"Columba_livia","F",1243
"Conolophus_pallidus","F",1692.4
"Corvus","F",1490.8
"Corvus2","F",1372.2
"Crocodylus_porosus","F",2049.3
"Crocuta_crocuta","F",1749.1
"Crotalus_atrox","F",1813.6
"Crotalus2","F",1939
"Cryptoprocto _ferox","F",1519.8
"Cynictis_penicillata","F",1445.9
"Dasypus_novemcinctus","F",1329
"Daubentonia_madagascariensis","F",1551.7
"Dendroaspis_angusticeps","F",1779
"Desmodus_rotondus","F",1575.9
"Didelphis_virginiana","F",1412.8
"Equus_caballus","F",1203.3
"Eudyptes chrysolophus","F",1210.8
"Eudyptes_chrysocome","F",1334.5
"Eulemur _coronatus","F",1346.6
"Eulemur _coronatus2","F",1292
"Euphractus _sexcinctus","F",1437.3
"Evarcha_arcuata","F",1772.2
"Felis_catus","F",1343.3
"Felis_silvestris","F",1114.4
"Geronticus_eremita","F",1560.7
"Giraffa_camelopardalis_reticulata","F",1126.7
"Gorilla_Gorilla_Beringei","F",1586
"Gorilla_gorilla_gorilla","F",1663.4
"Gulo_gulo","F",1489.4
"Gulo_gulo2","F",1555.8
"Gymnogyps_californianus","F",1705.5
"Gypaetus_barbatus","F",1499.3
"Gypaetus_barbatus2","F",1525.1
"Gyps_rueppelli","F",1550.8
"Haematopus_ater","F",1291.4
"Harpia_Harpyja","F",1426.5
"Helarctos_malayanus","F",1717.4
"Hemicentetes_semispinosus","F",1543.2
"Heterocephalus_glaber","F",1694.7
"Hippopotamus_amphibius","F",1756.2
"Hyaena_hyaena","F",1704.8
"Hyles_euphorbiae","F",1570.7
"Hylobates_agilis","F",1324.5
"Hypsignathus_monstrosus","F",1558.7
"Iguana_iguana","F",1668.3
"Iguana_iguana2","F",1529.7
"Incilius_alvarius","F",1440.2
"Incilius_alvarius2","F",1487.9
"Intellagama_lesueurii","F",1559.8
"Laticauda_laticaudata","F",1845.5
"Laticauda_saintgironsi","F",1850.2
"Lemur_catta","F",1284.8
"Lemur_catta2","F",1352.4
"Leopardus_wiedii","F",1418.3
"Leptailurus_serval","F",1396.3
"Leptoptilos_crumenifer","F",1568.3
