"","Name","EloScore","EloRank"
"142","Oryctolagus_cuniculus2",961.4,1
"165","Petroica_macrocephala",982.58,2
"141","Oryctolagus_cuniculus",1046.67,3
"167","Phascolarctos_cinereus",1056.33,4
"168","Phascolarctos_cinereus2",1062.45,5
"201","Tauraco_leucotis",1122.19,6
"202","Testudo_hermanni",1147.94,7
"75","Felis_silvestris",1166.36,8
"127","Muscardinus_avellanarius",1188.38,9
"12","Aonyx_cinereus",1192.17,10
"67","Equus_caballus",1199.4,11
"191","Spheniscus_humboldti",1204.62,12
"9","Ailurus_fulgens",1206.53,13
"110","Loris_tardigradus",1217.22,14
"77","Giraffa_camelopardalis_reticulata",1218.67,15
"16","Ara_chloropterus",1223.66,16
"13","Aonyx_cinereus2",1227.34,17
"50","Choloepus_didactylus3",1227.52,18
"5","Aepyceros_melampus2",1230.21,19
"216","Vicugna_vicugna",1230.48,20
"15","Ara_ararauna",1236.1,21
"20","Asio_flammeus",1240.08,22
"49","Choloepus_didactylus2",1241.14,23
"24","Athene_noctua2",1245.74,24
"52","Columba_livia",1246.45,25
"47","Chelonoidis_porteri",1256.23,26
"103","Lemur_catta",1259.44,27
"68","Eudyptes chrysolophus",1262.56,28
"23","Athene_noctua",1266.67,29
"177","Propithecus_coquereli",1268.11,30
"30","Bubo_bubo",1273.06,31
"178","Propithecus_verreauxi",1278.36,32
"32","Bubo_scandiacus",1280.3,33
"179","Psittacus_erithacus",1286.89,34
"109","Litoria_infrafrenata",1289.29,35
"25","Athene_noctua3",1290.45,36
"86","Haematopus_ater",1292.93,37
"22","Ateles_paniscus",1294.21,38
"104","Lemur_catta2",1296.21,39
"7","Ailuropoda_melanoleuca",1300.41,40
"129","Myocastor_coypus",1302.18,41
"48","Choloepus_didactylus",1303.88,42
"219","Vulpes_zerda",1304.91,43
"197","Suricata_suricatta",1305.63,44
"69","Eudyptes_chrysocome",1306.16,45
"31","Bubo_bubo2",1309.19,46
"43","Canis_lupus_familiaris2",1315.72,47
"71","Eulemur _coronatus2",1317.77,48
"4","Aepyceros_melampus",1319.6,49
"176","Procyon_lotor",1321.4,50
"214","Vicugna_pacos",1323.03,51
"215","Vicugna_pacos2",1323.58,52
"18","Arctocephalus_forsteri2",1326.21,53
"94","Hylobates_agilis",1335.03,54
"212","Varecia_variegata",1338.7,55
"185","Rhinopithecus_roxellana",1341.72,56
"119","Macropus_rufogriseus",1342.64,57
"135","Nestor_meridionalis",1347.38,58
"62","Dasypus_novemcinctus",1354.1,59
"184","Rattus_norvegicus",1354.98,60
"8","Ailurops_ursinus",1355.44,61
"70","Eulemur _coronatus",1359.4,62
"51","Chroicocephalus_scopulinus",1360.19,63
"46","Cerdocyon_thous",1361.29,64
"138","Nyctereutes_procyonoides",1368.34,65
"39","Callithrix_penicillata",1368.52,66
"132","Nasua_nasua",1369.24,67
"150","Pan_troglodytes2",1374.97,68
"55","Corvus2",1375.42,69
"199","Tapirus_indicus",1376.18,70
"38","Callithrix_argentata",1385.92,71
"6","Agalychnis_callidryas",1386.31,72
"74","Felis_catus",1395.7,73
"124","Miopithecus_ogouensis",1406.9,74
"148","Pan_paniscus4",1407.19,75
"66","Didelphis_virginiana",1410.64,76
"72","Euphractus _sexcinctus",1412.25,77
"211","Varecia_rubra",1414.66,78
"44","Carlito_syrichta",1416.7,79
"145","Pan_paniscus",1417.36,80
"87","Harpia_Harpyja",1421.97,81
"147","Pan_paniscus3",1423.05,82
"180","Pteropus_conspicillatus",1424.6,83
"186","Rhyticeros_cassidix",1424.76,84
"106","Leptailurus_serval",1424.98,85
"207","Trichosurus_vulpecula",1434.64,86
"105","Leopardus_wiedii",1436.66,87
"200","Taricha_torosa",1438.26,88
"175","Porphyrio_hochstetteri",1441.53,89
"188","Saiga_tatarica",1442.03,90
"131","Nasua_narica",1448.33,91
"99","Incilius_alvarius2",1449.18,92
"98","Incilius_alvarius",1450.53,93
"146","Pan_paniscus2",1458.38,94
"195","Sula_nebouxii",1460.73,95
"126","Mungos_mungo",1463.84,96
"14","Aquila_chrysaetos",1468.05,97
"83","Gypaetus_barbatus",1468.08,98
"144","Pamphagidae",1471.04,99
"187","Romalea_microptera",1475.01,100
"61","Cynictis_penicillata",1476.85,101
"193","Strophurus",1483.63,102
"203","Thalassarche_cauta",1484.75,103
"143","Otocolobus_manul",1487.9,104
"17","Arctocephalus forsteri",1490.93,105
"174","Pogona_vitticeps",1491.61,106
"36","Cairina_moschata",1492.51,107
"137","Numida_meleagris",1492.92,108
"89","Hemicentetes_semispinosus",1494.91,109
"54","Corvus",1498.4,110
"117","Macaca_silenus",1500.55,111
"80","Gulo_gulo",1502.12,112
"33","Bufonidae",1506.33,113
"84","Gypaetus_barbatus2",1507.36,114
"192","Stephanoaetus_coronatus",1509.39,115
"196","Sula_sula",1510.54,116
"133","Necrosyrtes_monachus",1513.02,117
"170","Pithecia pithecia",1514.89,118
"206","Tockus_flavirostris",1515.9,119
"60","Cryptoprocto _ferox",1516.27,120
"21","Ateles_hybridus",1519.22,121
"118","Macronectes_halli",1519.54,122
"172","Plathyrrhinus_fusciventris",1525.15,123
"35","Buteo_galapagoensis",1525.88,124
"162","Papillon",1527.69,125
"149","Pan_troglodytes",1528.78,126
"19","Artibeus_planirostris",1532.03,127
"116","Macaca_fuscata",1532.28,128
"93","Hyles_euphorbiae",1533.17,129
"140","Odonata2",1533.92,130
"115","Lynx_rufus2",1534.21,131
"42","Canis_lupus_familiaris",1541.2,132
"26","Balaeniceps_rex",1542.08,133
"107","Leptoptilos_crumenifer",1545.2,134
"85","Gyps_rueppelli",1545.38,135
"139","Odonata",1545.88,136
"111","Loxodonta_africana",1548.73,137
"190","Spalax",1549.16,138
"108","Libellula_quadrimaculata",1551.24,139
"100","Intellagama_lesueurii",1553.31,140
"171","Pithecia pithecia2",1556.14,141
"41","Canis_lupus",1558.3,142
"37","Calliphora_vomitoria",1561.18,143
"97","Iguana_iguana2",1563.42,144
"76","Geronticus_eremita",1570.25,145
"3","Acryllium_vulturinum",1571.19,146
"63","Daubentonia_madagascariensis",1582.17,147
"164","Pardofelis_temminckii",1583.61,148
"81","Gulo_gulo2",1587.29,149
"95","Hypsignathus_monstrosus",1588.49,150
"65","Desmodus_rotondus",1593.7,151
"194","Struthio_camelus",1598.92,152
"189","Sarcophilus_harrisii",1599.08,153
"198","Sus_scrofa",1600.73,154
"96","Iguana_iguana",1607.22,155
"123","Mandrillus_sphinx2",1607.37,156
"173","Podarcis_muralis",1614.73,157
"163","Papio_hamadryas",1615.58,158
"134","Neofelis_nebulosa",1624.3,159
"78","Gorilla_Gorilla_Beringei",1636.05,160
"1","Acinonyx_jubatus",1646.95,161
"11","Amblyrhynchus_cristatus",1649.37,162
"114","Lynx_rufus",1650.72,163
"34","Buprestidae",1654.82,164
"82","Gymnogyps_californianus",1654.82,165
"122","Mandrillus_sphinx",1655.69,166
"90","Heterocephalus_glaber",1666.51,167
"79","Gorilla_gorilla_gorilla",1668.57,168
"88","Helarctos_malayanus",1673.22,169
"2","Acinonyx_jubatus2",1679.8,170
"113","Lycaon_pictus2",1681.89,171
"112","Lycaon_pictus",1684.61,172
"28","Bison_bonasus2",1685.54,173
"213","Vespula_germanica",1696.44,174
"155","Panthera_onca_2",1696.52,175
"161","Panthera_uncia",1697.67,176
"204","Theropithecus_gelada",1702.58,177
"210","Ursus_thibetanus",1705.93,178
"53","Conolophus_pallidus",1706.79,179
"152","Panthera_leo2",1708.35,180
"159","Panthera_pardus2",1715.34,181
"181","Puma_concolor",1715.6,182
"45","Centurio_senex",1726.6,183
"205","Thomisus_onustus",1728.01,184
"92","Hyaena_hyaena",1732.76,185
"73","Evarcha_arcuata",1740.55,186
"153","Panthera_leo3",1746.7,187
"151","Panthera_leo",1749.93,188
"91","Hippopotamus_amphibius",1751.7,189
"208","Ursus_arctos_horribilis",1752.03,190
"209","Ursus_maritimus",1752.14,191
"154","Panthera_onca",1752.84,192
"57","Crocuta_crocuta",1756.86,193
"27","Bison_bonasus",1761.67,194
"166","Phacochoerus_africanus",1762.3,195
"160","Panthera_tigris2",1762.69,196
"158","Panthera_pardus_3",1762.91,197
"220","Zamenis_longissimus",1765.91,198
"157","Panthera_pardus",1772.43,199
"101","Laticauda_laticaudata",1784.46,200
"29","Boa_constrictor",1788.8,201
"121","Malpolon_monspessulanus",1790.95,202
"221","Zoropsis_spinimana",1791.17,203
"125","Morelia_spilota",1791.85,204
"156","Panthera_onca3",1797.84,205
"183","Python_regius",1800.83,206
"64","Dendroaspis_angusticeps",1801.3,207
"182","Python_bivittatus",1803.98,208
"128","Mygale",1816.35,209
"169","Pholcus_phalangioides",1831.84,210
"136","Notechis_scutatus",1835.75,211
"218","Vipera_aspis",1837.44,212
"58","Crotalus_atrox",1845.71,213
"102","Laticauda_saintgironsi",1853.6,214
"59","Crotalus2",1854.31,215
"120","Malayopython_reticulatus",1865.94,216
"40","Calloselasma rhodostoma",1897.38,217
"217","Vipera_ammodytes",1910,218
"130","Naja_naja",1911.09,219
"10","Alligator_mississippiensis",1943.81,220
"56","Crocodylus_porosus",1966.46,221
