"","Name","EloScore","EloRank","Name2","Species","Group","Subgroup","PredatorPrimates","Predator","Dangerous"
"1","Acinonyx_jubatus",1630.58,160,"Acinonyx_jubatus ","Acinonyx_jubatus","Mammal","Felidae","Yes","Yes","Yes"
"2","Acinonyx_jubatus2",1679.48,173,"Acinonyx_jubatus2 ","Acinonyx_jubatus","Mammal","Felidae","Yes","Yes","Yes"
"3","Acryllium_vulturinum",1537.54,130,"Acryllium_vulturinum ","Acryllium_vulturinum","Bird","Bird (not Raptor)","No","No","No"
"4","Aepyceros_melampus",1366.77,64,"Aepyceros_melampus ","Aepyceros_melampus","Mammal","Ungulate","No","No","No"
"5","Aepyceros_melampus2",1260.81,23,"Aepyceros_melampus2 ","Aepyceros_melampus","Mammal","Ungulate","No","No","No"
"6","Agalychnis_callidryas",1412.72,80,"Agalychnis_callidryas ","Agalychnis_callidryas","Squamata","Amphibia","No","Yes","No"
"7","Ailuropoda_melanoleuca",1323.24,45,"Ailuropoda_melanoleuca ","Ailuropoda_melanoleuca","Mammal","Ursus","No","No","No"
"8","Ailurops_ursinus",1349.06,53,"Ailurops_ursinus ","Ailurops_ursinus","Mammal","Marsupial","No","No","No"
"9","Ailurus_fulgens",1216.61,13,"Ailurus_fulgens ","Ailurus_fulgens","Mammal","Ursus","No","No","No"
"10","Alligator_mississippiensis",1925.47,220,"Alligator_mississippiensis ","Alligator_mississippiensis","Squamata","Crocodile","Yes","Yes","Yes"
"11","Amblyrhynchus_cristatus",1659.95,169,"Amblyrhynchus_cristatus ","Amblyrhynchus_cristatus","Squamata","Lizard","No","No","No"
"12","Aonyx_cinereus",1251.62,21,"Aonyx_cinereus ","Aonyx_cinereus","Mammal","Mustelidae","No","Yes","No"
"13","Aonyx_cinereus2",1247.67,20,"Aonyx_cinereus2 ","Aonyx_cinereus","Mammal","Mustelidae","No","Yes","No"
"14","Aquila_chrysaetos",1481.23,101,"Aquila_chrysaetos ","Aquila_chrysaetos","Bird","Raptor","No","No","No"
"15","Ara_ararauna",1209.27,10,"Ara_ararauna ","Ara_ararauna","Bird","Bird (not Raptor)","No","No","No"
"16","Ara_chloropterus",1209.9,11,"Ara_chloropterus ","Ara_chloropterus","Bird","Bird (not Raptor)","No","No","No"
"17","Arctocephalus forsteri",1502.68,110,"Arctocephalus forsteri ","Arctocephalus_forsteri","Mammal","Sea lion","No","Yes","No"
"18","Arctocephalus_forsteri2",1351.57,57,"Arctocephalus_forsteri2 ","Arctocephalus_forsteri","Mammal","Sea lion","No","Yes","No"
"19","Artibeus_planirostris",1548.35,139,"Artibeus_planirostris ","Artibeus_planirostris","Mammal","Chiroptera","No","No","No"
"20","Asio_flammeus",1278.15,30,"Asio_flammeus ","Asio_flammeus","Bird","Raptor","No","Yes","No"
"21","Ateles_hybridus",1536.34,129,"Ateles_hybridus ","Ateles_hybridus","Mammal","Primate","No","No","No"
"22","Ateles_paniscus",1269.23,26,"Ateles_paniscus ","Ateles_paniscus","Mammal","Primate","No","No","No"
"23","Athene_noctua",1270.93,28,"Athene_noctua ","Athene_noctua","Bird","Bird (not Raptor)","No","Yes","No"
"24","Athene_noctua2",1280.33,32,"Athene_noctua2 ","Athene_noctua","Bird","Bird (not Raptor)","No","Yes","No"
"25","Athene_noctua3",1340.86,48,"Athene_noctua3 ","Athene_noctua","Bird","Bird (not Raptor)","No","Yes","No"
"26","Balaeniceps_rex",1538.35,132,"Balaeniceps_rex ","Balaeniceps_rex","Bird","Bird (not Raptor)","No","No","No"
"27","Bison_bonasus",1732.73,190,"Bison_bonasus ","Bison_bonasus","Mammal","Ungulate","No","No","No"
"28","Bison_bonasus2",1678.05,171,"Bison_bonasus2 ","Bison_bonasus","Mammal","Ungulate","No","No","No"
"29","Boa_constrictor",1793.58,205,"Boa_constrictor ","Boa_constrictor","Squamata","Snake","Yes","Yes","No"
"30","Bubo_bubo",1303.88,37,"Bubo_bubo ","Bubo_bubo","Bird","Raptor","No","Yes","No"
"31","Bubo_bubo2",1306.53,39,"Bubo_bubo2 ","Bubo_bubo","Bird","Raptor","No","Yes","No"
"32","Bubo_scandiacus",1287.47,33,"Bubo_scandiacus ","Bubo_scandiacus","Bird","Raptor","No","No","No"
"33","Bufonidae",1539.33,133,"Bufonidae ","Bufonidae","Squamata","Amphibia","No","Yes","No"
"34","Buprestidae",1679.84,175,"Buprestidae ","Buprestidae","Insect","Coleoptera","No","No","No"
"35","Buteo_galapagoensis",1529.86,124,"Buteo_galapagoensis ","Buteo_galapagoensis","Bird","Raptor","No","Yes","No"
"36","Cairina_moschata",1503.8,112,"Cairina_moschata ","Cairina_moschata","Bird","Bird (not Raptor)","No","Yes","No"
"37","Calliphora_vomitoria",1588.97,151,"Calliphora_vomitoria ","Calliphora_vomitoria","Insect","Diptera","No","No","No"
"38","Callithrix_argentata",1374.8,67,"Callithrix_argentata ","Callithrix_argentata","Mammal","Primate","No","No","No"
"39","Callithrix_penicillata",1399.9,76,"Callithrix_penicillata ","Callithrix_penicillata","Mammal","Primate","No","No","No"
"40","Calloselasma rhodostoma",1841.35,217,"Calloselasma rhodostoma ","Calloselasma_rhodostoma","Squamata","Snake","No","Yes","Yes"
"41","Canis_lupus",1583.78,147,"Canis_lupus ","Canis_lupus_","Mammal","Canidae","Yes","Yes","Yes"
"42","Canis_lupus_familiaris",1518.52,118,"Canis_lupus_familiaris ","Canis_lupus_familiaris","Mammal","Canidae","No","Yes","Yes"
"43","Canis_lupus_familiaris2",1212.83,12,"Canis_lupus_familiaris2 ","Canis_lupus_familiaris","Mammal","Canidae","No","Yes","Yes"
"44","Carlito_syrichta",1398.26,75,"Carlito_syrichta ","Carlito_syrichta","Mammal","Primate","No","Yes","No"
"45","Centurio_senex",1712.87,186,"Centurio_senex ","Centurio_senex","Mammal","Chiroptera","No","No","No"
"46","Cerdocyon_thous",1352.07,58,"Cerdocyon_thous ","Cerdocyon_thous","Mammal","Canidae","Yes","Yes","No"
"47","Chelonoidis_porteri",1272.85,29,"Chelonoidis_porteri ","Chelonoidis_porteri","Squamata","Tortoise  ","No","No","No"
"48","Choloepus_didactylus",1328.98,47,"Choloepus_didactylus ","Choloepus_didactylus","Mammal","Xenarthra","No","No","No"
"49","Choloepus_didactylus2",1244.95,18,"Choloepus_didactylus2 ","Choloepus_didactylus","Mammal","Xenarthra","No","No","No"
"50","Choloepus_didactylus3",1246.98,19,"Choloepus_didactylus3 ","Choloepus_didactylus","Mammal","Xenarthra","No","No","No"
"51","Chroicocephalus_scopulinus",1349.18,54,"Chroicocephalus_scopulinus ","Chroicocephalus_scopulinus","Bird","Bird (not Raptor)","No","Yes","No"
"52","Columba_livia",1262.53,24,"Columba_livia ","Columba_livia","Bird","Bird (not Raptor)","No","No","No"
"53","Conolophus_pallidus",1731.34,189,"Conolophus_pallidus ","Conolophus_pallidus","Squamata","Lizard","No","No","No"
"54","Corvus",1487.12,105,"Corvus ","Corvus","Bird","Bird (not Raptor)","No","No","No"
"55","Corvus2",1397.73,74,"Corvus2 ","Corvus","Bird","Bird (not Raptor)","No","No","No"
"56","Crocodylus_porosus",1962,221,"Crocodylus_porosus ","Crocodylus_porosus","Squamata","Crocodile","Yes","Yes","Yes"
"57","Crocuta_crocuta",1738.53,191,"Crocuta_crocuta ","Crocuta_crocuta","Mammal","Hyenidae","Yes","No","Yes"
"58","Crotalus_atrox",1837.58,216,"Crotalus_atrox ","Crotalus_atrox","Squamata","Snake","No","Yes","Yes"
"59","Crotalus2",1836.68,215,"Crotalus2 ","Crotalus_atrox","Squamata","Snake","No","Yes","Yes"
"60","Cryptoprocto _ferox",1499.88,108,"Cryptoprocto _ferox ","Cryptoprocto_ferox","Mammal","Felidae","Yes","No","No"
"61","Cynictis_penicillata",1473.83,96,"Cynictis_penicillata ","Cynictis_penicillata","Mammal","Mongoose","No","Yes","No"
"62","Dasypus_novemcinctus",1380.56,69,"Dasypus_novemcinctus ","Dasypus_novemcinctus","Mammal","Xenarthra","No","No","No"
"63","Daubentonia_madagascariensis",1602.84,154,"Daubentonia_madagascariensis ","Daubentonia_madagascariensis","Mammal","Primate","No","No","No"
"64","Dendroaspis_angusticeps",1798.29,208,"Dendroaspis_angusticeps ","Dendroaspis_angusticeps","Squamata","Snake","No","Yes","Yes"
"65","Desmodus_rotondus",1614.11,157,"Desmodus_rotondus ","Desmodus_rotundus","Mammal","Chiroptera","No","Yes","No"
"66","Didelphis_virginiana",1430.65,82,"Didelphis_virginiana ","Didelphis_virginiana","Mammal","Marsupial","No","No","No"
"67","Equus_caballus",1234.39,16,"Equus_caballus ","Equus_caballus","Mammal","Ungulate","No","No","No"
"68","Eudyptes chrysolophus",1292.03,34,"Eudyptes chrysolophus ","Eudyptes_chrysolophus","Bird","Bird (not Raptor)","No","Yes","No"
"69","Eudyptes_chrysocome",1352.47,59,"Eudyptes_chrysocome ","Eudyptes_chrysocome","Bird","Bird (not Raptor)","No","Yes","No"
"70","Eulemur _coronatus",1392.92,72,"Eulemur _coronatus ","Eulemur_coronatus","Mammal","Primate","No","No","No"
"71","Eulemur _coronatus2",1344.51,50,"Eulemur _coronatus2 ","Eulemur_coronatus","Mammal","Primate","No","No","No"
"72","Euphractus _sexcinctus",1452.45,88,"Euphractus _sexcinctus ","Euphractus_sexcinctus","Mammal","Xenarthra","No","No","No"
"73","Evarcha_arcuata",1767.56,202,"Evarcha_arcuata ","Evarcha_arcuata","Spider","Spider","No","Yes","No"
"74","Felis_catus",1369.51,66,"Felis_catus ","Felis_catus","Mammal","Felidae","No","Yes","No"
"75","Felis_silvestris",1137.99,6,"Felis_silvestris ","Felis_silvestris_","Mammal","Felidae","No","No","No"
"76","Geronticus_eremita",1561.45,142,"Geronticus_eremita ","Geronticus_eremita","Bird","Bird (not Raptor)","No","Yes","No"
"77","Giraffa_camelopardalis_reticulata",1257.69,22,"Giraffa_camelopardalis_reticulata ","Giraffa_camelopardalis_reticulata","Mammal","Ungulate","No","No","No"
"78","Gorilla_Gorilla_Beringei",1648.61,166,"Gorilla_Gorilla_Beringei ","Gorilla_Gorilla_Beringei","Mammal","Primate","No","No","Yes"
"79","Gorilla_gorilla_gorilla",1633.8,161,"Gorilla_gorilla_gorilla ","Gorilla_Gorilla_Gorilla","Mammal","Primate","No","No","Yes"
"80","Gulo_gulo",1486.62,104,"Gulo_gulo ","Gulo_gulo","Mammal","Mustelidae","No","Yes","No"
"81","Gulo_gulo2",1541.48,136,"Gulo_gulo2 ","Gulo_gulo","Mammal","Mustelidae","No","Yes","No"
"82","Gymnogyps_californianus",1587.55,150,"Gymnogyps_californianus ","Gymnogyps_californianus","Bird","Raptor","No","No","No"
"83","Gypaetus_barbatus",1470.92,94,"Gypaetus_barbatus ","Gypaetus_barbatus","Bird","Raptor","No","Yes","No"
"84","Gypaetus_barbatus2",1532.76,125,"Gypaetus_barbatus2 ","Gypaetus_barbatus","Bird","Raptor","No","Yes","No"
"85","Gyps_rueppelli",1572.35,145,"Gyps_rueppelli ","Gyps_rueppelli","Bird","Raptor","No","No","No"
"86","Haematopus_ater",1317.01,41,"Haematopus_ater ","Haematopus_ater","Bird","Bird (not Raptor)","No","Yes","No"
"87","Harpia_Harpyja",1458.58,91,"Harpia_Harpyja ","Harpia_Harpyja","Bird","Raptor","Yes","No","No"
"88","Helarctos_malayanus",1668.04,170,"Helarctos_malayanus ","Helarctos_malayanus","Mammal","Ursus","No","No","No"
"89","Hemicentetes_semispinosus",1509.28,115,"Hemicentetes_semispinosus ","Hemicentetes_semispinosus","Mammal","Tenrecidae","No","No","No"
"90","Heterocephalus_glaber",1697.2,180,"Heterocephalus_glaber ","Heterocephalus_glaber","Mammal","Rodent","No","No","No"
"91","Hippopotamus_amphibius",1689.39,177,"Hippopotamus_amphibius ","Hippopotamus_amphibius","Mammal","Ungulate","No","No","Yes"
"92","Hyaena_hyaena",1758.1,200,"Hyaena_hyaena ","Hyaena_hyaena","Mammal","Hyenidae","Yes","No","Yes"
"93","Hyles_euphorbiae",1541.18,135,"Hyles_euphorbiae ","Hyles_euphorbiae","Insect","Lepidoptera","No","No","No"
"94","Hylobates_agilis",1348.81,52,"Hylobates_agilis ","Hylobates_agilis","Mammal","Primate","No","No","No"
"95","Hypsignathus_monstrosus",1635.73,162,"Hypsignathus_monstrosus ","Hypsignathus_monstrosu","Mammal","Chiroptera","No","No","No"
"96","Iguana_iguana",1584.36,148,"Iguana_iguana ","Iguana_iguana","Squamata","Lizard","No","No","No"
"97","Iguana_iguana2",1533.83,126,"Iguana_iguana2 ","Iguana_iguana","Squamata","Lizard","No","No","No"
"98","Incilius_alvarius",1479.78,100,"Incilius_alvarius ","Incilius_alvarius","Squamata","Amphibia","No","Yes","No"
"99","Incilius_alvarius2",1474.31,98,"Incilius_alvarius2 ","Incilius_alvarius","Squamata","Amphibia","No","Yes","No"
"100","Intellagama_lesueurii",1574.38,146,"Intellagama_lesueurii ","Intellagama_lesueurii","Squamata","Lizard","No","Yes","No"
"101","Laticauda_laticaudata",1811.3,209,"Laticauda_laticaudata ","Laticauda_laticaudata","Squamata","Snake","No","Yes","No"
"102","Laticauda_saintgironsi",1836.66,214,"Laticauda_saintgironsi ","Laticauda_saintgironsi","Squamata","Snake","No","Yes","No"
"103","Lemur_catta",1300.19,36,"Lemur_catta ","Lemur_catta","Mammal","Primate","No","Yes","No"
