"","Name","EloScore","EloRank","Species","Group","Subgroup","PredatorPrimates","Predator","Dangerous","Interet"
"1","Acinonyx_jubatus",1646.95,161,"Acinonyx_jubatus","Mammal","Felidae","Yes","Yes","Yes","Felidae"
"2","Acinonyx_jubatus2",1679.8,170,"Acinonyx_jubatus","Mammal","Felidae","Yes","Yes","Yes","Felidae"
"3","Acryllium_vulturinum",1571.19,146,"Acryllium_vulturinum","Bird","Bird(notRaptor)","No","No","No","Others"
"4","Aepyceros_melampus",1319.6,49,"Aepyceros_melampus","Mammal","Ungulate","No","No","No","Others"
"5","Aepyceros_melampus2",1230.21,19,"Aepyceros_melampus","Mammal","Ungulate","No","No","No","Others"
"6","Agalychnis_callidryas",1386.31,72,"Agalychnis_callidryas","Squamata","Amphibia","No","Yes","No","Others"
"7","Ailuropoda_melanoleuca",1300.41,40,"Ailuropoda_melanoleuca","Mammal","Ursus","No","No","No","Ursus"
"8","Ailurops_ursinus",1355.44,61,"Ailurops_ursinus","Mammal","Marsupial","No","No","No","Others"
"9","Ailurus_fulgens",1206.53,13,"Ailurus_fulgens","Mammal","Ursus","No","No","No","Ursus"
"10","Alligator_mississippiensis",1943.81,220,"Alligator_mississippiensis","Squamata","Crocodile","Yes","Yes","Yes","Crocodile"
"11","Amblyrhynchus_cristatus",1649.37,162,"Amblyrhynchus_cristatus","Squamata","Lizard","No","No","No","Others"
"12","Aonyx_cinereus",1192.17,10,"Aonyx_cinereus","Mammal","Mustelidae","No","Yes","No","Others"
"13","Aonyx_cinereus2",1227.34,17,"Aonyx_cinereus","Mammal","Mustelidae","No","Yes","No","Others"
"14","Aquila_chrysaetos",1468.05,97,"Aquila_chrysaetos","Bird","Raptor","No","No","No","Raptor"
"15","Ara_ararauna",1236.1,21,"Ara_ararauna","Bird","Bird(notRaptor)","No","No","No","Others"
"16","Ara_chloropterus",1223.66,16,"Ara_chloropterus","Bird","Bird(notRaptor)","No","No","No","Others"
"17","Arctocephalus forsteri",1490.93,105,"Arctocephalus_forsteri","Mammal","Sealion","No","Yes","No","Others"
"18","Arctocephalus_forsteri2",1326.21,53,"Arctocephalus_forsteri","Mammal","Sealion","No","Yes","No","Others"
"19","Artibeus_planirostris",1532.03,127,"Artibeus_planirostris","Mammal","Chiroptera","No","No","No","Others"
"20","Asio_flammeus",1240.08,22,"Asio_flammeus","Bird","Raptor","No","Yes","No","Raptor"
"21","Ateles_hybridus",1519.22,121,"Ateles_hybridus","Mammal","Primate","No","No","No","Primate"
"22","Ateles_paniscus",1294.21,38,"Ateles_paniscus","Mammal","Primate","No","No","No","Primate"
"23","Athene_noctua",1266.67,29,"Athene_noctua","Bird","Bird(notRaptor)","No","Yes","No","Others"
"24","Athene_noctua2",1245.74,24,"Athene_noctua","Bird","Bird(notRaptor)","No","Yes","No","Others"
"25","Athene_noctua3",1290.45,36,"Athene_noctua","Bird","Bird(notRaptor)","No","Yes","No","Others"
"26","Balaeniceps_rex",1542.08,133,"Balaeniceps_rex","Bird","Bird(notRaptor)","No","No","No","Others"
"27","Bison_bonasus",1761.67,194,"Bison_bonasus","Mammal","Ungulate","No","No","No","Others"
"28","Bison_bonasus2",1685.54,173,"Bison_bonasus","Mammal","Ungulate","No","No","No","Others"
"29","Boa_constrictor",1788.8,201,"Boa_constrictor","Squamata","Snake","Yes","Yes","No","Snake"
"30","Bubo_bubo",1273.06,31,"Bubo_bubo","Bird","Raptor","No","Yes","No","Raptor"
"31","Bubo_bubo2",1309.19,46,"Bubo_bubo","Bird","Raptor","No","Yes","No","Raptor"
"32","Bubo_scandiacus",1280.3,33,"Bubo_scandiacus","Bird","Raptor","No","No","No","Raptor"
"33","Bufonidae",1506.33,113,"Bufonidae","Squamata","Amphibia","No","Yes","No","Others"
"34","Buprestidae",1654.82,164,"Buprestidae","Insect","Coleoptera","No","No","No","Others"
"35","Buteo_galapagoensis",1525.88,124,"Buteo_galapagoensis","Bird","Raptor","No","Yes","No","Raptor"
"36","Cairina_moschata",1492.51,107,"Cairina_moschata","Bird","Bird(notRaptor)","No","Yes","No","Others"
"37","Calliphora_vomitoria",1561.18,143,"Calliphora_vomitoria","Insect","Diptera","No","No","No","Others"
"38","Callithrix_argentata",1385.92,71,"Callithrix_argentata","Mammal","Primate","No","No","No","Primate"
"39","Callithrix_penicillata",1368.52,66,"Callithrix_penicillata","Mammal","Primate","No","No","No","Primate"
"40","Calloselasma rhodostoma",1897.38,217,"Calloselasma_rhodostoma","Squamata","Snake","No","Yes","Yes","Snake"
"41","Canis_lupus",1558.3,142,"Canis_lupus_","Mammal","Canidae","Yes","Yes","Yes","Canidae"
"42","Canis_lupus_familiaris",1541.2,132,"Canis_lupus_familiaris","Mammal","Canidae","No","Yes","Yes","Canidae"
"43","Canis_lupus_familiaris2",1315.72,47,"Canis_lupus_familiaris","Mammal","Canidae","No","Yes","Yes","Canidae"
"44","Carlito_syrichta",1416.7,79,"Carlito_syrichta","Mammal","Primate","No","Yes","No","Primate"
"45","Centurio_senex",1726.6,183,"Centurio_senex","Mammal","Chiroptera","No","No","No","Others"
"46","Cerdocyon_thous",1361.29,64,"Cerdocyon_thous","Mammal","Canidae","Yes","Yes","No","Canidae"
"47","Chelonoidis_porteri",1256.23,26,"Chelonoidis_porteri","Squamata","Tortoise","No","No","No","Others"
"48","Choloepus_didactylus",1303.88,42,"Choloepus_didactylus","Mammal","Xenarthra","No","No","No","Others"
"49","Choloepus_didactylus2",1241.14,23,"Choloepus_didactylus","Mammal","Xenarthra","No","No","No","Others"
"50","Choloepus_didactylus3",1227.52,18,"Choloepus_didactylus","Mammal","Xenarthra","No","No","No","Others"
"51","Chroicocephalus_scopulinus",1360.19,63,"Chroicocephalus_scopulinus","Bird","Bird(notRaptor)","No","Yes","No","Others"
"52","Columba_livia",1246.45,25,"Columba_livia","Bird","Bird(notRaptor)","No","No","No","Others"
"53","Conolophus_pallidus",1706.79,179,"Conolophus_pallidus","Squamata","Lizard","No","No","No","Others"
"54","Corvus",1498.4,110,"Corvus","Bird","Bird(notRaptor)","No","No","No","Others"
"55","Corvus2",1375.42,69,"Corvus","Bird","Bird(notRaptor)","No","No","No","Others"
"56","Crocodylus_porosus",1966.46,221,"Crocodylus_porosus","Squamata","Crocodile","Yes","Yes","Yes","Crocodile"
"57","Crocuta_crocuta",1756.86,193,"Crocuta_crocuta","Mammal","Hyenidae","Yes","No","Yes","Hyenidae"
"58","Crotalus_atrox",1845.71,213,"Crotalus_atrox","Squamata","Snake","No","Yes","Yes","Snake"
"59","Crotalus2",1854.31,215,"Crotalus_atrox","Squamata","Snake","No","Yes","Yes","Snake"
"60","Cryptoprocto _ferox",1516.27,120,"Cryptoprocto_ferox","Mammal","Felidae","Yes","No","No","Felidae"
"61","Cynictis_penicillata",1476.85,101,"Cynictis_penicillata","Mammal","Mongoose","No","Yes","No","Others"
"62","Dasypus_novemcinctus",1354.1,59,"Dasypus_novemcinctus","Mammal","Xenarthra","No","No","No","Others"
"63","Daubentonia_madagascariensis",1582.17,147,"Daubentonia_madagascariensis","Mammal","Primate","No","No","No","Primate"
"64","Dendroaspis_angusticeps",1801.3,207,"Dendroaspis_angusticeps","Squamata","Snake","No","Yes","Yes","Snake"
"65","Desmodus_rotondus",1593.7,151,"Desmodus_rotundus","Mammal","Chiroptera","No","Yes","No","Others"
"66","Didelphis_virginiana",1410.64,76,"Didelphis_virginiana","Mammal","Marsupial","No","No","No","Others"
"67","Equus_caballus",1199.4,11,"Equus_caballus","Mammal","Ungulate","No","No","No","Others"
"68","Eudyptes chrysolophus",1262.56,28,"Eudyptes_chrysolophus","Bird","Bird(notRaptor)","No","Yes","No","Others"
"69","Eudyptes_chrysocome",1306.16,45,"Eudyptes_chrysocome","Bird","Bird(notRaptor)","No","Yes","No","Others"
"70","Eulemur _coronatus",1359.4,62,"Eulemur_coronatus","Mammal","Primate","No","No","No","Primate"
"71","Eulemur _coronatus2",1317.77,48,"Eulemur_coronatus","Mammal","Primate","No","No","No","Primate"
"72","Euphractus _sexcinctus",1412.25,77,"Euphractus_sexcinctus","Mammal","Xenarthra","No","No","No","Others"
"73","Evarcha_arcuata",1740.55,186,"Evarcha_arcuata","Spider","Spider","No","Yes","No","Spider"
"74","Felis_catus",1395.7,73,"Felis_catus","Mammal","Felidae","No","Yes","No","Felidae"
"75","Felis_silvestris",1166.36,8,"Felis_silvestris_","Mammal","Felidae","No","No","No","Felidae"
