"","match_nb","Acinonyx_jubatus","Acinonyx_jubatus2","Acryllium_vulturinum","Aepyceros_melampus","Aepyceros_melampus2","Agalychnis_callidryas","Ailuropoda_melanoleuca","Ailurops_ursinus","Ailurus_fulgens","Alligator_mississippiensis","Amblyrhynchus_cristatus","Aonyx_cinereus","Aonyx_cinereus2","Aquila_chrysaetos","Ara_ararauna","Ara_chloropterus","Arctocephalus forsteri","Arctocephalus_forsteri2","Artibeus_planirostris","Asio_flammeus","Ateles_hybridus","Ateles_paniscus","Athene_noctua","Athene_noctua2","Athene_noctua3","Balaeniceps_rex","Bison_bonasus","Bison_bonasus2","Boa_constrictor","Bubo_bubo","Bubo_bubo2","Bubo_scandiacus","Bufonidae","Buprestidae","Buteo_galapagoensis","Cairina_moschata","Calliphora_vomitoria","Callithrix_argentata","Callithrix_penicillata","Calloselasma rhodostoma","Canis_lupus","Canis_lupus_familiaris","Canis_lupus_familiaris2","Carlito_syrichta","Centurio_senex","Cerdocyon_thous","Chelonoidis_porteri","Choloepus_didactylus","Choloepus_didactylus2","Choloepus_didactylus3","Chroicocephalus_scopulinus","Columba_livia","Conolophus_pallidus","Corvus","Corvus2","Crocodylus_porosus","Crocuta_crocuta","Crotalus_atrox","Crotalus2","Cryptoprocto _ferox","Cynictis_penicillata","Dasypus_novemcinctus","Daubentonia_madagascariensis","Dendroaspis_angusticeps","Desmodus_rotondus","Didelphis_virginiana","Equus_caballus","Eudyptes chrysolophus","Eudyptes_chrysocome","Eulemur _coronatus","Eulemur _coronatus2","Euphractus _sexcinctus","Evarcha_arcuata","Felis_catus","Felis_silvestris","Geronticus_eremita","Giraffa_camelopardalis_reticulata","Gorilla_Gorilla_Beringei","Gorilla_gorilla_gorilla","Gulo_gulo","Gulo_gulo2","Gymnogyps_californianus","Gypaetus_barbatus","Gypaetus_barbatus2","Gyps_rueppelli","Haematopus_ater","Harpia_Harpyja","Helarctos_malayanus","Hemicentetes_semispinosus","Heterocephalus_glaber","Hippopotamus_amphibius","Hyaena_hyaena","Hyles_euphorbiae","Hylobates_agilis","Hypsignathus_monstrosus","Iguana_iguana","Iguana_iguana2","Incilius_alvarius","Incilius_alvarius2","Intellagama_lesueurii","Laticauda_laticaudata","Laticauda_saintgironsi","Lemur_catta","Lemur_catta2","Leopardus_wiedii","Leptailurus_serval","Leptoptilos_crumenifer","Libellula_quadrimaculata","Litoria_infrafrenata","Loris_tardigradus","Loxodonta_africana","Lycaon_pictus","Lycaon_pictus2","Lynx_rufus","Lynx_rufus2","Macaca_fuscata","Macaca_silenus","Macronectes_halli","Macropus_rufogriseus","Malayopython_reticulatus","Malpolon_monspessulanus","Mandrillus_sphinx","Mandrillus_sphinx2","Miopithecus_ogouensis","Morelia_spilota","Mungos_mungo","Muscardinus_avellanarius","Mygale","Myocastor_coypus","Naja_naja","Nasua_narica","Nasua_nasua","Necrosyrtes_monachus","Neofelis_nebulosa","Nestor_meridionalis","Notechis_scutatus","Numida_meleagris","Nyctereutes_procyonoides","Odonata","Odonata2","Oryctolagus_cuniculus","Oryctolagus_cuniculus2","Otocolobus_manul","Pamphagidae","Pan_paniscus","Pan_paniscus2","Pan_paniscus3","Pan_paniscus4","Pan_troglodytes","Pan_troglodytes2","Panthera_leo","Panthera_leo2","Panthera_leo3","Panthera_onca","Panthera_onca_2","Panthera_onca3","Panthera_pardus","Panthera_pardus_3","Panthera_pardus2","Panthera_tigris2","Panthera_uncia","Papillon","Papio_hamadryas","Pardofelis_temminckii","Petroica_macrocephala","Phacochoerus_africanus","Phascolarctos_cinereus","Phascolarctos_cinereus2","Pholcus_phalangioides","Pithecia pithecia","Pithecia pithecia2","Plathyrrhinus_fusciventris","Podarcis_muralis","Pogona_vitticeps","Porphyrio_hochstetteri","Procyon_lotor","Propithecus_coquereli","Propithecus_verreauxi","Psittacus_erithacus","Pteropus_conspicillatus","Puma_concolor","Python_bivittatus","Python_regius","Rattus_norvegicus","Rhinopithecus_roxellana","Rhyticeros_cassidix","Romalea_microptera","Saiga_tatarica","Sarcophilus_harrisii","Spalax","Spheniscus_humboldti","Stephanoaetus_coronatus","Strophurus","Struthio_camelus","Sula_nebouxii","Sula_sula","Suricata_suricatta","Sus_scrofa","Tapirus_indicus","Taricha_torosa","Tauraco_leucotis","Testudo_hermanni","Thalassarche_cauta","Theropithecus_gelada","Thomisus_onustus","Tockus_flavirostris","Trichosurus_vulpecula","Ursus_arctos_horribilis","Ursus_maritimus","Ursus_thibetanus","Varecia_rubra","Varecia_variegata","Vespula_germanica","Vicugna_pacos","Vicugna_pacos2","Vicugna_vicugna","Vipera_ammodytes","Vipera_aspis","Vulpes_zerda","Zamenis_longissimus","Zoropsis_spinimana"
"1",1,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
"2",800,1402.2,1666.3,1387.8,1577.4,1390.8,1533.3,1549,1353.4,1346.3,1741.6,1621.1,1314.8,1408.4,1533.5,1456.6,1349.3,1482.8,1466.9,1580.3,1489.2,1557.1,1493.9,1356.6,1444,1349.9,1706.8,1438.1,1571.1,1521,1316.5,1386.1,1387.1,1533.3,1705.8,1540.7,1515.1,1527,1366.1,1629,1650.4,1718.6,1474.9,1326.4,1518.3,1751.3,1379.1,1499.4,1426,1413,1435.7,1517.2,1391.2,1564.7,1429.2,1554.6,1697.7,1551.1,1670.5,1638.5,1394.5,1531.7,1428.5,1477,1669.8,1439.5,1520.3,1376.5,1311,1459.1,1467.2,1417.1,1544.3,1662.4,1520.2,1253,1526,1459.8,1405.6,1336.7,1563.5,1427.7,1582.3,1327.1,1559.9,1563.1,1661.4,1441.3,1542.9,1456.3,1727.4,1549.9,1686.4,1620.8,1560.1,1586.3,1673.1,1473.7,1508.5,1467.8,1686.3,1586.1,1729.7,1343.7,1349.2,1489.3,1423.9,1470.2,1587.8,1400.9,1302.1,1427.8,1660,1419,1557.2,1509.4,1504,1553,1575.2,1553.7,1599.1,1553.2,1432.5,1527.3,1554.1,1737.3,1529.4,1544.3,1589.6,1424.9,1612.8,1486.6,1401.9,1734.7,1458.9,1569,1579.5,1423.6,1452.5,1526.8,1578.6,1411.1,1326.4,1410.5,1499.6,1416.7,1425,1308.4,1421.9,1505.4,1413.6,1460,1559.8,1524,1565.6,1589.8,1438.5,1510.3,1646.4,1539.9,1493.4,1562.6,1589.4,1626.8,1473.1,1391.7,1671,1356.4,1273.8,1572.8,1300.5,1399.1,1468.2,1540.2,1418.8,1585.1,1484,1332.6,1392.2,1330.3,1483.3,1418.9,1688.8,1684.4,1340,1490,1535.2,1437,1476.4,1511.8,1405,1294.3,1341.2,1386.6,1667.3,1447.9,1519.4,1389.5,1578.3,1477.9,1548.3,1361.2,1620.4,1350,1557.2,1507.3,1455,1564.3,1669.4,1538.2,1526.6,1465.3,1516.5,1617.4,1440.1,1429,1343.3,1735.7,1569.8,1319.9,1508.5,1819.7
"3",2800,1496.5,1669.7,1457.2,1402,1353.5,1451.3,1385,1316.3,1147.7,1897.2,1591.7,1281,1263.4,1503.9,1356,1062.9,1591.4,1509.9,1547.2,1243.8,1494.5,1345.4,1199.8,1397.7,1331.7,1529.4,1582.3,1692.4,1820.5,1317.5,1493.1,1270.5,1576,1719.8,1521.3,1596.3,1523.5,1309.6,1504,1800.8,1574.4,1510.3,1078,1357.7,1752.9,1304.2,1387.6,1365.9,1214.2,1282.2,1446.4,1319.8,1739.7,1470.8,1547.9,1771.9,1656.6,1932.2,1798.1,1567.9,1529,1370.8,1469.4,1816.7,1698,1489.6,1237.7,1159.4,1386.3,1467.7,1512.4,1458.5,1776.7,1551,1256.1,1543.7,1366.2,1488.4,1495.9,1430.5,1591.2,1560.7,1438.7,1563.8,1290.2,1432.5,1487.6,1582.7,1472.9,1837.1,1678.5,1697.6,1636.9,1404.2,1621.3,1598,1478.6,1478.3,1424.6,1659.6,1753.7,1774.6,1282.3,1399.5,1572.3,1434.4,1454.2,1651,1218.4,1137.5,1450,1583,1556.4,1601.7,1519.6,1466.9,1396.2,1621,1441.9,1730,1684.3,1558.8,1587.7,1357.3,1784.6,1467.5,1332.9,1659.6,1356.6,1815,1498.4,1436.3,1553.1,1560.5,1338.9,1659.4,1404.1,1345.4,1493.4,1500,1276.5,1131.3,1434.4,1412.6,1565.6,1434.1,1405.9,1479.9,1506.7,1233.6,1635.4,1560.4,1733.2,1648.8,1755.6,1752.7,1694.5,1702,1642.4,1573.1,1652.2,1445.1,1453.3,1529.1,1137.6,1797.3,1117.1,1049.7,1714.8,1509.9,1464.8,1458.2,1760.7,1522.7,1521.2,1446.2,1304,1463.7,1260.4,1422.7,1542.7,1907.6,1833.6,1434.3,1382.2,1342.5,1338.3,1508.4,1508.8,1565,1338.6,1424.1,1558,1567.2,1464.6,1453.3,1278.6,1555.9,1371,1547.2,1218,1421,1537.1,1611.7,1647.6,1544.7,1564.6,1659.2,1665.5,1526.2,1374.4,1444.1,1680.3,1431.2,1371.1,1219.8,1800.2,1804.9,1325.4,1733.6,1878.3
"4",4800,1511.8,1666.7,1562.5,1504.2,1248.1,1525.1,1346.4,1340.9,1126,1797,1708.7,1319.3,1264.7,1490.3,1332,1084.2,1610.4,1377.8,1582.5,1209.4,1460.7,1301.6,1230,1301.7,1348.4,1398,1555.6,1692.8,1836.5,1371.3,1420.2,1295.3,1605.7,1684.2,1534.2,1553,1536.7,1297.1,1512.8,1811.3,1658.7,1585.5,962.6,1365.2,1876.1,1422.6,1312.3,1396.3,1183.5,1386.1,1387.3,1275.4,1774.5,1472.3,1453.3,1872.4,1697.9,1948.6,1878,1498.9,1453.2,1332.5,1572.7,1770.2,1678.2,1508.7,1268.3,1227.8,1315.5,1439.8,1376.3,1450.2,1767.4,1457.2,1211.5,1533.6,1282.8,1564.4,1515.3,1444.8,1582.2,1540.3,1428.1,1577.8,1340.7,1352.1,1446.1,1734.3,1588.4,1741.8,1705.6,1726.8,1697.1,1400.8,1721.2,1659.7,1541.9,1442.3,1457.6,1700.6,1781.4,1944,1276.6,1321.1,1463,1436.6,1477.7,1616.4,1334,1266.9,1413.5,1632,1573.1,1685,1605.4,1473.5,1433.6,1579.8,1353.4,1846.7,1769.4,1581.5,1556.9,1280.9,1794,1505.5,1287,1740.3,1334.7,1875.5,1429.6,1399.5,1630,1632,1396.7,1717.7,1372.7,1264.6,1596,1566.2,1159.9,991.2,1423.2,1406.7,1389.6,1298.7,1406.2,1387.6,1474.4,1167.7,1691.4,1534.3,1740.5,1774.3,1735.6,1719.5,1706.3,1780.3,1631.3,1638.3,1693.6,1614.9,1512.5,1568.3,1054,1794.5,1113.6,942.4,1798,1543.6,1386.6,1587.7,1736.1,1536,1608.6,1386.2,1237.3,1428.3,1188,1474.8,1580.3,1834.3,1857.2,1375.6,1246.6,1331.9,1319.3,1444.3,1521.8,1646.9,1254.6,1396.4,1490.3,1598.3,1407.4,1435.4,1219.5,1494.8,1376.3,1524.3,1176.5,1345.4,1452.7,1605.2,1800.5,1536.9,1503.1,1663.6,1626,1702,1419.5,1469.7,1720.7,1371,1359,1204.9,1799,1736.2,1233,1704.2,1890.6
"5",6800,1524.6,1693.8,1543.2,1341.4,1194.3,1452.2,1229.3,1335.6,1073,1821.4,1772.5,1274.4,1321.5,1431,1251.8,1108.8,1550,1417,1519.8,1237.6,1490.4,1270.3,1222.3,1260.6,1397.4,1389.7,1631.3,1722.4,1795.8,1296,1354.9,1233.1,1638,1687.3,1523.8,1460.7,1576.1,1334.4,1518.3,1909.6,1685.5,1525.5,1021.2,1386.8,1778.9,1374,1301.1,1306.3,1184.4,1264.1,1299.5,1281.2,1789.8,1431.9,1416.6,1887.3,1787.3,1999.5,1928.3,1419.1,1448.1,1444.9,1644.9,1786,1682,1431.6,1187.4,1204.5,1306.2,1492.5,1374.2,1510.8,1810.4,1553.4,1194.3,1545.8,1226.6,1598.5,1595.2,1526.6,1544.8,1507.9,1465.1,1582,1419.8,1345.6,1473.5,1646.1,1530.3,1745.9,1630.3,1725.5,1655.1,1384,1686,1700.9,1507.1,1458,1400.2,1684.4,1849.7,1951.4,1308.5,1364.7,1557.2,1442,1463.4,1544.8,1311,1217.5,1402.7,1705.5,1577.5,1681.8,1583.7,1486.7,1498.8,1641.5,1282.6,1870.2,1808.1,1594.3,1492.4,1362.1,1819.8,1520.5,1266.1,1734.5,1317.6,1878,1429.5,1426.2,1640,1700.5,1416.8,1758.4,1398.1,1345.2,1641.9,1610.2,1036.2,1053.1,1400,1452.8,1385.1,1360.3,1377.1,1369.2,1468.6,1222.5,1676.9,1576.4,1692.7,1832.4,1789,1712.8,1731.5,1760.3,1645.5,1666.9,1723.3,1504.2,1536.4,1467.7,966.2,1741.9,1064.6,1023.4,1743.5,1483.4,1411.6,1639.4,1779.3,1478.4,1531.6,1366,1340,1286.5,1312.2,1379.7,1620.8,1897.3,1866.9,1500.8,1303.3,1398.2,1346.8,1515.9,1455.7,1591.3,1217.6,1431.9,1442.8,1505.7,1420.4,1471.6,1314.3,1499.4,1273.6,1491.6,1174.8,1323.8,1452.1,1592.5,1803.4,1489,1543.3,1705.9,1646.8,1710.8,1436.7,1515.9,1685.4,1258.2,1348.3,1204.9,1803.8,1875.6,1296,1793.3,1853.3
"6",8800,1483.3,1669.7,1520.3,1324,1216.9,1402.8,1262.5,1386.6,1192.7,1935.6,1677.5,1247,1227.1,1486.7,1251.8,1202.6,1541.3,1327.5,1580.5,1199.2,1572.2,1372.9,1187.2,1307.2,1385.2,1442.5,1686.1,1672.3,1811.5,1349.6,1299,1159.7,1545,1740.8,1530.6,1422.6,1550.2,1391.6,1542.1,1788.9,1611.3,1524.3,1043.3,1383.7,1725.5,1364.4,1272.4,1332,1228.4,1242.9,1410.5,1329.9,1761.4,1511.5,1426.8,1942.7,1747.4,1967.4,1788.3,1461.1,1509.4,1364.6,1684.4,1810.5,1678.2,1336.3,1246.3,1196.8,1325.9,1500.4,1354.1,1420.9,1776.9,1482.9,1143.5,1610.1,1227.2,1475.1,1615.1,1491.2,1512.2,1512.2,1463.3,1609.8,1481.5,1410.2,1464.9,1662.7,1558.9,1767,1741.8,1709.5,1602.6,1393.7,1701.2,1640.1,1574.4,1459.7,1532.7,1587,1750.1,1912.6,1287,1340.8,1456.5,1406.4,1488.1,1523.3,1387.3,1159.6,1491.7,1601.8,1619.7,1751.9,1641.5,1484.4,1448.4,1573.8,1390.6,1925.9,1700.3,1601.4,1627.2,1413.4,1806.2,1469.2,1236.1,1780.9,1341.9,1906.6,1394.6,1357.2,1554.7,1590.6,1420.9,1703.9,1493.8,1358.7,1576.9,1551.8,1085.1,1026,1378.4,1487,1338.2,1359.5,1427.2,1412.9,1526.7,1276.2,1663.5,1661.5,1642,1868.7,1841,1711.4,1778.5,1676.8,1683.1,1683.9,1778.9,1536.4,1582,1499.1,978.3,1769,1031.1,946.1,1836.2,1514.6,1511.3,1603.8,1766.9,1501.8,1494.5,1353.2,1399.8,1259.2,1164.7,1403.5,1683.6,1884.6,1859.7,1456,1313.3,1385,1430.4,1506.1,1511.1,1618.5,1256.4,1454.5,1449.8,1576.8,1506.6,1504.6,1301.3,1477.5,1328.9,1580.6,1097.8,1199.2,1400.4,1616.8,1718.4,1468,1476.3,1647,1658.5,1728.8,1405.8,1477.6,1670.8,1267.8,1252.4,1139.5,1842.5,1818.3,1302.2,1758.6,1879.1
"7",10800,1547.8,1712.3,1557.7,1353.3,1258.5,1431.1,1261.9,1371.3,1144.6,1868.4,1801.4,1214.6,1194.6,1471.6,1244.7,1109.6,1523.9,1331.9,1621.5,1271.6,1432.7,1293.4,1205.9,1323.9,1393.7,1556.6,1695.1,1711.2,1793.9,1345.1,1337.5,1230,1562,1766.7,1527.1,1420.1,1536.4,1392.2,1432.2,1841.1,1583.9,1483,1113.6,1385.6,1726.4,1333.8,1299.1,1359.2,1235.7,1289.7,1350.9,1253.9,1771.2,1490.5,1413.1,1960.1,1838.5,1838.2,1834.5,1512.3,1460.8,1379.5,1615.8,1863.9,1650.7,1422.8,1277.7,1209.7,1394.6,1467.7,1347.3,1443.5,1890.3,1417.5,1116.9,1565.2,1259.1,1589.8,1630.7,1480.2,1589.6,1594.7,1403.5,1591.3,1512.1,1369.9,1483.7,1663.1,1555.7,1747,1705.6,1753.6,1555.7,1390.8,1706,1667.8,1562.2,1418.3,1426.5,1595.5,1798.8,1866.1,1267.5,1279.8,1558.8,1384.5,1503.4,1574.3,1355.9,1167,1440.1,1613.6,1643,1638.9,1600.9,1538.8,1422.8,1615.4,1363.9,1838.8,1720.1,1677.9,1626.1,1373.5,1766,1484.9,1231.7,1768.4,1345.6,1888.6,1393.4,1407,1508.1,1628.6,1371.7,1661.7,1472.1,1334.9,1522,1588.4,1085.8,928.9,1439.8,1443.2,1400.8,1412.8,1435.4,1345.7,1536.6,1278.6,1754.8,1686.7,1703.2,1853.4,1738.1,1703.1,1756.2,1749.5,1591.8,1667.6,1733,1539.1,1630.5,1585.7,984.4,1735.5,955.2,1045.2,1925.1,1503.4,1430.3,1649.9,1722.9,1445.4,1514.8,1367.1,1259.6,1254.5,1239.4,1402.8,1641,1936.6,1891.2,1370.1,1299.1,1401.7,1453.9,1504.4,1473.1,1594,1214.2,1462,1505.4,1552.4,1419,1497.9,1378.1,1447.7,1347,1488.7,1131.9,1157.3,1414.2,1662.9,1769.9,1505,1480,1699.4,1636.6,1746.6,1371.1,1439.3,1704.1,1239.4,1285.1,1170,1817.4,1822,1338.7,1748.5,1865.7
"8",12800,1555.6,1709.1,1542.9,1336.7,1267.5,1413.9,1243.3,1360.7,1150.8,1903.9,1692,1254.2,1237.3,1452.2,1235.6,1212.3,1451.7,1356.5,1627.6,1221.4,1475.7,1266,1196.2,1328.7,1399.3,1608.2,1687.7,1674.2,1796.6,1296.5,1283.1,1264.1,1608.1,1701.4,1497,1474.2,1528.2,1341.9,1450.9,1846.5,1534.5,1551.3,1184.4,1426.7,1790.6,1357.2,1259,1357.1,1258.3,1268.4,1324.8,1373.7,1711.1,1447,1435.1,1992.7,1786,1927.4,1884,1448,1489.3,1322.4,1640.4,1882.6,1728.8,1438.8,1209.1,1196.9,1356.4,1469,1381.6,1513,1857.5,1437.8,1169.2,1549,1278.3,1628.7,1659.8,1458.9,1533.7,1597.8,1481.1,1540.1,1518.6,1457.9,1491,1665.1,1572.1,1759.4,1697.9,1713.2,1576.4,1332.9,1643.5,1614.6,1619.1,1449.1,1434.5,1625,1805.6,1924.2,1247.4,1261.6,1578.5,1402.1,1512.9,1529.8,1409.7,1114.5,1463.5,1637.2,1593.9,1660.4,1592.6,1451.1,1496.4,1586.4,1410.5,1755.3,1697.4,1642.8,1578.5,1424,1784.4,1505.5,1151.2,1843.8,1323.9,1847.5,1427.2,1370.3,1467,1616.2,1386.7,1731.1,1507.6,1344.4,1520.9,1557.9,1100.8,904.9,1393.9,1444.3,1342.7,1379.6,1416.5,1410.6,1572.4,1327.5,1709.7,1649.9,1730.5,1762.2,1771.6,1669.7,1765.7,1730,1606.8,1765.8,1685,1598.2,1588.7,1511.4,984.1,1685.2,986.1,1003,1909.1,1491.4,1437.7,1641,1684.4,1552.4,1533.3,1350.2,1277.4,1263.7,1246.1,1346.3,1719.6,1903.8,1808.2,1321.9,1296.2,1431.5,1466.4,1482.7,1487.6,1630.4,1196.8,1472,1530.8,1547.3,1543.3,1432.2,1333.1,1540.4,1362.8,1489.9,1093.4,1097.1,1498.4,1646.9,1795.4,1446.6,1449,1691.5,1595,1707,1394.3,1383.6,1682.5,1331.1,1288.7,1155,1866.1,1795.4,1340.4,1751.3,1845.2
"9",14800,1580.9,1636.2,1564.5,1391.4,1218.1,1468.8,1248.6,1365.8,1212.8,1948.2,1783.4,1247.9,1147.7,1446.2,1243.6,1149.8,1522.2,1353.2,1547.8,1273.4,1441.1,1200.1,1273.4,1298.6,1398.5,1552.9,1727.6,1652.7,1804.4,1255.8,1310.5,1212.6,1585.8,1585.1,1526.6,1505.5,1624.3,1290.4,1468.5,1832.7,1524.4,1557.4,1195.4,1435.2,1743.3,1295.1,1269.1,1273.2,1232.9,1328.8,1400,1275.9,1767,1488.9,1390.8,2030.5,1891.4,1903.5,1860.3,1441.8,1463.1,1369.2,1633.7,1886.8,1670.3,1449.5,1190.1,1251.7,1349.4,1408.2,1324.2,1430.5,1814.6,1397.9,1117.2,1543.4,1280.7,1622,1683.3,1448.5,1554.4,1585,1445.8,1587,1548.2,1354.4,1509.6,1635.2,1558.3,1753.6,1681.5,1721.4,1571.2,1305.4,1724.6,1683.7,1550.6,1501.1,1430.3,1589.2,1801.3,1886.1,1323.1,1306.6,1455.9,1404.7,1505,1513.8,1402.3,1168.6,1453.2,1610.9,1619.3,1721.4,1551.5,1513.8,1428,1582.4,1373.9,1817.3,1670.8,1635.9,1638,1384.7,1761.6,1459.7,1228.3,1787.7,1250.5,1789.6,1446.8,1375.2,1513.9,1664.3,1345.7,1818.4,1505.2,1274.8,1550.9,1607.3,1083.9,869.9,1375.2,1477.6,1375,1412.5,1428.4,1324.9,1483.6,1277.1,1728,1668,1727.7,1747.3,1803.3,1773.9,1718.3,1745.2,1639.4,1755.9,1732.3,1536.3,1565.9,1566.7,1047.3,1724.8,1031.2,1007.8,1906.6,1489.7,1511,1516.4,1769.4,1576.2,1525.9,1313.3,1278.2,1248.1,1248.9,1401.9,1702.4,1880,1828.5,1343.9,1293.5,1400.1,1384.2,1549.9,1595.4,1558.3,1203,1482.8,1520.3,1557.5,1488.5,1450.7,1322.2,1486.9,1328.7,1521.8,1111.5,1111.1,1489.1,1655.2,1825.1,1551.4,1447,1687.6,1646.1,1750.8,1426.9,1400.1,1763.2,1301.4,1304.7,1194.6,1846.1,1851.2,1265.6,1795.7,1788.3
"10",16800,1553.8,1651.3,1587.2,1367.4,1195.4,1439.5,1271.4,1328.6,1138.6,1905.3,1722.2,1214.5,1198,1443.5,1206.9,1170.3,1494.1,1355.4,1512.5,1243.6,1505.5,1250.4,1266.6,1323.8,1357.8,1578.6,1750.7,1706.5,1815.7,1315.3,1312.8,1159.1,1567.6,1702.9,1491.7,1464.6,1499.3,1352.7,1468.7,1871.3,1550.6,1584.1,1247.5,1446,1726.1,1274.2,1235.9,1281.3,1207.2,1310.3,1350.8,1302.7,1732.7,1460.6,1458.3,2061.6,1801.5,1874.7,1883.6,1522.8,1482.2,1348.5,1542.6,1821.9,1741.6,1413.4,1170.2,1266.4,1349.4,1378.7,1317.5,1429.7,1802,1423.4,1157.2,1603.6,1347.1,1618.8,1650.7,1446.4,1562.7,1627.7,1485.9,1529.8,1554.6,1389.3,1497.1,1697.3,1604.6,1725.6,1648.8,1748.6,1631,1342.7,1667.2,1616.1,1585.1,1500.8,1429.4,1592.4,1774.4,1925,1288.8,1319.9,1461.6,1450.8,1495.1,1510.8,1296.8,1151,1437,1665.5,1613.7,1627.9,1537,1521.3,1443.1,1580.5,1353.8,1826.6,1726.9,1636.5,1586.4,1426,1746.9,1431,1294.4,1820.2,1261.3,1892.9,1399.9,1380.6,1512.3,1617.4,1304.5,1770.7,1447.3,1343.6,1579.6,1538.5,1101.6,850.5,1459,1515.7,1375.4,1423.7,1368.1,1398.6,1544.3,1332.5,1745.6,1696.7,1729.6,1769.2,1774.7,1746.5,1782.7,1692.5,1685.2,1674.4,1739.5,1528.8,1625.2,1527.2,1017,1783.6,942,968.4,1908.5,1535.9,1405.5,1546.9,1695,1532.7,1603,1314,1223.1,1229.6,1265.4,1346.9,1584.8,1799.9,1813.6,1312.7,1276.8,1441.4,1423.4,1516.4,1581.2,1622.9,1174,1504,1537.7,1584.6,1434.1,1461.4,1332.9,1543.3,1315.7,1482.4,1146,1078.1,1464.7,1688.3,1752.7,1555.2,1561,1711.6,1638,1749.3,1444.7,1359.9,1777.3,1301.2,1301.2,1267.8,1856.4,1949,1348.4,1781.9,1800.3
