Name2;Species;Group;Subgroup;PredatorPrimates;Predator;Dangerous
Acinonyx_jubatus ;Acinonyx_jubatus;Mammal;Felidae;Yes;Yes;Yes
Acinonyx_jubatus2 ;Acinonyx_jubatus;Mammal;Felidae;Yes;Yes;Yes
Acryllium_vulturinum ;Acryllium_vulturinum;Bird;Bird (not Raptor);No;No;No
Aepyceros_melampus ;Aepyceros_melampus;Mammal;Ungulate;No;No;No
Aepyceros_melampus2 ;Aepyceros_melampus;Mammal;Ungulate;No;No;No
Agalychnis_callidryas ;Agalychnis_callidryas;Squamata;Amphibia;No;Yes;No
Ailuropoda_melanoleuca ;Ailuropoda_melanoleuca;Mammal;Ursus;No;No;No
Ailurops_ursinus ;Ailurops_ursinus;Mammal;Marsupial;No;No;No
Ailurus_fulgens ;Ailurus_fulgens;Mammal;Ursus;No;No;No
Alligator_mississippiensis ;Alligator_mississippiensis;Squamata;Crocodile;Yes;Yes;Yes
Amblyrhynchus_cristatus ;Amblyrhynchus_cristatus;Squamata;Lizard;No;No;No
Aonyx_cinereus ;Aonyx_cinereus;Mammal;Mustelidae;No;Yes;No
Aonyx_cinereus2 ;Aonyx_cinereus;Mammal;Mustelidae;No;Yes;No
Aquila_chrysaetos ;Aquila_chrysaetos;Bird;Raptor;No;No;No
Ara_ararauna ;Ara_ararauna;Bird;Bird (not Raptor);No;No;No
Ara_chloropterus ;Ara_chloropterus;Bird;Bird (not Raptor);No;No;No
Arctocephalus forsteri ;Arctocephalus_forsteri;Mammal;Sea lion;No;Yes;No
Arctocephalus_forsteri2 ;Arctocephalus_forsteri;Mammal;Sea lion;No;Yes;No
Artibeus_planirostris ;Artibeus_planirostris;Mammal;Chiroptera;No;No;No
Asio_flammeus ;Asio_flammeus;Bird;Raptor;No;Yes;No
Ateles_hybridus ;Ateles_hybridus;Mammal;Primate;No;No;No
Ateles_paniscus ;Ateles_paniscus;Mammal;Primate;No;No;No
